CNAME:,GEMSTAR TV GUIDE INTERNATIONAL
Google Trends Search Term:,gemstar¨Ctv guide international
Google Trends Suggestion:,company
Google Trends URL:,/m/02r872z
Year,Month,SVI Data
2004,Jan,47
2004,Feb,77
2004,Mar,98
2004,Apr,89
2004,May,95
2004,Jun,56
2004,Jul,72
2004,Aug,13
2004,Sep,37
2004,Oct,51
2004,Nov,52
2004,Dec,58
2005,Jan,41
2005,Feb,32
2005,Mar,45
2005,Apr,52
2005,May,84
2005,Jun,10
2005,Jul,38
2005,Aug,62
2005,Sep,41
2005,Oct,54
2005,Nov,71
2005,Dec,60
2006,Jan,100
2006,Feb,21
2006,Mar,18
2006,Apr,45
2006,May,49
2006,Jun,64
2006,Jul,31
2006,Aug,46
2006,Sep,11
2006,Oct,47
2006,Nov,16
2006,Dec,42
2007,Jan,32
2007,Feb,44
2007,Mar,22
2007,Apr,9
2007,May,33
2007,Jun,26
2007,Jul,33
2007,Aug,35
2007,Sep,39
2007,Oct,28
2007,Nov,18
2007,Dec,40
2008,Jan,22
2008,Feb,10
2008,Mar,35
2008,Apr,38
2008,May,22
2008,Jun,14
2008,Jul,10
2008,Aug,13
2008,Sep,18
2008,Oct,19
2008,Nov,27
2008,Dec,15
2009,Jan,25
2009,Feb,9
2009,Mar,19
2009,Apr,19
2009,May,8
2009,Jun,6
2009,Jul,19
2009,Aug,16
2009,Sep,18
2009,Oct,7
2009,Nov,18
2009,Dec,10
2010,Jan,9
2010,Feb,17
2010,Mar,18
2010,Apr,5
2010,May,7
2010,Jun,7
2010,Jul,4
2010,Aug,0
2010,Sep,8
2010,Oct,8
2010,Nov,17
2010,Dec,13
2011,Jan,9
2011,Feb,6
2011,Mar,6
2011,Apr,4
2011,May,9
2011,Jun,9
2011,Jul,9
2011,Aug,12
2011,Sep,7
2011,Oct,6
2011,Nov,5
2011,Dec,14
2012,Jan,6
2012,Feb,13
2012,Mar,9
2012,Apr,7
2012,May,8
2012,Jun,4
2012,Jul,4
2012,Aug,11
2012,Sep,7
2012,Oct,5
2012,Nov,8
2012,Dec,5
2013,Jan,4
2013,Feb,6
2013,Mar,8
2013,Apr,2
2013,May,3
2013,Jun,4
2013,Jul,3
2013,Aug,8
2013,Sep,5
2013,Oct,4
2013,Nov,4
2013,Dec,6
2014,Jan,3
2014,Feb,5
2014,Mar,4
2014,Apr,4
2014,May,0
2014,Jun,6
2014,Jul,3
2014,Aug,4
2014,Sep,6
2014,Oct,2
2014,Nov,2
2014,Dec,3
2015,Jan,2
2015,Feb,2
2015,Mar,6
2015,Apr,0
2015,May,4
2015,Jun,3
2015,Jul,4
2015,Aug,6
2015,Sep,3
2015,Oct,2
2015,Nov,6
2015,Dec,3
2016,Jan,5
2016,Feb,4
2016,Mar,3
2016,Apr,4
2016,May,5
2016,Jun,1
2016,Jul,4
2016,Aug,5
2016,Sep,5
2016,Oct,2
2016,Nov,2
2016,Dec,3
2017,Jan,1
2017,Feb,2
2017,Mar,1
2017,Apr,2
2017,May,1
2017,Jun,1
2017,Jul,2
2017,Aug,0
2017,Sep,1
2017,Oct,1
2017,Nov,3
2017,Dec,0
2018,Jan,2
2018,Feb,1
2018,Mar,3
2018,Apr,1
2018,May,0
2018,Jun,3
2018,Jul,1
2018,Aug,1
2018,Sep,1
2018,Oct,1
2018,Nov,1
2018,Dec,2
2019,Jan,0
2019,Feb,1
2019,Mar,1
2019,Apr,1
2019,May,0
2019,Jun,1
2019,Jul,2
2019,Aug,2
2019,Sep,2
2019,Oct,3
2019,Nov,3
2019,Dec,2
2020,Jan,2
2020,Feb,1
2020,Mar,1
2020,Apr,1
2020,May,1
2020,Jun,1
2020,Jul,2
2020,Aug,1
2020,Sep,1
2020,Oct,0
2020,Nov,2
2020,Dec,1
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,0
2021,May,1
2021,Jun,0
2021,Jul,0
2021,Aug,2
2021,Sep,0
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,1
2022,Feb,1
2022,Mar,0
