CNAME:,REX STORES CORP
Google Trends Search Term:,rex american resources
Google Trends Suggestion:,company
Google Trends URL:,/m/03p322p
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,40
2004,May,0
2004,Jun,37
2004,Jul,0
2004,Aug,34
2004,Sep,33
2004,Oct,34
2004,Nov,0
2004,Dec,92
2005,Jan,0
2005,Feb,57
2005,Mar,0
2005,Apr,28
2005,May,0
2005,Jun,0
2005,Jul,100
2005,Aug,0
2005,Sep,22
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,35
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,17
2006,Jul,17
2006,Aug,0
2006,Sep,15
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,13
2007,Mar,12
2007,Apr,24
2007,May,11
2007,Jun,11
2007,Jul,22
2007,Aug,0
2007,Sep,21
2007,Oct,9
2007,Nov,0
2007,Dec,19
2008,Jan,17
2008,Feb,9
2008,Mar,9
2008,Apr,0
2008,May,8
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,7
2008,Nov,24
2008,Dec,24
2009,Jan,0
2009,Feb,8
2009,Mar,7
2009,Apr,0
2009,May,14
2009,Jun,7
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,7
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,6
2010,May,0
2010,Jun,0
2010,Jul,12
2010,Aug,17
2010,Sep,5
2010,Oct,0
2010,Nov,0
2010,Dec,5
2011,Jan,8
2011,Feb,9
2011,Mar,16
2011,Apr,20
2011,May,4
2011,Jun,8
2011,Jul,4
2011,Aug,4
2011,Sep,7
2011,Oct,0
2011,Nov,4
2011,Dec,3
2012,Jan,13
2012,Feb,3
2012,Mar,0
2012,Apr,10
2012,May,0
2012,Jun,6
2012,Jul,3
2012,Aug,9
2012,Sep,9
2012,Oct,6
2012,Nov,3
2012,Dec,6
2013,Jan,8
2013,Feb,3
2013,Mar,5
2013,Apr,0
2013,May,0
2013,Jun,0
2013,Jul,5
2013,Aug,8
2013,Sep,8
2013,Oct,5
2013,Nov,3
2013,Dec,8
2014,Jan,5
2014,Feb,8
2014,Mar,7
2014,Apr,12
2014,May,11
2014,Jun,3
2014,Jul,11
2014,Aug,8
2014,Sep,14
2014,Oct,5
2014,Nov,6
2014,Dec,14
2015,Jan,5
2015,Feb,3
2015,Mar,5
2015,Apr,11
2015,May,11
2015,Jun,6
2015,Jul,6
2015,Aug,5
2015,Sep,8
2015,Oct,8
2015,Nov,8
2015,Dec,8
2016,Jan,2
2016,Feb,0
2016,Mar,2
2016,Apr,4
2016,May,2
2016,Jun,6
2016,Jul,0
2016,Aug,7
2016,Sep,4
2016,Oct,4
2016,Nov,0
2016,Dec,4
2017,Jan,5
2017,Feb,4
2017,Mar,7
2017,Apr,11
2017,May,4
2017,Jun,0
2017,Jul,4
2017,Aug,0
2017,Sep,4
2017,Oct,0
2017,Nov,2
2017,Dec,0
2018,Jan,2
2018,Feb,4
2018,Mar,4
2018,Apr,2
2018,May,11
2018,Jun,6
2018,Jul,4
2018,Aug,2
2018,Sep,2
2018,Oct,2
2018,Nov,2
2018,Dec,0
2019,Jan,4
2019,Feb,4
2019,Mar,0
2019,Apr,0
2019,May,5
2019,Jun,2
2019,Jul,0
2019,Aug,2
2019,Sep,0
2019,Oct,2
2019,Nov,7
2019,Dec,3
2020,Jan,3
2020,Feb,2
2020,Mar,1
2020,Apr,1
2020,May,3
2020,Jun,5
2020,Jul,2
2020,Aug,2
2020,Sep,0
2020,Oct,7
2020,Nov,3
2020,Dec,0
2021,Jan,2
2021,Feb,2
2021,Mar,3
2021,Apr,3
2021,May,3
2021,Jun,0
2021,Jul,2
2021,Aug,2
2021,Sep,0
2021,Oct,2
2021,Nov,8
2021,Dec,7
2022,Jan,4
2022,Feb,0
2022,Mar,0
