CNAME:,TANGER FACTORY OUTLET CENTERS
Google Trends Search Term:,tanger factory outlet centers
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/03czx0_
Year,Month,SVI Data
2004,Jan,20
2004,Feb,19
2004,Mar,18
2004,Apr,16
2004,May,20
2004,Jun,17
2004,Jul,35
2004,Aug,35
2004,Sep,25
2004,Oct,24
2004,Nov,37
2004,Dec,33
2005,Jan,20
2005,Feb,17
2005,Mar,20
2005,Apr,25
2005,May,29
2005,Jun,25
2005,Jul,37
2005,Aug,40
2005,Sep,25
2005,Oct,26
2005,Nov,35
2005,Dec,41
2006,Jan,21
2006,Feb,19
2006,Mar,24
2006,Apr,26
2006,May,26
2006,Jun,31
2006,Jul,41
2006,Aug,43
2006,Sep,34
2006,Oct,31
2006,Nov,53
2006,Dec,43
2007,Jan,24
2007,Feb,24
2007,Mar,31
2007,Apr,30
2007,May,29
2007,Jun,33
2007,Jul,42
2007,Aug,46
2007,Sep,32
2007,Oct,29
2007,Nov,60
2007,Dec,46
2008,Jan,23
2008,Feb,22
2008,Mar,28
2008,Apr,25
2008,May,29
2008,Jun,29
2008,Jul,39
2008,Aug,49
2008,Sep,29
2008,Oct,47
2008,Nov,72
2008,Dec,50
2009,Jan,27
2009,Feb,24
2009,Mar,30
2009,Apr,32
2009,May,35
2009,Jun,34
2009,Jul,49
2009,Aug,47
2009,Sep,37
2009,Oct,36
2009,Nov,57
2009,Dec,48
2010,Jan,26
2010,Feb,23
2010,Mar,31
2010,Apr,30
2010,May,36
2010,Jun,34
2010,Jul,50
2010,Aug,53
2010,Sep,38
2010,Oct,40
2010,Nov,71
2010,Dec,53
2011,Jan,32
2011,Feb,37
2011,Mar,41
2011,Apr,44
2011,May,45
2011,Jun,48
2011,Jul,59
2011,Aug,59
2011,Sep,46
2011,Oct,44
2011,Nov,66
2011,Dec,56
2012,Jan,34
2012,Feb,35
2012,Mar,42
2012,Apr,45
2012,May,44
2012,Jun,48
2012,Jul,69
2012,Aug,70
2012,Sep,45
2012,Oct,43
2012,Nov,87
2012,Dec,74
2013,Jan,34
2013,Feb,34
2013,Mar,46
2013,Apr,44
2013,May,46
2013,Jun,50
2013,Jul,71
2013,Aug,82
2013,Sep,44
2013,Oct,38
2013,Nov,85
2013,Dec,72
2014,Jan,32
2014,Feb,35
2014,Mar,44
2014,Apr,43
2014,May,47
2014,Jun,51
2014,Jul,68
2014,Aug,81
2014,Sep,39
2014,Oct,37
2014,Nov,65
2014,Dec,67
2015,Jan,32
2015,Feb,34
2015,Mar,39
2015,Apr,48
2015,May,50
2015,Jun,50
2015,Jul,80
2015,Aug,90
2015,Sep,47
2015,Oct,44
2015,Nov,82
2015,Dec,79
2016,Jan,37
2016,Feb,38
2016,Mar,58
2016,Apr,49
2016,May,62
2016,Jun,71
2016,Jul,100
2016,Aug,84
2016,Sep,56
2016,Oct,50
2016,Nov,86
2016,Dec,84
2017,Jan,32
2017,Feb,34
2017,Mar,47
2017,Apr,57
2017,May,55
2017,Jun,60
2017,Jul,87
2017,Aug,77
2017,Sep,51
2017,Oct,50
2017,Nov,83
2017,Dec,83
2018,Jan,32
2018,Feb,34
2018,Mar,54
2018,Apr,50
2018,May,52
2018,Jun,60
2018,Jul,85
2018,Aug,83
2018,Sep,50
2018,Oct,44
2018,Nov,82
2018,Dec,85
2019,Jan,31
2019,Feb,32
2019,Mar,52
2019,Apr,58
2019,May,52
2019,Jun,61
2019,Jul,80
2019,Aug,82
2019,Sep,45
2019,Oct,44
2019,Nov,78
2019,Dec,75
2020,Jan,30
2020,Feb,32
2020,Mar,23
2020,Apr,8
2020,May,51
2020,Jun,75
2020,Jul,61
2020,Aug,57
2020,Sep,47
2020,Oct,45
2020,Nov,57
2020,Dec,67
2021,Jan,32
2021,Feb,28
2021,Mar,54
2021,Apr,55
2021,May,59
2021,Jun,57
2021,Jul,71
2021,Aug,63
2021,Sep,43
2021,Oct,43
2021,Nov,69
2021,Dec,71
2022,Jan,28
2022,Feb,32
2022,Mar,42
