CNAME:,AMERICAN EAGLE OUTFITTERS INC
Google Trends Search Term:,american eagle outfitters
Google Trends Suggestion:,clothing company
Google Trends URL:,/m/034zyt
Year,Month,SVI Data
2004,Jan,27
2004,Feb,27
2004,Mar,28
2004,Apr,26
2004,May,28
2004,Jun,27
2004,Jul,32
2004,Aug,34
2004,Sep,28
2004,Oct,34
2004,Nov,46
2004,Dec,53
2005,Jan,34
2005,Feb,34
2005,Mar,36
2005,Apr,36
2005,May,35
2005,Jun,35
2005,Jul,41
2005,Aug,45
2005,Sep,34
2005,Oct,41
2005,Nov,53
2005,Dec,62
2006,Jan,38
2006,Feb,39
2006,Mar,41
2006,Apr,40
2006,May,40
2006,Jun,40
2006,Jul,44
2006,Aug,44
2006,Sep,39
2006,Oct,42
2006,Nov,64
2006,Dec,83
2007,Jan,50
2007,Feb,47
2007,Mar,52
2007,Apr,44
2007,May,48
2007,Jun,47
2007,Jul,55
2007,Aug,60
2007,Sep,49
2007,Oct,55
2007,Nov,85
2007,Dec,99
2008,Jan,57
2008,Feb,55
2008,Mar,55
2008,Apr,50
2008,May,51
2008,Jun,48
2008,Jul,53
2008,Aug,61
2008,Sep,45
2008,Oct,54
2008,Nov,81
2008,Dec,93
2009,Jan,55
2009,Feb,55
2009,Mar,51
2009,Apr,53
2009,May,49
2009,Jun,42
2009,Jul,47
2009,Aug,49
2009,Sep,42
2009,Oct,51
2009,Nov,63
2009,Dec,74
2010,Jan,48
2010,Feb,42
2010,Mar,43
2010,Apr,39
2010,May,40
2010,Jun,42
2010,Jul,51
2010,Aug,50
2010,Sep,41
2010,Oct,48
2010,Nov,75
2010,Dec,75
2011,Jan,55
2011,Feb,58
2011,Mar,53
2011,Apr,52
2011,May,51
2011,Jun,49
2011,Jul,57
2011,Aug,66
2011,Sep,60
2011,Oct,60
2011,Nov,100
2011,Dec,92
2012,Jan,62
2012,Feb,61
2012,Mar,63
2012,Apr,55
2012,May,53
2012,Jun,52
2012,Jul,57
2012,Aug,71
2012,Sep,56
2012,Oct,57
2012,Nov,95
2012,Dec,81
2013,Jan,55
2013,Feb,53
2013,Mar,57
2013,Apr,49
2013,May,47
2013,Jun,45
2013,Jul,51
2013,Aug,65
2013,Sep,46
2013,Oct,49
2013,Nov,70
2013,Dec,84
2014,Jan,47
2014,Feb,44
2014,Mar,46
2014,Apr,43
2014,May,44
2014,Jun,41
2014,Jul,48
2014,Aug,55
2014,Sep,42
2014,Oct,43
2014,Nov,69
2014,Dec,72
2015,Jan,42
2015,Feb,41
2015,Mar,43
2015,Apr,41
2015,May,42
2015,Jun,42
2015,Jul,49
2015,Aug,57
2015,Sep,45
2015,Oct,47
2015,Nov,77
2015,Dec,71
2016,Jan,47
2016,Feb,46
2016,Mar,48
2016,Apr,43
2016,May,49
2016,Jun,47
2016,Jul,54
2016,Aug,55
2016,Sep,47
2016,Oct,50
2016,Nov,83
2016,Dec,70
2017,Jan,47
2017,Feb,48
2017,Mar,52
2017,Apr,51
2017,May,51
2017,Jun,52
2017,Jul,55
2017,Aug,58
2017,Sep,47
2017,Oct,48
2017,Nov,85
2017,Dec,73
2018,Jan,48
2018,Feb,51
2018,Mar,49
2018,Apr,46
2018,May,51
2018,Jun,47
2018,Jul,52
2018,Aug,57
2018,Sep,45
2018,Oct,48
2018,Nov,82
2018,Dec,68
2019,Jan,44
2019,Feb,45
2019,Mar,50
2019,Apr,49
2019,May,48
2019,Jun,50
2019,Jul,57
2019,Aug,59
2019,Sep,48
2019,Oct,49
2019,Nov,75
2019,Dec,80
2020,Jan,49
2020,Feb,45
2020,Mar,41
2020,Apr,53
2020,May,62
2020,Jun,50
2020,Jul,45
2020,Aug,41
2020,Sep,39
2020,Oct,42
2020,Nov,60
2020,Dec,56
2021,Jan,38
2021,Feb,37
2021,Mar,44
2021,Apr,41
2021,May,38
2021,Jun,37
2021,Jul,39
2021,Aug,44
2021,Sep,37
2021,Oct,38
2021,Nov,61
2021,Dec,51
2022,Jan,34
2022,Feb,34
2022,Mar,36
