CNAME:,CLEAN HARBORS INC
Google Trends Search Term:,clean harbors
Google Trends Suggestion:,waste management company
Google Trends URL:,/m/03p1tkx
Year,Month,SVI Data
2004,Jan,43
2004,Feb,54
2004,Mar,29
2004,Apr,15
2004,May,44
2004,Jun,45
2004,Jul,22
2004,Aug,39
2004,Sep,49
2004,Oct,41
2004,Nov,16
2004,Dec,23
2005,Jan,48
2005,Feb,48
2005,Mar,64
2005,Apr,44
2005,May,47
2005,Jun,41
2005,Jul,38
2005,Aug,42
2005,Sep,31
2005,Oct,38
2005,Nov,32
2005,Dec,24
2006,Jan,47
2006,Feb,50
2006,Mar,47
2006,Apr,55
2006,May,55
2006,Jun,45
2006,Jul,61
2006,Aug,61
2006,Sep,50
2006,Oct,49
2006,Nov,47
2006,Dec,42
2007,Jan,42
2007,Feb,57
2007,Mar,53
2007,Apr,45
2007,May,56
2007,Jun,35
2007,Jul,53
2007,Aug,45
2007,Sep,48
2007,Oct,52
2007,Nov,39
2007,Dec,32
2008,Jan,37
2008,Feb,47
2008,Mar,31
2008,Apr,50
2008,May,53
2008,Jun,58
2008,Jul,57
2008,Aug,62
2008,Sep,40
2008,Oct,60
2008,Nov,39
2008,Dec,47
2009,Jan,48
2009,Feb,46
2009,Mar,46
2009,Apr,48
2009,May,42
2009,Jun,57
2009,Jul,43
2009,Aug,54
2009,Sep,56
2009,Oct,42
2009,Nov,45
2009,Dec,43
2010,Jan,44
2010,Feb,45
2010,Mar,45
2010,Apr,53
2010,May,65
2010,Jun,75
2010,Jul,64
2010,Aug,60
2010,Sep,43
2010,Oct,47
2010,Nov,45
2010,Dec,50
2011,Jan,51
2011,Feb,56
2011,Mar,56
2011,Apr,54
2011,May,50
2011,Jun,58
2011,Jul,57
2011,Aug,70
2011,Sep,54
2011,Oct,51
2011,Nov,63
2011,Dec,49
2012,Jan,62
2012,Feb,54
2012,Mar,58
2012,Apr,53
2012,May,60
2012,Jun,52
2012,Jul,58
2012,Aug,59
2012,Sep,54
2012,Oct,58
2012,Nov,62
2012,Dec,47
2013,Jan,55
2013,Feb,55
2013,Mar,56
2013,Apr,51
2013,May,54
2013,Jun,52
2013,Jul,53
2013,Aug,59
2013,Sep,54
2013,Oct,61
2013,Nov,56
2013,Dec,45
2014,Jan,53
2014,Feb,59
2014,Mar,51
2014,Apr,53
2014,May,49
2014,Jun,56
2014,Jul,60
2014,Aug,59
2014,Sep,47
2014,Oct,50
2014,Nov,54
2014,Dec,52
2015,Jan,58
2015,Feb,58
2015,Mar,60
2015,Apr,54
2015,May,56
2015,Jun,58
2015,Jul,71
2015,Aug,68
2015,Sep,55
2015,Oct,56
2015,Nov,51
2015,Dec,53
2016,Jan,56
2016,Feb,58
2016,Mar,52
2016,Apr,45
2016,May,63
2016,Jun,57
2016,Jul,55
2016,Aug,60
2016,Sep,48
2016,Oct,49
2016,Nov,48
2016,Dec,52
2017,Jan,51
2017,Feb,53
2017,Mar,48
2017,Apr,44
2017,May,55
2017,Jun,54
2017,Jul,52
2017,Aug,58
2017,Sep,57
2017,Oct,57
2017,Nov,56
2017,Dec,38
2018,Jan,59
2018,Feb,56
2018,Mar,60
2018,Apr,62
2018,May,59
2018,Jun,57
2018,Jul,54
2018,Aug,66
2018,Sep,58
2018,Oct,63
2018,Nov,56
2018,Dec,52
2019,Jan,62
2019,Feb,62
2019,Mar,59
2019,Apr,60
2019,May,59
2019,Jun,65
2019,Jul,67
2019,Aug,59
2019,Sep,60
2019,Oct,69
2019,Nov,57
2019,Dec,51
2020,Jan,100
2020,Feb,72
2020,Mar,61
2020,Apr,52
2020,May,46
2020,Jun,46
2020,Jul,48
2020,Aug,50
2020,Sep,59
2020,Oct,50
2020,Nov,43
2020,Dec,48
2021,Jan,48
2021,Feb,51
2021,Mar,49
2021,Apr,48
2021,May,49
2021,Jun,47
2021,Jul,50
2021,Aug,67
2021,Sep,61
2021,Oct,55
2021,Nov,55
2021,Dec,52
2022,Jan,64
2022,Feb,60
2022,Mar,60
