CNAME:,HUNTINGTON BANCSHARES INC MD
Google Trends Search Term:,huntington bancshares
Google Trends Suggestion:,bank
Google Trends URL:,/m/026ms7d
Year,Month,SVI Data
2004,Jan,31
2004,Feb,28
2004,Mar,29
2004,Apr,32
2004,May,30
2004,Jun,35
2004,Jul,37
2004,Aug,34
2004,Sep,34
2004,Oct,29
2004,Nov,31
2004,Dec,31
2005,Jan,34
2005,Feb,34
2005,Mar,36
2005,Apr,30
2005,May,33
2005,Jun,34
2005,Jul,36
2005,Aug,37
2005,Sep,34
2005,Oct,33
2005,Nov,33
2005,Dec,34
2006,Jan,34
2006,Feb,33
2006,Mar,33
2006,Apr,36
2006,May,35
2006,Jun,35
2006,Jul,41
2006,Aug,38
2006,Sep,37
2006,Oct,35
2006,Nov,34
2006,Dec,36
2007,Jan,38
2007,Feb,38
2007,Mar,38
2007,Apr,38
2007,May,38
2007,Jun,40
2007,Jul,41
2007,Aug,43
2007,Sep,44
2007,Oct,50
2007,Nov,49
2007,Dec,49
2008,Jan,51
2008,Feb,49
2008,Mar,50
2008,Apr,51
2008,May,55
2008,Jun,53
2008,Jul,55
2008,Aug,53
2008,Sep,51
2008,Oct,50
2008,Nov,49
2008,Dec,54
2009,Jan,55
2009,Feb,53
2009,Mar,53
2009,Apr,50
2009,May,51
2009,Jun,53
2009,Jul,55
2009,Aug,54
2009,Sep,49
2009,Oct,49
2009,Nov,49
2009,Dec,50
2010,Jan,51
2010,Feb,50
2010,Mar,51
2010,Apr,50
2010,May,51
2010,Jun,51
2010,Jul,50
2010,Aug,52
2010,Sep,50
2010,Oct,50
2010,Nov,47
2010,Dec,49
2011,Jan,64
2011,Feb,72
2011,Mar,73
2011,Apr,73
2011,May,74
2011,Jun,82
2011,Jul,81
2011,Aug,80
2011,Sep,81
2011,Oct,78
2011,Nov,81
2011,Dec,80
2012,Jan,84
2012,Feb,84
2012,Mar,81
2012,Apr,81
2012,May,82
2012,Jun,83
2012,Jul,85
2012,Aug,88
2012,Sep,81
2012,Oct,84
2012,Nov,83
2012,Dec,83
2013,Jan,90
2013,Feb,90
2013,Mar,88
2013,Apr,91
2013,May,87
2013,Jun,94
2013,Jul,95
2013,Aug,94
2013,Sep,86
2013,Oct,84
2013,Nov,84
2013,Dec,87
2014,Jan,87
2014,Feb,90
2014,Mar,86
2014,Apr,87
2014,May,91
2014,Jun,85
2014,Jul,89
2014,Aug,89
2014,Sep,85
2014,Oct,80
2014,Nov,83
2014,Dec,86
2015,Jan,84
2015,Feb,86
2015,Mar,84
2015,Apr,84
2015,May,85
2015,Jun,87
2015,Jul,94
2015,Aug,89
2015,Sep,85
2015,Oct,89
2015,Nov,80
2015,Dec,82
2016,Jan,81
2016,Feb,85
2016,Mar,79
2016,Apr,82
2016,May,81
2016,Jun,86
2016,Jul,85
2016,Aug,83
2016,Sep,78
2016,Oct,77
2016,Nov,75
2016,Dec,80
2017,Jan,81
2017,Feb,90
2017,Mar,96
2017,Apr,86
2017,May,93
2017,Jun,99
2017,Jul,96
2017,Aug,99
2017,Sep,89
2017,Oct,86
2017,Nov,87
2017,Dec,86
2018,Jan,83
2018,Feb,88
2018,Mar,86
2018,Apr,82
2018,May,81
2018,Jun,88
2018,Jul,90
2018,Aug,91
2018,Sep,83
2018,Oct,85
2018,Nov,84
2018,Dec,88
2019,Jan,81
2019,Feb,88
2019,Mar,87
2019,Apr,85
2019,May,82
2019,Jun,86
2019,Jul,89
2019,Aug,85
2019,Sep,78
2019,Oct,78
2019,Nov,84
2019,Dec,77
2020,Jan,77
2020,Feb,81
2020,Mar,75
2020,Apr,89
2020,May,75
2020,Jun,75
2020,Jul,71
2020,Aug,69
2020,Sep,65
2020,Oct,66
2020,Nov,62
2020,Dec,78
2021,Jan,75
2021,Feb,72
2021,Mar,80
2021,Apr,72
2021,May,70
2021,Jun,75
2021,Jul,78
2021,Aug,78
2021,Sep,71
2021,Oct,100
2021,Nov,97
2021,Dec,96
2022,Jan,92
2022,Feb,96
2022,Mar,96
