CNAME:,VARIAN MEDICAL SYSTEMS INC
Google Trends Search Term:,varian medical systems
Google Trends Suggestion:,company
Google Trends URL:,/m/0632c5
Year,Month,SVI Data
2004,Jan,100
2004,Feb,66
2004,Mar,95
2004,Apr,83
2004,May,64
2004,Jun,79
2004,Jul,76
2004,Aug,68
2004,Sep,94
2004,Oct,86
2004,Nov,50
2004,Dec,61
2005,Jan,76
2005,Feb,80
2005,Mar,63
2005,Apr,71
2005,May,59
2005,Jun,58
2005,Jul,72
2005,Aug,69
2005,Sep,57
2005,Oct,77
2005,Nov,65
2005,Dec,52
2006,Jan,72
2006,Feb,65
2006,Mar,65
2006,Apr,52
2006,May,76
2006,Jun,51
2006,Jul,62
2006,Aug,63
2006,Sep,53
2006,Oct,52
2006,Nov,45
2006,Dec,44
2007,Jan,57
2007,Feb,55
2007,Mar,58
2007,Apr,47
2007,May,62
2007,Jun,48
2007,Jul,46
2007,Aug,61
2007,Sep,45
2007,Oct,60
2007,Nov,59
2007,Dec,42
2008,Jan,39
2008,Feb,54
2008,Mar,45
2008,Apr,46
2008,May,44
2008,Jun,46
2008,Jul,58
2008,Aug,44
2008,Sep,50
2008,Oct,50
2008,Nov,33
2008,Dec,34
2009,Jan,45
2009,Feb,49
2009,Mar,46
2009,Apr,47
2009,May,38
2009,Jun,47
2009,Jul,71
2009,Aug,50
2009,Sep,51
2009,Oct,41
2009,Nov,39
2009,Dec,34
2010,Jan,40
2010,Feb,40
2010,Mar,35
2010,Apr,44
2010,May,41
2010,Jun,41
2010,Jul,29
2010,Aug,32
2010,Sep,27
2010,Oct,31
2010,Nov,32
2010,Dec,22
2011,Jan,28
2011,Feb,29
2011,Mar,28
2011,Apr,26
2011,May,35
2011,Jun,27
2011,Jul,27
2011,Aug,24
2011,Sep,20
2011,Oct,19
2011,Nov,20
2011,Dec,15
2012,Jan,21
2012,Feb,21
2012,Mar,21
2012,Apr,27
2012,May,24
2012,Jun,21
2012,Jul,20
2012,Aug,23
2012,Sep,19
2012,Oct,23
2012,Nov,19
2012,Dec,16
2013,Jan,23
2013,Feb,21
2013,Mar,18
2013,Apr,23
2013,May,20
2013,Jun,20
2013,Jul,17
2013,Aug,18
2013,Sep,20
2013,Oct,21
2013,Nov,17
2013,Dec,17
2014,Jan,18
2014,Feb,19
2014,Mar,18
2014,Apr,21
2014,May,15
2014,Jun,19
2014,Jul,21
2014,Aug,16
2014,Sep,15
2014,Oct,18
2014,Nov,15
2014,Dec,16
2015,Jan,16
2015,Feb,16
2015,Mar,18
2015,Apr,18
2015,May,19
2015,Jun,18
2015,Jul,18
2015,Aug,18
2015,Sep,19
2015,Oct,19
2015,Nov,15
2015,Dec,13
2016,Jan,13
2016,Feb,16
2016,Mar,13
2016,Apr,14
2016,May,17
2016,Jun,16
2016,Jul,13
2016,Aug,14
2016,Sep,14
2016,Oct,16
2016,Nov,13
2016,Dec,15
2017,Jan,15
2017,Feb,15
2017,Mar,18
2017,Apr,17
2017,May,18
2017,Jun,13
2017,Jul,15
2017,Aug,14
2017,Sep,15
2017,Oct,17
2017,Nov,14
2017,Dec,11
2018,Jan,18
2018,Feb,14
2018,Mar,15
2018,Apr,15
2018,May,15
2018,Jun,16
2018,Jul,15
2018,Aug,14
2018,Sep,14
2018,Oct,15
2018,Nov,14
2018,Dec,11
2019,Jan,16
2019,Feb,17
2019,Mar,16
2019,Apr,16
2019,May,17
2019,Jun,14
2019,Jul,16
2019,Aug,15
2019,Sep,16
2019,Oct,20
2019,Nov,16
2019,Dec,14
2020,Jan,15
2020,Feb,16
2020,Mar,16
2020,Apr,16
2020,May,15
2020,Jun,15
2020,Jul,16
2020,Aug,36
2020,Sep,15
2020,Oct,14
2020,Nov,12
2020,Dec,12
2021,Jan,12
2021,Feb,16
2021,Mar,17
2021,Apr,16
2021,May,11
2021,Jun,12
2021,Jul,12
2021,Aug,12
2021,Sep,13
2021,Oct,12
2021,Nov,12
2021,Dec,12
2022,Jan,12
2022,Feb,14
2022,Mar,11
