CNAME:,EAST WEST BANCORP INC
Google Trends Search Term:,east west bancorp
Google Trends Suggestion:,company
Google Trends URL:,/m/0kg2fyg
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,98
2004,Apr,75
2004,May,0
2004,Jun,70
2004,Jul,72
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,51
2005,Feb,53
2005,Mar,45
2005,Apr,0
2005,May,47
2005,Jun,0
2005,Jul,47
2005,Aug,44
2005,Sep,41
2005,Oct,38
2005,Nov,0
2005,Dec,0
2006,Jan,100
2006,Feb,34
2006,Mar,0
2006,Apr,32
2006,May,30
2006,Jun,32
2006,Jul,31
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,46
2007,Feb,24
2007,Mar,44
2007,Apr,44
2007,May,41
2007,Jun,0
2007,Jul,41
2007,Aug,78
2007,Sep,0
2007,Oct,35
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,50
2008,Mar,32
2008,Apr,32
2008,May,32
2008,Jun,0
2008,Jul,16
2008,Aug,16
2008,Sep,0
2008,Oct,0
2008,Nov,15
2008,Dec,30
2009,Jan,0
2009,Feb,88
2009,Mar,13
2009,Apr,27
2009,May,55
2009,Jun,0
2009,Jul,54
2009,Aug,27
2009,Sep,13
2009,Oct,37
2009,Nov,76
2009,Dec,25
2010,Jan,35
2010,Feb,12
2010,Mar,22
2010,Apr,11
2010,May,12
2010,Jun,12
2010,Jul,10
2010,Aug,10
2010,Sep,10
2010,Oct,0
2010,Nov,28
2010,Dec,37
2011,Jan,51
2011,Feb,31
2011,Mar,21
2011,Apr,15
2011,May,14
2011,Jun,15
2011,Jul,22
2011,Aug,13
2011,Sep,0
2011,Oct,13
2011,Nov,13
2011,Dec,6
2012,Jan,17
2012,Feb,0
2012,Mar,17
2012,Apr,12
2012,May,0
2012,Jun,18
2012,Jul,0
2012,Aug,16
2012,Sep,22
2012,Oct,5
2012,Nov,16
2012,Dec,10
2013,Jan,5
2013,Feb,5
2013,Mar,9
2013,Apr,24
2013,May,0
2013,Jun,5
2013,Jul,19
2013,Aug,0
2013,Sep,23
2013,Oct,9
2013,Nov,23
2013,Dec,9
2014,Jan,17
2014,Feb,10
2014,Mar,9
2014,Apr,18
2014,May,19
2014,Jun,0
2014,Jul,10
2014,Aug,5
2014,Sep,25
2014,Oct,14
2014,Nov,15
2014,Dec,5
2015,Jan,19
2015,Feb,5
2015,Mar,10
2015,Apr,10
2015,May,5
2015,Jun,10
2015,Jul,15
2015,Aug,10
2015,Sep,0
2015,Oct,9
2015,Nov,14
2015,Dec,0
2016,Jan,15
2016,Feb,12
2016,Mar,11
2016,Apr,8
2016,May,4
2016,Jun,12
2016,Jul,20
2016,Aug,0
2016,Sep,4
2016,Oct,0
2016,Nov,0
2016,Dec,4
2017,Jan,14
2017,Feb,4
2017,Mar,7
2017,Apr,0
2017,May,14
2017,Jun,19
2017,Jul,19
2017,Aug,14
2017,Sep,4
2017,Oct,10
2017,Nov,3
2017,Dec,3
2018,Jan,20
2018,Feb,7
2018,Mar,7
2018,Apr,7
2018,May,3
2018,Jun,18
2018,Jul,4
2018,Aug,17
2018,Sep,14
2018,Oct,14
2018,Nov,10
2018,Dec,10
2019,Jan,13
2019,Feb,4
2019,Mar,10
2019,Apr,14
2019,May,3
2019,Jun,18
2019,Jul,7
2019,Aug,7
2019,Sep,13
2019,Oct,18
2019,Nov,3
2019,Dec,0
2020,Jan,9
2020,Feb,9
2020,Mar,19
2020,Apr,21
2020,May,8
2020,Jun,6
2020,Jul,15
2020,Aug,3
2020,Sep,9
2020,Oct,13
2020,Nov,19
2020,Dec,22
2021,Jan,12
2021,Feb,4
2021,Mar,9
2021,Apr,0
2021,May,10
2021,Jun,7
2021,Jul,17
2021,Aug,13
2021,Sep,4
2021,Oct,7
2021,Nov,4
2021,Dec,7
2022,Jan,21
2022,Feb,4
2022,Mar,10
