CNAME:,NIKE INC
Google Trends Search Term:,nike
Google Trends Suggestion:,footwear manufacturing company
Google Trends URL:,/m/0lwkh
Year,Month,SVI Data
2004,Jan,19
2004,Feb,21
2004,Mar,23
2004,Apr,22
2004,May,21
2004,Jun,22
2004,Jul,23
2004,Aug,24
2004,Sep,21
2004,Oct,21
2004,Nov,22
2004,Dec,23
2005,Jan,19
2005,Feb,22
2005,Mar,25
2005,Apr,25
2005,May,26
2005,Jun,25
2005,Jul,27
2005,Aug,28
2005,Sep,24
2005,Oct,23
2005,Nov,27
2005,Dec,28
2006,Jan,25
2006,Feb,27
2006,Mar,28
2006,Apr,29
2006,May,28
2006,Jun,30
2006,Jul,29
2006,Aug,31
2006,Sep,29
2006,Oct,27
2006,Nov,28
2006,Dec,32
2007,Jan,27
2007,Feb,29
2007,Mar,30
2007,Apr,29
2007,May,27
2007,Jun,29
2007,Jul,31
2007,Aug,33
2007,Sep,31
2007,Oct,28
2007,Nov,31
2007,Dec,34
2008,Jan,29
2008,Feb,31
2008,Mar,35
2008,Apr,35
2008,May,34
2008,Jun,33
2008,Jul,35
2008,Aug,39
2008,Sep,31
2008,Oct,30
2008,Nov,33
2008,Dec,37
2009,Jan,28
2009,Feb,32
2009,Mar,34
2009,Apr,32
2009,May,33
2009,Jun,33
2009,Jul,33
2009,Aug,36
2009,Sep,31
2009,Oct,31
2009,Nov,34
2009,Dec,37
2010,Jan,30
2010,Feb,32
2010,Mar,35
2010,Apr,36
2010,May,34
2010,Jun,33
2010,Jul,33
2010,Aug,37
2010,Sep,33
2010,Oct,33
2010,Nov,37
2010,Dec,38
2011,Jan,35
2011,Feb,41
2011,Mar,41
2011,Apr,42
2011,May,39
2011,Jun,38
2011,Jul,40
2011,Aug,42
2011,Sep,42
2011,Oct,37
2011,Nov,41
2011,Dec,48
2012,Jan,43
2012,Feb,51
2012,Mar,49
2012,Apr,59
2012,May,47
2012,Jun,49
2012,Jul,52
2012,Aug,60
2012,Sep,46
2012,Oct,44
2012,Nov,53
2012,Dec,58
2013,Jan,49
2013,Feb,51
2013,Mar,51
2013,Apr,51
2013,May,47
2013,Jun,44
2013,Jul,49
2013,Aug,56
2013,Sep,47
2013,Oct,45
2013,Nov,53
2013,Dec,63
2014,Jan,49
2014,Feb,57
2014,Mar,57
2014,Apr,56
2014,May,52
2014,Jun,53
2014,Jul,53
2014,Aug,58
2014,Sep,48
2014,Oct,45
2014,Nov,55
2014,Dec,66
2015,Jan,51
2015,Feb,55
2015,Mar,56
2015,Apr,53
2015,May,52
2015,Jun,50
2015,Jul,57
2015,Aug,63
2015,Sep,52
2015,Oct,53
2015,Nov,64
2015,Dec,71
2016,Jan,60
2016,Feb,64
2016,Mar,64
2016,Apr,59
2016,May,56
2016,Jun,54
2016,Jul,59
2016,Aug,65
2016,Sep,56
2016,Oct,55
2016,Nov,69
2016,Dec,71
2017,Jan,51
2017,Feb,53
2017,Mar,58
2017,Apr,53
2017,May,51
2017,Jun,51
2017,Jul,58
2017,Aug,62
2017,Sep,51
2017,Oct,50
2017,Nov,66
2017,Dec,70
2018,Jan,51
2018,Feb,55
2018,Mar,60
2018,Apr,53
2018,May,50
2018,Jun,53
2018,Jul,59
2018,Aug,64
2018,Sep,100
2018,Oct,50
2018,Nov,64
2018,Dec,70
2019,Jan,52
2019,Feb,56
2019,Mar,59
2019,Apr,56
2019,May,53
2019,Jun,54
2019,Jul,66
2019,Aug,64
2019,Sep,52
2019,Oct,51
2019,Nov,67
2019,Dec,79
2020,Jan,57
2020,Feb,61
2020,Mar,50
2020,Apr,53
2020,May,67
2020,Jun,65
2020,Jul,67
2020,Aug,64
2020,Sep,56
2020,Oct,56
2020,Nov,66
2020,Dec,73
2021,Jan,55
2021,Feb,57
2021,Mar,69
2021,Apr,62
2021,May,57
2021,Jun,56
2021,Jul,65
2021,Aug,71
2021,Sep,59
2021,Oct,60
2021,Nov,82
2021,Dec,84
2022,Jan,62
2022,Feb,62
2022,Mar,64
