CNAME:,COMMUNITY HEALTH SYSTEMS INC
Google Trends Search Term:,community health systems
Google Trends Suggestion:,hospitals company
Google Trends URL:,/m/03p1vy8
Year,Month,SVI Data
2004,Jan,14
2004,Feb,14
2004,Mar,8
2004,Apr,10
2004,May,4
2004,Jun,14
2004,Jul,11
2004,Aug,23
2004,Sep,11
2004,Oct,14
2004,Nov,3
2004,Dec,7
2005,Jan,17
2005,Feb,19
2005,Mar,16
2005,Apr,9
2005,May,11
2005,Jun,11
2005,Jul,8
2005,Aug,17
2005,Sep,5
2005,Oct,13
2005,Nov,11
2005,Dec,10
2006,Jan,14
2006,Feb,14
2006,Mar,10
2006,Apr,12
2006,May,15
2006,Jun,17
2006,Jul,14
2006,Aug,14
2006,Sep,13
2006,Oct,11
2006,Nov,11
2006,Dec,6
2007,Jan,11
2007,Feb,11
2007,Mar,32
2007,Apr,19
2007,May,17
2007,Jun,17
2007,Jul,17
2007,Aug,19
2007,Sep,17
2007,Oct,17
2007,Nov,18
2007,Dec,13
2008,Jan,17
2008,Feb,15
2008,Mar,15
2008,Apr,13
2008,May,13
2008,Jun,18
2008,Jul,17
2008,Aug,17
2008,Sep,19
2008,Oct,21
2008,Nov,13
2008,Dec,16
2009,Jan,14
2009,Feb,18
2009,Mar,21
2009,Apr,17
2009,May,10
2009,Jun,16
2009,Jul,20
2009,Aug,15
2009,Sep,19
2009,Oct,17
2009,Nov,19
2009,Dec,11
2010,Jan,16
2010,Feb,22
2010,Mar,19
2010,Apr,18
2010,May,16
2010,Jun,13
2010,Jul,19
2010,Aug,20
2010,Sep,19
2010,Oct,17
2010,Nov,18
2010,Dec,23
2011,Jan,19
2011,Feb,21
2011,Mar,21
2011,Apr,29
2011,May,25
2011,Jun,20
2011,Jul,21
2011,Aug,20
2011,Sep,20
2011,Oct,21
2011,Nov,19
2011,Dec,15
2012,Jan,18
2012,Feb,17
2012,Mar,21
2012,Apr,21
2012,May,19
2012,Jun,18
2012,Jul,21
2012,Aug,18
2012,Sep,17
2012,Oct,17
2012,Nov,12
2012,Dec,11
2013,Jan,14
2013,Feb,16
2013,Mar,15
2013,Apr,15
2013,May,14
2013,Jun,15
2013,Jul,29
2013,Aug,23
2013,Sep,19
2013,Oct,18
2013,Nov,18
2013,Dec,15
2014,Jan,24
2014,Feb,23
2014,Mar,20
2014,Apr,17
2014,May,20
2014,Jun,21
2014,Jul,20
2014,Aug,100
2014,Sep,25
2014,Oct,30
2014,Nov,20
2014,Dec,18
2015,Jan,19
2015,Feb,20
2015,Mar,19
2015,Apr,21
2015,May,19
2015,Jun,22
2015,Jul,20
2015,Aug,26
2015,Sep,16
2015,Oct,19
2015,Nov,18
2015,Dec,14
2016,Jan,15
2016,Feb,18
2016,Mar,16
2016,Apr,15
2016,May,16
2016,Jun,14
2016,Jul,14
2016,Aug,19
2016,Sep,25
2016,Oct,22
2016,Nov,20
2016,Dec,16
2017,Jan,18
2017,Feb,19
2017,Mar,18
2017,Apr,13
2017,May,14
2017,Jun,17
2017,Jul,15
2017,Aug,18
2017,Sep,12
2017,Oct,14
2017,Nov,15
2017,Dec,13
2018,Jan,15
2018,Feb,13
2018,Mar,14
2018,Apr,15
2018,May,14
2018,Jun,14
2018,Jul,18
2018,Aug,15
2018,Sep,13
2018,Oct,15
2018,Nov,10
2018,Dec,10
2019,Jan,10
2019,Feb,12
2019,Mar,10
2019,Apr,11
2019,May,11
2019,Jun,11
2019,Jul,12
2019,Aug,15
2019,Sep,10
2019,Oct,9
2019,Nov,8
2019,Dec,9
2020,Jan,10
2020,Feb,9
2020,Mar,8
2020,Apr,11
2020,May,7
2020,Jun,10
2020,Jul,10
2020,Aug,9
2020,Sep,8
2020,Oct,7
2020,Nov,6
2020,Dec,7
2021,Jan,7
2021,Feb,8
2021,Mar,8
2021,Apr,7
2021,May,13
2021,Jun,8
2021,Jul,8
2021,Aug,8
2021,Sep,6
2021,Oct,9
2021,Nov,8
2021,Dec,6
2022,Jan,6
2022,Feb,8
2022,Mar,8
