CNAME:,CENTERPOINT ENERGY INC
Google Trends Search Term:,centerpoint energy
Google Trends Suggestion:,utilities company
Google Trends URL:,/m/085rzg
Year,Month,SVI Data
2004,Jan,11
2004,Feb,12
2004,Mar,9
2004,Apr,11
2004,May,9
2004,Jun,11
2004,Jul,9
2004,Aug,12
2004,Sep,12
2004,Oct,11
2004,Nov,8
2004,Dec,9
2005,Jan,12
2005,Feb,13
2005,Mar,13
2005,Apr,12
2005,May,13
2005,Jun,12
2005,Jul,16
2005,Aug,14
2005,Sep,18
2005,Oct,16
2005,Nov,16
2005,Dec,14
2006,Jan,18
2006,Feb,15
2006,Mar,17
2006,Apr,16
2006,May,17
2006,Jun,16
2006,Jul,15
2006,Aug,15
2006,Sep,18
2006,Oct,19
2006,Nov,17
2006,Dec,15
2007,Jan,17
2007,Feb,17
2007,Mar,19
2007,Apr,17
2007,May,19
2007,Jun,20
2007,Jul,17
2007,Aug,17
2007,Sep,15
2007,Oct,16
2007,Nov,15
2007,Dec,14
2008,Jan,18
2008,Feb,16
2008,Mar,16
2008,Apr,17
2008,May,16
2008,Jun,18
2008,Jul,18
2008,Aug,17
2008,Sep,100
2008,Oct,19
2008,Nov,16
2008,Dec,17
2009,Jan,17
2009,Feb,16
2009,Mar,17
2009,Apr,16
2009,May,14
2009,Jun,18
2009,Jul,18
2009,Aug,16
2009,Sep,17
2009,Oct,17
2009,Nov,15
2009,Dec,17
2010,Jan,19
2010,Feb,18
2010,Mar,19
2010,Apr,20
2010,May,17
2010,Jun,18
2010,Jul,18
2010,Aug,18
2010,Sep,16
2010,Oct,17
2010,Nov,16
2010,Dec,17
2011,Jan,20
2011,Feb,26
2011,Mar,22
2011,Apr,21
2011,May,21
2011,Jun,25
2011,Jul,25
2011,Aug,24
2011,Sep,23
2011,Oct,22
2011,Nov,21
2011,Dec,22
2012,Jan,24
2012,Feb,23
2012,Mar,21
2012,Apr,20
2012,May,22
2012,Jun,23
2012,Jul,20
2012,Aug,20
2012,Sep,18
2012,Oct,20
2012,Nov,19
2012,Dec,20
2013,Jan,21
2013,Feb,21
2013,Mar,21
2013,Apr,21
2013,May,21
2013,Jun,23
2013,Jul,24
2013,Aug,22
2013,Sep,21
2013,Oct,22
2013,Nov,20
2013,Dec,21
2014,Jan,23
2014,Feb,23
2014,Mar,22
2014,Apr,22
2014,May,24
2014,Jun,24
2014,Jul,25
2014,Aug,21
2014,Sep,24
2014,Oct,22
2014,Nov,23
2014,Dec,22
2015,Jan,23
2015,Feb,23
2015,Mar,22
2015,Apr,21
2015,May,22
2015,Jun,23
2015,Jul,25
2015,Aug,25
2015,Sep,23
2015,Oct,23
2015,Nov,21
2015,Dec,21
2016,Jan,20
2016,Feb,22
2016,Mar,21
2016,Apr,24
2016,May,23
2016,Jun,24
2016,Jul,21
2016,Aug,23
2016,Sep,20
2016,Oct,19
2016,Nov,20
2016,Dec,20
2017,Jan,21
2017,Feb,20
2017,Mar,20
2017,Apr,19
2017,May,20
2017,Jun,22
2017,Jul,21
2017,Aug,28
2017,Sep,21
2017,Oct,20
2017,Nov,19
2017,Dec,21
2018,Jan,23
2018,Feb,22
2018,Mar,20
2018,Apr,21
2018,May,22
2018,Jun,22
2018,Jul,23
2018,Aug,21
2018,Sep,21
2018,Oct,22
2018,Nov,22
2018,Dec,23
2019,Jan,25
2019,Feb,24
2019,Mar,23
2019,Apr,25
2019,May,26
2019,Jun,26
2019,Jul,27
2019,Aug,24
2019,Sep,23
2019,Oct,24
2019,Nov,22
2019,Dec,22
2020,Jan,24
2020,Feb,23
2020,Mar,21
2020,Apr,22
2020,May,25
2020,Jun,24
2020,Jul,23
2020,Aug,21
2020,Sep,20
2020,Oct,21
2020,Nov,20
2020,Dec,22
2021,Jan,21
2021,Feb,96
2021,Mar,24
2021,Apr,21
2021,May,23
2021,Jun,25
2021,Jul,27
2021,Aug,25
2021,Sep,39
2021,Oct,28
2021,Nov,26
2021,Dec,25
2022,Jan,29
2022,Feb,34
2022,Mar,33
