CNAME:,UPWORK INC
Google Trends Search Term:,upwork inc
Google Trends Suggestion:,company
Google Trends URL:,/m/02pzh5d
Year,Month,SVI Data
2004,Jan,17
2004,Feb,18
2004,Mar,12
2004,Apr,20
2004,May,23
2004,Jun,20
2004,Jul,17
2004,Aug,21
2004,Sep,20
2004,Oct,21
2004,Nov,10
2004,Dec,14
2005,Jan,20
2005,Feb,18
2005,Mar,18
2005,Apr,14
2005,May,21
2005,Jun,21
2005,Jul,22
2005,Aug,18
2005,Sep,14
2005,Oct,17
2005,Nov,17
2005,Dec,14
2006,Jan,17
2006,Feb,14
2006,Mar,17
2006,Apr,13
2006,May,17
2006,Jun,18
2006,Jul,14
2006,Aug,18
2006,Sep,14
2006,Oct,20
2006,Nov,17
2006,Dec,16
2007,Jan,17
2007,Feb,15
2007,Mar,14
2007,Apr,19
2007,May,12
2007,Jun,23
2007,Jul,22
2007,Aug,24
2007,Sep,20
2007,Oct,26
2007,Nov,23
2007,Dec,24
2008,Jan,32
2008,Feb,24
2008,Mar,24
2008,Apr,41
2008,May,33
2008,Jun,31
2008,Jul,40
2008,Aug,50
2008,Sep,39
2008,Oct,39
2008,Nov,82
2008,Dec,39
2009,Jan,48
2009,Feb,53
2009,Mar,55
2009,Apr,46
2009,May,57
2009,Jun,48
2009,Jul,48
2009,Aug,50
2009,Sep,41
2009,Oct,38
2009,Nov,43
2009,Dec,34
2010,Jan,44
2010,Feb,50
2010,Mar,52
2010,Apr,43
2010,May,52
2010,Jun,48
2010,Jul,53
2010,Aug,50
2010,Sep,56
2010,Oct,49
2010,Nov,48
2010,Dec,40
2011,Jan,64
2011,Feb,58
2011,Mar,61
2011,Apr,55
2011,May,63
2011,Jun,65
2011,Jul,61
2011,Aug,77
2011,Sep,75
2011,Oct,71
2011,Nov,65
2011,Dec,66
2012,Jan,76
2012,Feb,73
2012,Mar,79
2012,Apr,76
2012,May,73
2012,Jun,77
2012,Jul,75
2012,Aug,71
2012,Sep,78
2012,Oct,83
2012,Nov,70
2012,Dec,76
2013,Jan,89
2013,Feb,87
2013,Mar,89
2013,Apr,83
2013,May,87
2013,Jun,86
2013,Jul,96
2013,Aug,95
2013,Sep,90
2013,Oct,86
2013,Nov,76
2013,Dec,72
2014,Jan,91
2014,Feb,87
2014,Mar,96
2014,Apr,89
2014,May,92
2014,Jun,88
2014,Jul,94
2014,Aug,92
2014,Sep,85
2014,Oct,85
2014,Nov,83
2014,Dec,73
2015,Jan,79
2015,Feb,86
2015,Mar,88
2015,Apr,91
2015,May,94
2015,Jun,100
2015,Jul,94
2015,Aug,93
2015,Sep,82
2015,Oct,80
2015,Nov,73
2015,Dec,70
2016,Jan,69
2016,Feb,74
2016,Mar,74
2016,Apr,69
2016,May,73
2016,Jun,76
2016,Jul,67
2016,Aug,66
2016,Sep,64
2016,Oct,65
2016,Nov,64
2016,Dec,61
2017,Jan,76
2017,Feb,75
2017,Mar,79
2017,Apr,80
2017,May,81
2017,Jun,78
2017,Jul,77
2017,Aug,80
2017,Sep,69
2017,Oct,74
2017,Nov,72
2017,Dec,62
2018,Jan,82
2018,Feb,79
2018,Mar,82
2018,Apr,75
2018,May,79
2018,Jun,79
2018,Jul,75
2018,Aug,76
2018,Sep,72
2018,Oct,84
2018,Nov,65
2018,Dec,61
2019,Jan,84
2019,Feb,80
2019,Mar,71
2019,Apr,72
2019,May,79
2019,Jun,88
2019,Jul,79
2019,Aug,81
2019,Sep,81
2019,Oct,83
2019,Nov,75
2019,Dec,66
2020,Jan,79
2020,Feb,85
2020,Mar,81
2020,Apr,84
2020,May,90
2020,Jun,94
2020,Jul,93
2020,Aug,91
2020,Sep,81
2020,Oct,72
2020,Nov,73
2020,Dec,70
2021,Jan,67
2021,Feb,78
2021,Mar,65
2021,Apr,58
2021,May,67
2021,Jun,69
2021,Jul,70
2021,Aug,63
2021,Sep,71
2021,Oct,63
2021,Nov,66
2021,Dec,62
2022,Jan,89
2022,Feb,85
2022,Mar,84
