CNAME:,UNITED TECHNOLOGIES CORP
Google Trends Search Term:,united technologies corporation
Google Trends Suggestion:,multinational conglomerate
Google Trends URL:,/m/02_g11
Year,Month,SVI Data
2004,Jan,55
2004,Feb,48
2004,Mar,40
2004,Apr,59
2004,May,50
2004,Jun,50
2004,Jul,59
2004,Aug,46
2004,Sep,47
2004,Oct,46
2004,Nov,55
2004,Dec,44
2005,Jan,73
2005,Feb,50
2005,Mar,37
2005,Apr,56
2005,May,70
2005,Jun,79
2005,Jul,48
2005,Aug,49
2005,Sep,46
2005,Oct,49
2005,Nov,46
2005,Dec,48
2006,Jan,48
2006,Feb,50
2006,Mar,53
2006,Apr,50
2006,May,40
2006,Jun,50
2006,Jul,56
2006,Aug,47
2006,Sep,48
2006,Oct,49
2006,Nov,57
2006,Dec,44
2007,Jan,50
2007,Feb,54
2007,Mar,44
2007,Apr,51
2007,May,42
2007,Jun,41
2007,Jul,55
2007,Aug,46
2007,Sep,43
2007,Oct,53
2007,Nov,43
2007,Dec,36
2008,Jan,44
2008,Feb,44
2008,Mar,61
2008,Apr,48
2008,May,35
2008,Jun,39
2008,Jul,48
2008,Aug,31
2008,Sep,47
2008,Oct,58
2008,Nov,43
2008,Dec,40
2009,Jan,41
2009,Feb,38
2009,Mar,62
2009,Apr,32
2009,May,31
2009,Jun,36
2009,Jul,37
2009,Aug,32
2009,Sep,31
2009,Oct,38
2009,Nov,34
2009,Dec,30
2010,Jan,31
2010,Feb,33
2010,Mar,35
2010,Apr,32
2010,May,27
2010,Jun,29
2010,Jul,27
2010,Aug,24
2010,Sep,26
2010,Oct,28
2010,Nov,25
2010,Dec,25
2011,Jan,38
2011,Feb,35
2011,Mar,30
2011,Apr,31
2011,May,28
2011,Jun,31
2011,Jul,30
2011,Aug,33
2011,Sep,53
2011,Oct,40
2011,Nov,26
2011,Dec,27
2012,Jan,33
2012,Feb,31
2012,Mar,29
2012,Apr,27
2012,May,29
2012,Jun,35
2012,Jul,35
2012,Aug,33
2012,Sep,29
2012,Oct,32
2012,Nov,31
2012,Dec,27
2013,Jan,36
2013,Feb,34
2013,Mar,32
2013,Apr,33
2013,May,30
2013,Jun,30
2013,Jul,34
2013,Aug,33
2013,Sep,34
2013,Oct,37
2013,Nov,30
2013,Dec,29
2014,Jan,36
2014,Feb,35
2014,Mar,30
2014,Apr,36
2014,May,29
2014,Jun,30
2014,Jul,29
2014,Aug,27
2014,Sep,28
2014,Oct,34
2014,Nov,34
2014,Dec,33
2015,Jan,32
2015,Feb,31
2015,Mar,34
2015,Apr,33
2015,May,27
2015,Jun,34
2015,Jul,43
2015,Aug,38
2015,Sep,34
2015,Oct,31
2015,Nov,28
2015,Dec,26
2016,Jan,28
2016,Feb,47
2016,Mar,33
2016,Apr,29
2016,May,27
2016,Jun,24
2016,Jul,27
2016,Aug,25
2016,Sep,25
2016,Oct,28
2016,Nov,31
2016,Dec,46
2017,Jan,29
2017,Feb,27
2017,Mar,30
2017,Apr,25
2017,May,25
2017,Jun,28
2017,Jul,26
2017,Aug,42
2017,Sep,43
2017,Oct,32
2017,Nov,30
2017,Dec,29
2018,Jan,36
2018,Feb,41
2018,Mar,36
2018,Apr,30
2018,May,33
2018,Jun,28
2018,Jul,34
2018,Aug,31
2018,Sep,36
2018,Oct,41
2018,Nov,48
2018,Dec,33
2019,Jan,38
2019,Feb,42
2019,Mar,36
2019,Apr,36
2019,May,31
2019,Jun,100
2019,Jul,42
2019,Aug,36
2019,Sep,38
2019,Oct,43
2019,Nov,34
2019,Dec,31
2020,Jan,40
2020,Feb,44
2020,Mar,74
2020,Apr,50
2020,May,19
2020,Jun,19
2020,Jul,17
2020,Aug,15
2020,Sep,15
2020,Oct,12
2020,Nov,12
2020,Dec,11
2021,Jan,11
2021,Feb,12
2021,Mar,13
2021,Apr,10
2021,May,8
2021,Jun,8
2021,Jul,7
2021,Aug,6
2021,Sep,7
2021,Oct,8
2021,Nov,5
2021,Dec,6
2022,Jan,6
2022,Feb,7
2022,Mar,7
