CNAME:,UNDER ARMOUR INC
Google Trends Search Term:,under armour
Google Trends Suggestion:,sports equipment company
Google Trends URL:,/m/03sdzf
Year,Month,SVI Data
2004,Jan,14
2004,Feb,10
2004,Mar,11
2004,Apr,9
2004,May,9
2004,Jun,11
2004,Jul,13
2004,Aug,15
2004,Sep,18
2004,Oct,20
2004,Nov,22
2004,Dec,24
2005,Jan,18
2005,Feb,14
2005,Mar,16
2005,Apr,13
2005,May,13
2005,Jun,13
2005,Jul,15
2005,Aug,19
2005,Sep,22
2005,Oct,22
2005,Nov,38
2005,Dec,31
2006,Jan,17
2006,Feb,17
2006,Mar,17
2006,Apr,18
2006,May,17
2006,Jun,17
2006,Jul,21
2006,Aug,24
2006,Sep,24
2006,Oct,28
2006,Nov,29
2006,Dec,33
2007,Jan,21
2007,Feb,24
2007,Mar,19
2007,Apr,21
2007,May,19
2007,Jun,20
2007,Jul,23
2007,Aug,26
2007,Sep,24
2007,Oct,27
2007,Nov,34
2007,Dec,39
2008,Jan,29
2008,Feb,30
2008,Mar,24
2008,Apr,24
2008,May,24
2008,Jun,23
2008,Jul,23
2008,Aug,27
2008,Sep,24
2008,Oct,27
2008,Nov,34
2008,Dec,40
2009,Jan,34
2009,Feb,26
2009,Mar,25
2009,Apr,22
2009,May,21
2009,Jun,21
2009,Jul,24
2009,Aug,26
2009,Sep,26
2009,Oct,30
2009,Nov,34
2009,Dec,43
2010,Jan,31
2010,Feb,27
2010,Mar,26
2010,Apr,23
2010,May,23
2010,Jun,23
2010,Jul,23
2010,Aug,26
2010,Sep,25
2010,Oct,29
2010,Nov,43
2010,Dec,55
2011,Jan,48
2011,Feb,38
2011,Mar,38
2011,Apr,35
2011,May,32
2011,Jun,33
2011,Jul,38
2011,Aug,44
2011,Sep,46
2011,Oct,47
2011,Nov,65
2011,Dec,72
2012,Jan,58
2012,Feb,44
2012,Mar,42
2012,Apr,42
2012,May,39
2012,Jun,40
2012,Jul,50
2012,Aug,52
2012,Sep,47
2012,Oct,54
2012,Nov,71
2012,Dec,74
2013,Jan,55
2013,Feb,52
2013,Mar,56
2013,Apr,48
2013,May,42
2013,Jun,42
2013,Jul,52
2013,Aug,61
2013,Sep,52
2013,Oct,58
2013,Nov,81
2013,Dec,97
2014,Jan,68
2014,Feb,59
2014,Mar,59
2014,Apr,52
2014,May,49
2014,Jun,48
2014,Jul,59
2014,Aug,75
2014,Sep,61
2014,Oct,59
2014,Nov,87
2014,Dec,91
2015,Jan,62
2015,Feb,58
2015,Mar,58
2015,Apr,58
2015,May,55
2015,Jun,58
2015,Jul,68
2015,Aug,72
2015,Sep,64
2015,Oct,66
2015,Nov,92
2015,Dec,94
2016,Jan,71
2016,Feb,67
2016,Mar,69
2016,Apr,70
2016,May,66
2016,Jun,70
2016,Jul,73
2016,Aug,82
2016,Sep,66
2016,Oct,68
2016,Nov,91
2016,Dec,100
2017,Jan,63
2017,Feb,70
2017,Mar,63
2017,Apr,60
2017,May,55
2017,Jun,61
2017,Jul,72
2017,Aug,77
2017,Sep,61
2017,Oct,63
2017,Nov,92
2017,Dec,88
2018,Jan,62
2018,Feb,59
2018,Mar,57
2018,Apr,53
2018,May,54
2018,Jun,56
2018,Jul,63
2018,Aug,64
2018,Sep,60
2018,Oct,58
2018,Nov,85
2018,Dec,76
2019,Jan,53
2019,Feb,51
2019,Mar,54
2019,Apr,50
2019,May,49
2019,Jun,51
2019,Jul,57
2019,Aug,57
2019,Sep,45
2019,Oct,49
2019,Nov,67
2019,Dec,69
2020,Jan,47
2020,Feb,46
2020,Mar,34
2020,Apr,40
2020,May,48
2020,Jun,54
2020,Jul,54
2020,Aug,52
2020,Sep,46
2020,Oct,48
2020,Nov,60
2020,Dec,59
2021,Jan,41
2021,Feb,41
2021,Mar,45
2021,Apr,40
2021,May,40
2021,Jun,40
2021,Jul,47
2021,Aug,51
2021,Sep,41
2021,Oct,41
2021,Nov,67
2021,Dec,54
2022,Jan,43
2022,Feb,38
2022,Mar,42
