CNAME:,BUNGE LTD
Google Trends Search Term:,bunge limited
Google Trends Suggestion:,food company
Google Trends URL:,/m/0fb47
Year,Month,SVI Data
2004,Jan,100
2004,Feb,76
2004,Mar,93
2004,Apr,56
2004,May,51
2004,Jun,46
2004,Jul,68
2004,Aug,55
2004,Sep,50
2004,Oct,27
2004,Nov,95
2004,Dec,60
2005,Jan,55
2005,Feb,38
2005,Mar,64
2005,Apr,59
2005,May,48
2005,Jun,86
2005,Jul,56
2005,Aug,52
2005,Sep,60
2005,Oct,62
2005,Nov,52
2005,Dec,44
2006,Jan,54
2006,Feb,50
2006,Mar,43
2006,Apr,58
2006,May,67
2006,Jun,65
2006,Jul,62
2006,Aug,54
2006,Sep,38
2006,Oct,52
2006,Nov,52
2006,Dec,48
2007,Jan,43
2007,Feb,49
2007,Mar,51
2007,Apr,59
2007,May,46
2007,Jun,55
2007,Jul,57
2007,Aug,61
2007,Sep,56
2007,Oct,83
2007,Nov,53
2007,Dec,63
2008,Jan,67
2008,Feb,62
2008,Mar,66
2008,Apr,82
2008,May,79
2008,Jun,92
2008,Jul,88
2008,Aug,67
2008,Sep,74
2008,Oct,82
2008,Nov,61
2008,Dec,70
2009,Jan,70
2009,Feb,75
2009,Mar,67
2009,Apr,66
2009,May,61
2009,Jun,81
2009,Jul,73
2009,Aug,83
2009,Sep,65
2009,Oct,61
2009,Nov,61
2009,Dec,47
2010,Jan,56
2010,Feb,63
2010,Mar,61
2010,Apr,70
2010,May,76
2010,Jun,64
2010,Jul,64
2010,Aug,61
2010,Sep,67
2010,Oct,75
2010,Nov,57
2010,Dec,51
2011,Jan,46
2011,Feb,49
2011,Mar,47
2011,Apr,51
2011,May,42
2011,Jun,49
2011,Jul,46
2011,Aug,47
2011,Sep,44
2011,Oct,42
2011,Nov,42
2011,Dec,31
2012,Jan,44
2012,Feb,39
2012,Mar,35
2012,Apr,40
2012,May,42
2012,Jun,41
2012,Jul,38
2012,Aug,36
2012,Sep,39
2012,Oct,38
2012,Nov,38
2012,Dec,27
2013,Jan,35
2013,Feb,36
2013,Mar,35
2013,Apr,35
2013,May,29
2013,Jun,33
2013,Jul,35
2013,Aug,36
2013,Sep,30
2013,Oct,38
2013,Nov,33
2013,Dec,27
2014,Jan,35
2014,Feb,34
2014,Mar,31
2014,Apr,35
2014,May,40
2014,Jun,34
2014,Jul,37
2014,Aug,35
2014,Sep,43
2014,Oct,43
2014,Nov,32
2014,Dec,30
2015,Jan,36
2015,Feb,39
2015,Mar,36
2015,Apr,39
2015,May,37
2015,Jun,51
2015,Jul,44
2015,Aug,43
2015,Sep,39
2015,Oct,47
2015,Nov,39
2015,Dec,37
2016,Jan,36
2016,Feb,37
2016,Mar,42
2016,Apr,40
2016,May,43
2016,Jun,40
2016,Jul,34
2016,Aug,38
2016,Sep,40
2016,Oct,37
2016,Nov,41
2016,Dec,32
2017,Jan,34
2017,Feb,42
2017,Mar,36
2017,Apr,32
2017,May,49
2017,Jun,36
2017,Jul,41
2017,Aug,40
2017,Sep,39
2017,Oct,38
2017,Nov,47
2017,Dec,31
2018,Jan,54
2018,Feb,57
2018,Mar,43
2018,Apr,40
2018,May,33
2018,Jun,34
2018,Jul,33
2018,Aug,37
2018,Sep,36
2018,Oct,46
2018,Nov,37
2018,Dec,36
2019,Jan,41
2019,Feb,42
2019,Mar,39
2019,Apr,35
2019,May,38
2019,Jun,38
2019,Jul,36
2019,Aug,43
2019,Sep,37
2019,Oct,39
2019,Nov,31
2019,Dec,32
2020,Jan,32
2020,Feb,34
2020,Mar,33
2020,Apr,34
2020,May,37
2020,Jun,35
2020,Jul,32
2020,Aug,34
2020,Sep,31
2020,Oct,39
2020,Nov,29
2020,Dec,26
2021,Jan,28
2021,Feb,33
2021,Mar,28
2021,Apr,36
2021,May,33
2021,Jun,31
2021,Jul,28
2021,Aug,31
2021,Sep,35
2021,Oct,31
2021,Nov,31
2021,Dec,29
2022,Jan,35
2022,Feb,41
2022,Mar,42
