CNAME:,J M SMUCKER CO
Google Trends Search Term:,the jm smucker company
Google Trends Suggestion:,company
Google Trends URL:,/m/02r841
Year,Month,SVI Data
2004,Jan,95
2004,Feb,57
2004,Mar,73
2004,Apr,45
2004,May,34
2004,Jun,42
2004,Jul,38
2004,Aug,60
2004,Sep,34
2004,Oct,53
2004,Nov,73
2004,Dec,50
2005,Jan,73
2005,Feb,61
2005,Mar,62
2005,Apr,62
2005,May,49
2005,Jun,40
2005,Jul,25
2005,Aug,43
2005,Sep,35
2005,Oct,38
2005,Nov,44
2005,Dec,50
2006,Jan,57
2006,Feb,57
2006,Mar,62
2006,Apr,46
2006,May,53
2006,Jun,36
2006,Jul,36
2006,Aug,33
2006,Sep,40
2006,Oct,39
2006,Nov,52
2006,Dec,57
2007,Jan,51
2007,Feb,53
2007,Mar,41
2007,Apr,47
2007,May,29
2007,Jun,33
2007,Jul,30
2007,Aug,44
2007,Sep,45
2007,Oct,38
2007,Nov,43
2007,Dec,40
2008,Jan,44
2008,Feb,49
2008,Mar,44
2008,Apr,40
2008,May,38
2008,Jun,58
2008,Jul,35
2008,Aug,39
2008,Sep,41
2008,Oct,52
2008,Nov,56
2008,Dec,53
2009,Jan,100
2009,Feb,86
2009,Mar,57
2009,Apr,47
2009,May,38
2009,Jun,42
2009,Jul,44
2009,Aug,45
2009,Sep,46
2009,Oct,43
2009,Nov,49
2009,Dec,48
2010,Jan,53
2010,Feb,57
2010,Mar,63
2010,Apr,51
2010,May,45
2010,Jun,35
2010,Jul,36
2010,Aug,42
2010,Sep,38
2010,Oct,35
2010,Nov,33
2010,Dec,37
2011,Jan,42
2011,Feb,51
2011,Mar,48
2011,Apr,40
2011,May,46
2011,Jun,39
2011,Jul,42
2011,Aug,43
2011,Sep,43
2011,Oct,43
2011,Nov,58
2011,Dec,38
2012,Jan,43
2012,Feb,38
2012,Mar,42
2012,Apr,41
2012,May,34
2012,Jun,36
2012,Jul,33
2012,Aug,33
2012,Sep,36
2012,Oct,40
2012,Nov,36
2012,Dec,33
2013,Jan,31
2013,Feb,42
2013,Mar,36
2013,Apr,38
2013,May,33
2013,Jun,33
2013,Jul,38
2013,Aug,34
2013,Sep,36
2013,Oct,38
2013,Nov,33
2013,Dec,30
2014,Jan,34
2014,Feb,34
2014,Mar,35
2014,Apr,35
2014,May,29
2014,Jun,32
2014,Jul,34
2014,Aug,35
2014,Sep,31
2014,Oct,32
2014,Nov,32
2014,Dec,27
2015,Jan,30
2015,Feb,47
2015,Mar,35
2015,Apr,44
2015,May,35
2015,Jun,34
2015,Jul,40
2015,Aug,39
2015,Sep,38
2015,Oct,38
2015,Nov,35
2015,Dec,35
2016,Jan,42
2016,Feb,40
2016,Mar,40
2016,Apr,41
2016,May,38
2016,Jun,38
2016,Jul,39
2016,Aug,39
2016,Sep,38
2016,Oct,35
2016,Nov,33
2016,Dec,35
2017,Jan,40
2017,Feb,39
2017,Mar,36
2017,Apr,37
2017,May,37
2017,Jun,41
2017,Jul,36
2017,Aug,38
2017,Sep,35
2017,Oct,36
2017,Nov,39
2017,Dec,32
2018,Jan,39
2018,Feb,56
2018,Mar,44
2018,Apr,48
2018,May,36
2018,Jun,39
2018,Jul,38
2018,Aug,46
2018,Sep,42
2018,Oct,43
2018,Nov,41
2018,Dec,36
2019,Jan,39
2019,Feb,40
2019,Mar,38
2019,Apr,39
2019,May,36
2019,Jun,35
2019,Jul,40
2019,Aug,38
2019,Sep,38
2019,Oct,35
2019,Nov,34
2019,Dec,33
2020,Jan,40
2020,Feb,38
2020,Mar,43
2020,Apr,42
2020,May,39
2020,Jun,39
2020,Jul,40
2020,Aug,41
2020,Sep,40
2020,Oct,37
2020,Nov,32
2020,Dec,29
2021,Jan,36
2021,Feb,40
2021,Mar,34
2021,Apr,34
2021,May,32
2021,Jun,34
2021,Jul,40
2021,Aug,37
2021,Sep,38
2021,Oct,32
2021,Nov,36
2021,Dec,33
2022,Jan,35
2022,Feb,34
2022,Mar,37
