CNAME:,ROCKWOOD HOLDINGS INC
Google Trends Search Term:,rockwood holdings inc
Google Trends Suggestion:,chemicals company
Google Trends URL:,/m/03p32lh
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,34
2005,Apr,20
2005,May,0
2005,Jun,18
2005,Jul,0
2005,Aug,100
2005,Sep,77
2005,Oct,29
2005,Nov,59
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,12
2006,May,11
2006,Jun,36
2006,Jul,0
2006,Aug,22
2006,Sep,32
2006,Oct,20
2006,Nov,39
2006,Dec,10
2007,Jan,26
2007,Feb,18
2007,Mar,17
2007,Apr,8
2007,May,23
2007,Jun,16
2007,Jul,23
2007,Aug,15
2007,Sep,29
2007,Oct,46
2007,Nov,26
2007,Dec,27
2008,Jan,12
2008,Feb,6
2008,Mar,6
2008,Apr,12
2008,May,30
2008,Jun,26
2008,Jul,37
2008,Aug,18
2008,Sep,11
2008,Oct,62
2008,Nov,17
2008,Dec,11
2009,Jan,16
2009,Feb,22
2009,Mar,30
2009,Apr,25
2009,May,26
2009,Jun,21
2009,Jul,26
2009,Aug,50
2009,Sep,44
2009,Oct,14
2009,Nov,14
2009,Dec,33
2010,Jan,9
2010,Feb,24
2010,Mar,22
2010,Apr,27
2010,May,28
2010,Jun,10
2010,Jul,12
2010,Aug,32
2010,Sep,8
2010,Oct,15
2010,Nov,11
2010,Dec,15
2011,Jan,14
2011,Feb,37
2011,Mar,14
2011,Apr,23
2011,May,20
2011,Jun,6
2011,Jul,23
2011,Aug,13
2011,Sep,3
2011,Oct,2
2011,Nov,18
2011,Dec,12
2012,Jan,11
2012,Feb,9
2012,Mar,18
2012,Apr,16
2012,May,13
2012,Jun,9
2012,Jul,11
2012,Aug,9
2012,Sep,26
2012,Oct,12
2012,Nov,8
2012,Dec,10
2013,Jan,11
2013,Feb,24
2013,Mar,5
2013,Apr,11
2013,May,15
2013,Jun,12
2013,Jul,6
2013,Aug,15
2013,Sep,15
2013,Oct,12
2013,Nov,15
2013,Dec,9
2014,Jan,10
2014,Feb,13
2014,Mar,21
2014,Apr,5
2014,May,9
2014,Jun,13
2014,Jul,55
2014,Aug,20
2014,Sep,14
2014,Oct,9
2014,Nov,4
2014,Dec,14
2015,Jan,15
2015,Feb,14
2015,Mar,8
2015,Apr,6
2015,May,4
2015,Jun,2
2015,Jul,6
2015,Aug,0
2015,Sep,2
2015,Oct,4
2015,Nov,4
2015,Dec,2
2016,Jan,2
2016,Feb,6
2016,Mar,4
2016,Apr,4
2016,May,1
2016,Jun,3
2016,Jul,3
2016,Aug,2
2016,Sep,12
2016,Oct,6
2016,Nov,1
2016,Dec,1
2017,Jan,5
2017,Feb,4
2017,Mar,0
2017,Apr,0
2017,May,1
2017,Jun,3
2017,Jul,0
2017,Aug,4
2017,Sep,1
2017,Oct,3
2017,Nov,0
2017,Dec,0
2018,Jan,1
2018,Feb,0
2018,Mar,1
2018,Apr,4
2018,May,0
2018,Jun,3
2018,Jul,3
2018,Aug,4
2018,Sep,0
2018,Oct,1
2018,Nov,0
2018,Dec,0
2019,Jan,1
2019,Feb,1
2019,Mar,1
2019,Apr,0
2019,May,1
2019,Jun,0
2019,Jul,0
2019,Aug,3
2019,Sep,0
2019,Oct,0
2019,Nov,2
2019,Dec,0
2020,Jan,0
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,1
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,5
2020,Dec,0
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,0
2021,May,0
2021,Jun,0
2021,Jul,1
2021,Aug,0
2021,Sep,1
2021,Oct,1
2021,Nov,0
2021,Dec,1
2022,Jan,1
2022,Feb,0
2022,Mar,1
