CNAME:,JETBLUE AIRWAYS CORP
Google Trends Search Term:,jetblue
Google Trends Suggestion:,airline
Google Trends URL:,/m/020v6m
Year,Month,SVI Data
2004,Jan,61
2004,Feb,48
2004,Mar,46
2004,Apr,56
2004,May,58
2004,Jun,59
2004,Jul,68
2004,Aug,52
2004,Sep,51
2004,Oct,52
2004,Nov,45
2004,Dec,45
2005,Jan,60
2005,Feb,58
2005,Mar,56
2005,Apr,56
2005,May,57
2005,Jun,57
2005,Jul,60
2005,Aug,56
2005,Sep,61
2005,Oct,57
2005,Nov,54
2005,Dec,47
2006,Jan,71
2006,Feb,63
2006,Mar,71
2006,Apr,72
2006,May,64
2006,Jun,77
2006,Jul,82
2006,Aug,75
2006,Sep,68
2006,Oct,75
2006,Nov,69
2006,Dec,60
2007,Jan,90
2007,Feb,100
2007,Mar,88
2007,Apr,75
2007,May,77
2007,Jun,85
2007,Jul,84
2007,Aug,76
2007,Sep,68
2007,Oct,67
2007,Nov,63
2007,Dec,64
2008,Jan,78
2008,Feb,74
2008,Mar,78
2008,Apr,72
2008,May,71
2008,Jun,72
2008,Jul,72
2008,Aug,67
2008,Sep,58
2008,Oct,52
2008,Nov,53
2008,Dec,59
2009,Jan,67
2009,Feb,63
2009,Mar,70
2009,Apr,62
2009,May,61
2009,Jun,65
2009,Jul,69
2009,Aug,79
2009,Sep,57
2009,Oct,57
2009,Nov,56
2009,Dec,56
2010,Jan,66
2010,Feb,68
2010,Mar,73
2010,Apr,63
2010,May,70
2010,Jun,65
2010,Jul,64
2010,Aug,83
2010,Sep,64
2010,Oct,63
2010,Nov,59
2010,Dec,63
2011,Jan,82
2011,Feb,84
2011,Mar,79
2011,Apr,71
2011,May,73
2011,Jun,82
2011,Jul,85
2011,Aug,85
2011,Sep,72
2011,Oct,68
2011,Nov,71
2011,Dec,65
2012,Jan,83
2012,Feb,75
2012,Mar,79
2012,Apr,65
2012,May,61
2012,Jun,66
2012,Jul,66
2012,Aug,63
2012,Sep,57
2012,Oct,58
2012,Nov,57
2012,Dec,58
2013,Jan,67
2013,Feb,67
2013,Mar,65
2013,Apr,62
2013,May,61
2013,Jun,65
2013,Jul,66
2013,Aug,62
2013,Sep,55
2013,Oct,56
2013,Nov,54
2013,Dec,55
2014,Jan,74
2014,Feb,69
2014,Mar,66
2014,Apr,61
2014,May,62
2014,Jun,62
2014,Jul,68
2014,Aug,59
2014,Sep,55
2014,Oct,49
2014,Nov,50
2014,Dec,50
2015,Jan,63
2015,Feb,65
2015,Mar,65
2015,Apr,56
2015,May,59
2015,Jun,63
2015,Jul,67
2015,Aug,64
2015,Sep,55
2015,Oct,57
2015,Nov,49
2015,Dec,53
2016,Jan,65
2016,Feb,64
2016,Mar,61
2016,Apr,57
2016,May,58
2016,Jun,60
2016,Jul,65
2016,Aug,64
2016,Sep,55
2016,Oct,54
2016,Nov,53
2016,Dec,57
2017,Jan,65
2017,Feb,59
2017,Mar,64
2017,Apr,56
2017,May,59
2017,Jun,62
2017,Jul,63
2017,Aug,61
2017,Sep,61
2017,Oct,54
2017,Nov,48
2017,Dec,50
2018,Jan,63
2018,Feb,55
2018,Mar,60
2018,Apr,55
2018,May,55
2018,Jun,58
2018,Jul,64
2018,Aug,58
2018,Sep,50
2018,Oct,48
2018,Nov,51
2018,Dec,47
2019,Jan,59
2019,Feb,58
2019,Mar,57
2019,Apr,54
2019,May,52
2019,Jun,55
2019,Jul,58
2019,Aug,56
2019,Sep,45
2019,Oct,47
2019,Nov,45
2019,Dec,50
2020,Jan,49
2020,Feb,51
2020,Mar,48
2020,Apr,17
2020,May,20
2020,Jun,25
2020,Jul,20
2020,Aug,18
2020,Sep,21
2020,Oct,23
2020,Nov,22
2020,Dec,23
2021,Jan,25
2021,Feb,32
2021,Mar,38
2021,Apr,43
2021,May,45
2021,Jun,50
2021,Jul,54
2021,Aug,46
2021,Sep,39
2021,Oct,43
2021,Nov,43
2021,Dec,46
2022,Jan,48
2022,Feb,53
2022,Mar,55
