CNAME:,THE COCA-COLA CO
Google Trends Search Term:,the coca-cola company
Google Trends Suggestion:,beverage production company
Google Trends URL:,/m/03phgz
Year,Month,SVI Data
2004,Jan,60
2004,Feb,66
2004,Mar,64
2004,Apr,74
2004,May,73
2004,Jun,57
2004,Jul,54
2004,Aug,53
2004,Sep,61
2004,Oct,64
2004,Nov,65
2004,Dec,64
2005,Jan,56
2005,Feb,57
2005,Mar,63
2005,Apr,67
2005,May,59
2005,Jun,58
2005,Jul,57
2005,Aug,50
2005,Sep,52
2005,Oct,59
2005,Nov,59
2005,Dec,57
2006,Jan,53
2006,Feb,60
2006,Mar,63
2006,Apr,66
2006,May,59
2006,Jun,50
2006,Jul,55
2006,Aug,52
2006,Sep,57
2006,Oct,66
2006,Nov,56
2006,Dec,51
2007,Jan,50
2007,Feb,56
2007,Mar,52
2007,Apr,54
2007,May,55
2007,Jun,51
2007,Jul,48
2007,Aug,46
2007,Sep,52
2007,Oct,57
2007,Nov,52
2007,Dec,50
2008,Jan,47
2008,Feb,51
2008,Mar,52
2008,Apr,56
2008,May,52
2008,Jun,49
2008,Jul,49
2008,Aug,50
2008,Sep,49
2008,Oct,57
2008,Nov,49
2008,Dec,49
2009,Jan,47
2009,Feb,50
2009,Mar,50
2009,Apr,52
2009,May,52
2009,Jun,49
2009,Jul,48
2009,Aug,46
2009,Sep,51
2009,Oct,55
2009,Nov,56
2009,Dec,50
2010,Jan,47
2010,Feb,52
2010,Mar,54
2010,Apr,54
2010,May,57
2010,Jun,56
2010,Jul,44
2010,Aug,42
2010,Sep,45
2010,Oct,50
2010,Nov,49
2010,Dec,48
2011,Jan,41
2011,Feb,51
2011,Mar,49
2011,Apr,46
2011,May,51
2011,Jun,46
2011,Jul,49
2011,Aug,45
2011,Sep,50
2011,Oct,54
2011,Nov,51
2011,Dec,51
2012,Jan,50
2012,Feb,50
2012,Mar,49
2012,Apr,54
2012,May,58
2012,Jun,49
2012,Jul,49
2012,Aug,47
2012,Sep,48
2012,Oct,52
2012,Nov,48
2012,Dec,43
2013,Jan,44
2013,Feb,48
2013,Mar,46
2013,Apr,48
2013,May,48
2013,Jun,43
2013,Jul,47
2013,Aug,43
2013,Sep,49
2013,Oct,51
2013,Nov,45
2013,Dec,44
2014,Jan,43
2014,Feb,73
2014,Mar,45
2014,Apr,48
2014,May,49
2014,Jun,46
2014,Jul,67
2014,Aug,55
2014,Sep,53
2014,Oct,51
2014,Nov,44
2014,Dec,47
2015,Jan,45
2015,Feb,49
2015,Mar,46
2015,Apr,48
2015,May,50
2015,Jun,48
2015,Jul,48
2015,Aug,45
2015,Sep,46
2015,Oct,49
2015,Nov,43
2015,Dec,49
2016,Jan,43
2016,Feb,47
2016,Mar,45
2016,Apr,46
2016,May,46
2016,Jun,43
2016,Jul,41
2016,Aug,39
2016,Sep,44
2016,Oct,45
2016,Nov,45
2016,Dec,43
2017,Jan,44
2017,Feb,47
2017,Mar,46
2017,Apr,46
2017,May,46
2017,Jun,44
2017,Jul,45
2017,Aug,41
2017,Sep,43
2017,Oct,46
2017,Nov,41
2017,Dec,40
2018,Jan,41
2018,Feb,44
2018,Mar,45
2018,Apr,42
2018,May,42
2018,Jun,41
2018,Jul,41
2018,Aug,42
2018,Sep,46
2018,Oct,43
2018,Nov,40
2018,Dec,39
2019,Jan,42
2019,Feb,45
2019,Mar,44
2019,Apr,43
2019,May,45
2019,Jun,49
2019,Jul,43
2019,Aug,44
2019,Sep,41
2019,Oct,42
2019,Nov,41
2019,Dec,44
2020,Jan,41
2020,Feb,45
2020,Mar,40
2020,Apr,36
2020,May,34
2020,Jun,38
2020,Jul,46
2020,Aug,36
2020,Sep,35
2020,Oct,39
2020,Nov,32
2020,Dec,37
2021,Jan,34
2021,Feb,100
2021,Mar,55
2021,Apr,52
2021,May,39
2021,Jun,53
2021,Jul,39
2021,Aug,36
2021,Sep,34
2021,Oct,35
2021,Nov,36
2021,Dec,56
2022,Jan,35
2022,Feb,42
2022,Mar,43
