CNAME:,IGATE CORP PA
Google Trends Search Term:,igate
Google Trends Suggestion:,company
Google Trends URL:,/m/04q9gc
Year,Month,SVI Data
2004,Jan,63
2004,Feb,39
2004,Mar,36
2004,Apr,82
2004,May,50
2004,Jun,41
2004,Jul,89
2004,Aug,62
2004,Sep,68
2004,Oct,37
2004,Nov,43
2004,Dec,47
2005,Jan,22
2005,Feb,47
2005,Mar,40
2005,Apr,19
2005,May,48
2005,Jun,77
2005,Jul,35
2005,Aug,58
2005,Sep,42
2005,Oct,51
2005,Nov,43
2005,Dec,36
2006,Jan,32
2006,Feb,43
2006,Mar,40
2006,Apr,59
2006,May,69
2006,Jun,26
2006,Jul,32
2006,Aug,31
2006,Sep,34
2006,Oct,39
2006,Nov,32
2006,Dec,27
2007,Jan,30
2007,Feb,27
2007,Mar,26
2007,Apr,23
2007,May,30
2007,Jun,29
2007,Jul,45
2007,Aug,27
2007,Sep,21
2007,Oct,33
2007,Nov,32
2007,Dec,23
2008,Jan,20
2008,Feb,32
2008,Mar,17
2008,Apr,31
2008,May,29
2008,Jun,25
2008,Jul,32
2008,Aug,24
2008,Sep,18
2008,Oct,20
2008,Nov,22
2008,Dec,14
2009,Jan,30
2009,Feb,25
2009,Mar,18
2009,Apr,16
2009,May,20
2009,Jun,11
2009,Jul,17
2009,Aug,21
2009,Sep,13
2009,Oct,22
2009,Nov,25
2009,Dec,19
2010,Jan,13
2010,Feb,18
2010,Mar,26
2010,Apr,18
2010,May,17
2010,Jun,19
2010,Jul,17
2010,Aug,24
2010,Sep,22
2010,Oct,10
2010,Nov,22
2010,Dec,45
2011,Jan,73
2011,Feb,29
2011,Mar,20
2011,Apr,22
2011,May,29
2011,Jun,21
2011,Jul,23
2011,Aug,22
2011,Sep,23
2011,Oct,18
2011,Nov,22
2011,Dec,25
2012,Jan,25
2012,Feb,24
2012,Mar,27
2012,Apr,27
2012,May,27
2012,Jun,19
2012,Jul,25
2012,Aug,25
2012,Sep,24
2012,Oct,27
2012,Nov,25
2012,Dec,21
2013,Jan,28
2013,Feb,23
2013,Mar,28
2013,Apr,30
2013,May,75
2013,Jun,29
2013,Jul,24
2013,Aug,30
2013,Sep,30
2013,Oct,28
2013,Nov,18
2013,Dec,27
2014,Jan,24
2014,Feb,30
2014,Mar,22
2014,Apr,28
2014,May,27
2014,Jun,30
2014,Jul,31
2014,Aug,24
2014,Sep,30
2014,Oct,27
2014,Nov,19
2014,Dec,18
2015,Jan,23
2015,Feb,33
2015,Mar,27
2015,Apr,100
2015,May,39
2015,Jun,36
2015,Jul,41
2015,Aug,23
2015,Sep,23
2015,Oct,28
2015,Nov,23
2015,Dec,24
2016,Jan,16
2016,Feb,13
2016,Mar,15
2016,Apr,13
2016,May,10
2016,Jun,10
2016,Jul,9
2016,Aug,8
2016,Sep,7
2016,Oct,7
2016,Nov,6
2016,Dec,7
2017,Jan,7
2017,Feb,9
2017,Mar,8
2017,Apr,5
2017,May,5
2017,Jun,8
2017,Jul,6
2017,Aug,6
2017,Sep,3
2017,Oct,3
2017,Nov,3
2017,Dec,2
2018,Jan,2
2018,Feb,3
2018,Mar,3
2018,Apr,4
2018,May,4
2018,Jun,7
2018,Jul,7
2018,Aug,2
2018,Sep,3
2018,Oct,4
2018,Nov,2
2018,Dec,3
2019,Jan,3
2019,Feb,3
2019,Mar,3
2019,Apr,4
2019,May,3
2019,Jun,3
2019,Jul,3
2019,Aug,3
2019,Sep,3
2019,Oct,3
2019,Nov,2
2019,Dec,2
2020,Jan,4
2020,Feb,3
2020,Mar,2
2020,Apr,3
2020,May,2
2020,Jun,2
2020,Jul,2
2020,Aug,3
2020,Sep,3
2020,Oct,2
2020,Nov,2
2020,Dec,1
2021,Jan,2
2021,Feb,1
2021,Mar,2
2021,Apr,1
2021,May,1
2021,Jun,2
2021,Jul,2
2021,Aug,2
2021,Sep,3
2021,Oct,1
2021,Nov,3
2021,Dec,2
2022,Jan,2
2022,Feb,2
2022,Mar,2
