CNAME:,BERKSHIRE HATHAWAY INC NEW
Google Trends Search Term:,berkshire hathaway
Google Trends Suggestion:,multinational conglomerate company
Google Trends URL:,/m/01tmng
Year,Month,SVI Data
2004,Jan,21
2004,Feb,20
2004,Mar,49
2004,Apr,31
2004,May,27
2004,Jun,19
2004,Jul,20
2004,Aug,22
2004,Sep,18
2004,Oct,19
2004,Nov,16
2004,Dec,16
2005,Jan,26
2005,Feb,20
2005,Mar,44
2005,Apr,33
2005,May,33
2005,Jun,23
2005,Jul,23
2005,Aug,19
2005,Sep,18
2005,Oct,17
2005,Nov,21
2005,Dec,17
2006,Jan,22
2006,Feb,19
2006,Mar,37
2006,Apr,23
2006,May,33
2006,Jun,35
2006,Jul,25
2006,Aug,19
2006,Sep,20
2006,Oct,30
2006,Nov,26
2006,Dec,26
2007,Jan,25
2007,Feb,23
2007,Mar,39
2007,Apr,30
2007,May,35
2007,Jun,22
2007,Jul,24
2007,Aug,32
2007,Sep,28
2007,Oct,32
2007,Nov,32
2007,Dec,39
2008,Jan,37
2008,Feb,38
2008,Mar,55
2008,Apr,34
2008,May,48
2008,Jun,26
2008,Jul,28
2008,Aug,23
2008,Sep,48
2008,Oct,70
2008,Nov,43
2008,Dec,28
2009,Jan,27
2009,Feb,36
2009,Mar,53
2009,Apr,28
2009,May,30
2009,Jun,19
2009,Jul,19
2009,Aug,21
2009,Sep,19
2009,Oct,20
2009,Nov,43
2009,Dec,20
2010,Jan,51
2010,Feb,51
2010,Mar,44
2010,Apr,33
2010,May,31
2010,Jun,20
2010,Jul,17
2010,Aug,17
2010,Sep,17
2010,Oct,18
2010,Nov,17
2010,Dec,15
2011,Jan,18
2011,Feb,30
2011,Mar,32
2011,Apr,28
2011,May,21
2011,Jun,16
2011,Jul,15
2011,Aug,29
2011,Sep,23
2011,Oct,19
2011,Nov,19
2011,Dec,14
2012,Jan,18
2012,Feb,27
2012,Mar,19
2012,Apr,20
2012,May,25
2012,Jun,14
2012,Jul,13
2012,Aug,14
2012,Sep,14
2012,Oct,14
2012,Nov,17
2012,Dec,16
2013,Jan,19
2013,Feb,27
2013,Mar,29
2013,Apr,22
2013,May,33
2013,Jun,20
2013,Jul,20
2013,Aug,22
2013,Sep,20
2013,Oct,25
2013,Nov,24
2013,Dec,21
2014,Jan,26
2014,Feb,31
2014,Mar,41
2014,Apr,36
2014,May,41
2014,Jun,34
2014,Jul,36
2014,Aug,45
2014,Sep,38
2014,Oct,38
2014,Nov,38
2014,Dec,36
2015,Jan,37
2015,Feb,42
2015,Mar,48
2015,Apr,45
2015,May,51
2015,Jun,43
2015,Jul,42
2015,Aug,49
2015,Sep,40
2015,Oct,36
2015,Nov,33
2015,Dec,30
2016,Jan,34
2016,Feb,41
2016,Mar,40
2016,Apr,42
2016,May,42
2016,Jun,37
2016,Jul,35
2016,Aug,36
2016,Sep,33
2016,Oct,30
2016,Nov,32
2016,Dec,32
2017,Jan,35
2017,Feb,55
2017,Mar,45
2017,Apr,39
2017,May,51
2017,Jun,39
2017,Jul,38
2017,Aug,43
2017,Sep,36
2017,Oct,39
2017,Nov,35
2017,Dec,37
2018,Jan,63
2018,Feb,70
2018,Mar,52
2018,Apr,46
2018,May,63
2018,Jun,42
2018,Jul,45
2018,Aug,57
2018,Sep,42
2018,Oct,44
2018,Nov,42
2018,Dec,39
2019,Jan,43
2019,Feb,55
2019,Mar,43
2019,Apr,47
2019,May,63
2019,Jun,41
2019,Jul,42
2019,Aug,43
2019,Sep,37
2019,Oct,36
2019,Nov,37
2019,Dec,32
2020,Jan,42
2020,Feb,61
2020,Mar,100
2020,Apr,80
2020,May,95
2020,Jun,66
2020,Jul,66
2020,Aug,71
2020,Sep,51
2020,Oct,37
2020,Nov,40
2020,Dec,37
2021,Jan,43
2021,Feb,57
2021,Mar,58
2021,Apr,47
2021,May,65
2021,Jun,41
2021,Jul,37
2021,Aug,39
2021,Sep,34
2021,Oct,37
2021,Nov,36
2021,Dec,34
2022,Jan,42
2022,Feb,45
2022,Mar,57
