CNAME:,FOOT LOCKER INC
Google Trends Search Term:,foot locker
Google Trends Suggestion:,sportswear company
Google Trends URL:,/m/08fhy9
Year,Month,SVI Data
2004,Jan,12
2004,Feb,12
2004,Mar,13
2004,Apr,13
2004,May,12
2004,Jun,12
2004,Jul,13
2004,Aug,17
2004,Sep,12
2004,Oct,12
2004,Nov,15
2004,Dec,19
2005,Jan,12
2005,Feb,13
2005,Mar,14
2005,Apr,13
2005,May,12
2005,Jun,12
2005,Jul,14
2005,Aug,17
2005,Sep,12
2005,Oct,12
2005,Nov,16
2005,Dec,22
2006,Jan,14
2006,Feb,15
2006,Mar,15
2006,Apr,15
2006,May,13
2006,Jun,13
2006,Jul,17
2006,Aug,20
2006,Sep,14
2006,Oct,14
2006,Nov,19
2006,Dec,25
2007,Jan,16
2007,Feb,16
2007,Mar,16
2007,Apr,15
2007,May,15
2007,Jun,14
2007,Jul,16
2007,Aug,21
2007,Sep,15
2007,Oct,16
2007,Nov,20
2007,Dec,24
2008,Jan,16
2008,Feb,16
2008,Mar,17
2008,Apr,16
2008,May,16
2008,Jun,16
2008,Jul,18
2008,Aug,23
2008,Sep,15
2008,Oct,17
2008,Nov,20
2008,Dec,27
2009,Jan,16
2009,Feb,17
2009,Mar,16
2009,Apr,16
2009,May,15
2009,Jun,14
2009,Jul,15
2009,Aug,21
2009,Sep,15
2009,Oct,14
2009,Nov,18
2009,Dec,30
2010,Jan,16
2010,Feb,17
2010,Mar,18
2010,Apr,15
2010,May,15
2010,Jun,14
2010,Jul,17
2010,Aug,25
2010,Sep,16
2010,Oct,16
2010,Nov,23
2010,Dec,35
2011,Jan,24
2011,Feb,31
2011,Mar,30
2011,Apr,30
2011,May,27
2011,Jun,27
2011,Jul,28
2011,Aug,36
2011,Sep,27
2011,Oct,24
2011,Nov,33
2011,Dec,53
2012,Jan,32
2012,Feb,45
2012,Mar,36
2012,Apr,38
2012,May,35
2012,Jun,38
2012,Jul,40
2012,Aug,51
2012,Sep,36
2012,Oct,33
2012,Nov,46
2012,Dec,73
2013,Jan,41
2013,Feb,53
2013,Mar,57
2013,Apr,41
2013,May,45
2013,Jun,46
2013,Jul,46
2013,Aug,63
2013,Sep,40
2013,Oct,47
2013,Nov,56
2013,Dec,100
2014,Jan,49
2014,Feb,72
2014,Mar,62
2014,Apr,61
2014,May,55
2014,Jun,50
2014,Jul,50
2014,Aug,66
2014,Sep,45
2014,Oct,43
2014,Nov,60
2014,Dec,86
2015,Jan,46
2015,Feb,64
2015,Mar,55
2015,Apr,51
2015,May,49
2015,Jun,50
2015,Jul,53
2015,Aug,65
2015,Sep,46
2015,Oct,42
2015,Nov,57
2015,Dec,82
2016,Jan,50
2016,Feb,79
2016,Mar,62
2016,Apr,53
2016,May,52
2016,Jun,53
2016,Jul,61
2016,Aug,72
2016,Sep,52
2016,Oct,48
2016,Nov,67
2016,Dec,97
2017,Jan,47
2017,Feb,55
2017,Mar,54
2017,Apr,50
2017,May,44
2017,Jun,47
2017,Jul,53
2017,Aug,64
2017,Sep,43
2017,Oct,41
2017,Nov,65
2017,Dec,79
2018,Jan,38
2018,Feb,49
2018,Mar,51
2018,Apr,43
2018,May,41
2018,Jun,39
2018,Jul,42
2018,Aug,54
2018,Sep,36
2018,Oct,32
2018,Nov,53
2018,Dec,70
2019,Jan,36
2019,Feb,46
2019,Mar,51
2019,Apr,38
2019,May,36
2019,Jun,36
2019,Jul,43
2019,Aug,57
2019,Sep,33
2019,Oct,32
2019,Nov,45
2019,Dec,66
2020,Jan,33
2020,Feb,37
2020,Mar,30
2020,Apr,32
2020,May,55
2020,Jun,54
2020,Jul,50
2020,Aug,38
2020,Sep,32
2020,Oct,33
2020,Nov,37
2020,Dec,54
2021,Jan,31
2021,Feb,35
2021,Mar,45
2021,Apr,38
2021,May,31
2021,Jun,31
2021,Jul,36
2021,Aug,42
2021,Sep,30
2021,Oct,27
2021,Nov,36
2021,Dec,49
2022,Jan,28
2022,Feb,32
2022,Mar,34
