CNAME:,BROWN FORMAN CORP
Google Trends Search Term:,brown¨Cforman
Google Trends Suggestion:,company
Google Trends URL:,/m/072qbk
Year,Month,SVI Data
2004,Jan,64
2004,Feb,71
2004,Mar,80
2004,Apr,82
2004,May,83
2004,Jun,61
2004,Jul,79
2004,Aug,79
2004,Sep,57
2004,Oct,85
2004,Nov,42
2004,Dec,67
2005,Jan,77
2005,Feb,80
2005,Mar,71
2005,Apr,88
2005,May,70
2005,Jun,78
2005,Jul,66
2005,Aug,75
2005,Sep,100
2005,Oct,80
2005,Nov,71
2005,Dec,48
2006,Jan,64
2006,Feb,76
2006,Mar,82
2006,Apr,71
2006,May,69
2006,Jun,71
2006,Jul,45
2006,Aug,66
2006,Sep,73
2006,Oct,72
2006,Nov,88
2006,Dec,55
2007,Jan,71
2007,Feb,45
2007,Mar,50
2007,Apr,71
2007,May,51
2007,Jun,64
2007,Jul,59
2007,Aug,58
2007,Sep,60
2007,Oct,54
2007,Nov,50
2007,Dec,40
2008,Jan,40
2008,Feb,49
2008,Mar,49
2008,Apr,58
2008,May,50
2008,Jun,68
2008,Jul,60
2008,Aug,42
2008,Sep,48
2008,Oct,61
2008,Nov,57
2008,Dec,55
2009,Jan,62
2009,Feb,64
2009,Mar,52
2009,Apr,72
2009,May,41
2009,Jun,42
2009,Jul,47
2009,Aug,47
2009,Sep,56
2009,Oct,62
2009,Nov,45
2009,Dec,47
2010,Jan,39
2010,Feb,39
2010,Mar,44
2010,Apr,48
2010,May,41
2010,Jun,41
2010,Jul,43
2010,Aug,44
2010,Sep,42
2010,Oct,34
2010,Nov,37
2010,Dec,40
2011,Jan,45
2011,Feb,47
2011,Mar,48
2011,Apr,39
2011,May,45
2011,Jun,45
2011,Jul,46
2011,Aug,49
2011,Sep,50
2011,Oct,45
2011,Nov,41
2011,Dec,44
2012,Jan,51
2012,Feb,49
2012,Mar,48
2012,Apr,52
2012,May,35
2012,Jun,45
2012,Jul,40
2012,Aug,45
2012,Sep,39
2012,Oct,39
2012,Nov,38
2012,Dec,37
2013,Jan,38
2013,Feb,43
2013,Mar,41
2013,Apr,43
2013,May,36
2013,Jun,35
2013,Jul,43
2013,Aug,48
2013,Sep,36
2013,Oct,44
2013,Nov,36
2013,Dec,35
2014,Jan,47
2014,Feb,40
2014,Mar,43
2014,Apr,38
2014,May,38
2014,Jun,50
2014,Jul,47
2014,Aug,41
2014,Sep,39
2014,Oct,38
2014,Nov,39
2014,Dec,43
2015,Jan,37
2015,Feb,43
2015,Mar,37
2015,Apr,46
2015,May,40
2015,Jun,44
2015,Jul,45
2015,Aug,39
2015,Sep,38
2015,Oct,45
2015,Nov,39
2015,Dec,33
2016,Jan,44
2016,Feb,40
2016,Mar,37
2016,Apr,36
2016,May,32
2016,Jun,37
2016,Jul,32
2016,Aug,34
2016,Sep,31
2016,Oct,34
2016,Nov,32
2016,Dec,34
2017,Jan,32
2017,Feb,33
2017,Mar,32
2017,Apr,29
2017,May,44
2017,Jun,33
2017,Jul,26
2017,Aug,34
2017,Sep,30
2017,Oct,27
2017,Nov,32
2017,Dec,30
2018,Jan,32
2018,Feb,33
2018,Mar,42
2018,Apr,32
2018,May,36
2018,Jun,41
2018,Jul,38
2018,Aug,37
2018,Sep,29
2018,Oct,35
2018,Nov,29
2018,Dec,29
2019,Jan,34
2019,Feb,36
2019,Mar,37
2019,Apr,34
2019,May,35
2019,Jun,38
2019,Jul,35
2019,Aug,33
2019,Sep,31
2019,Oct,30
2019,Nov,31
2019,Dec,29
2020,Jan,30
2020,Feb,34
2020,Mar,34
2020,Apr,28
2020,May,27
2020,Jun,31
2020,Jul,22
2020,Aug,27
2020,Sep,25
2020,Oct,27
2020,Nov,20
2020,Dec,25
2021,Jan,22
2021,Feb,24
2021,Mar,28
2021,Apr,24
2021,May,19
2021,Jun,24
2021,Jul,19
2021,Aug,23
2021,Sep,24
2021,Oct,22
2021,Nov,22
2021,Dec,24
2022,Jan,22
2022,Feb,22
2022,Mar,26
