CNAME:,AMAZON.COM INC
Google Trends Search Term:,amazoncom
Google Trends Suggestion:,e-commerce company
Google Trends URL:,/m/0mgkg
Year,Month,SVI Data
2004,Jan,15
2004,Feb,13
2004,Mar,13
2004,Apr,13
2004,May,13
2004,Jun,14
2004,Jul,14
2004,Aug,16
2004,Sep,16
2004,Oct,15
2004,Nov,18
2004,Dec,26
2005,Jan,18
2005,Feb,16
2005,Mar,16
2005,Apr,15
2005,May,17
2005,Jun,17
2005,Jul,18
2005,Aug,18
2005,Sep,17
2005,Oct,17
2005,Nov,21
2005,Dec,27
2006,Jan,20
2006,Feb,17
2006,Mar,17
2006,Apr,16
2006,May,17
2006,Jun,18
2006,Jul,18
2006,Aug,19
2006,Sep,19
2006,Oct,18
2006,Nov,22
2006,Dec,28
2007,Jan,20
2007,Feb,18
2007,Mar,17
2007,Apr,17
2007,May,18
2007,Jun,19
2007,Jul,19
2007,Aug,20
2007,Sep,20
2007,Oct,19
2007,Nov,24
2007,Dec,31
2008,Jan,20
2008,Feb,19
2008,Mar,18
2008,Apr,18
2008,May,19
2008,Jun,21
2008,Jul,19
2008,Aug,21
2008,Sep,20
2008,Oct,20
2008,Nov,25
2008,Dec,34
2009,Jan,25
2009,Feb,23
2009,Mar,22
2009,Apr,20
2009,May,21
2009,Jun,21
2009,Jul,22
2009,Aug,24
2009,Sep,22
2009,Oct,23
2009,Nov,28
2009,Dec,37
2010,Jan,27
2010,Feb,23
2010,Mar,22
2010,Apr,22
2010,May,23
2010,Jun,22
2010,Jul,22
2010,Aug,23
2010,Sep,24
2010,Oct,25
2010,Nov,34
2010,Dec,42
2011,Jan,37
2011,Feb,34
2011,Mar,32
2011,Apr,33
2011,May,33
2011,Jun,34
2011,Jul,36
2011,Aug,38
2011,Sep,39
2011,Oct,37
2011,Nov,51
2011,Dec,64
2012,Jan,49
2012,Feb,44
2012,Mar,42
2012,Apr,41
2012,May,41
2012,Jun,43
2012,Jul,44
2012,Aug,46
2012,Sep,48
2012,Oct,46
2012,Nov,65
2012,Dec,72
2013,Jan,55
2013,Feb,51
2013,Mar,51
2013,Apr,49
2013,May,50
2013,Jun,52
2013,Jul,54
2013,Aug,57
2013,Sep,53
2013,Oct,49
2013,Nov,61
2013,Dec,81
2014,Jan,57
2014,Feb,52
2014,Mar,51
2014,Apr,50
2014,May,51
2014,Jun,52
2014,Jul,52
2014,Aug,55
2014,Sep,53
2014,Oct,53
2014,Nov,65
2014,Dec,81
2015,Jan,59
2015,Feb,52
2015,Mar,54
2015,Apr,51
2015,May,53
2015,Jun,57
2015,Jul,63
2015,Aug,65
2015,Sep,59
2015,Oct,61
2015,Nov,74
2015,Dec,87
2016,Jan,56
2016,Feb,52
2016,Mar,51
2016,Apr,50
2016,May,51
2016,Jun,54
2016,Jul,59
2016,Aug,57
2016,Sep,53
2016,Oct,54
2016,Nov,68
2016,Dec,78
2017,Jan,60
2017,Feb,56
2017,Mar,57
2017,Apr,56
2017,May,60
2017,Jun,64
2017,Jul,70
2017,Aug,67
2017,Sep,63
2017,Oct,66
2017,Nov,79
2017,Dec,92
2018,Jan,70
2018,Feb,63
2018,Mar,66
2018,Apr,63
2018,May,61
2018,Jun,62
2018,Jul,72
2018,Aug,66
2018,Sep,63
2018,Oct,63
2018,Nov,78
2018,Dec,83
2019,Jan,66
2019,Feb,62
2019,Mar,63
2019,Apr,61
2019,May,67
2019,Jun,73
2019,Jul,78
2019,Aug,71
2019,Sep,67
2019,Oct,71
2019,Nov,82
2019,Dec,93
2020,Jan,70
2020,Feb,69
2020,Mar,82
2020,Apr,92
2020,May,94
2020,Jun,88
2020,Jul,84
2020,Aug,81
2020,Sep,75
2020,Oct,84
2020,Nov,87
2020,Dec,100
2021,Jan,80
2021,Feb,77
2021,Mar,79
2021,Apr,74
2021,May,73
2021,Jun,75
2021,Jul,73
2021,Aug,72
2021,Sep,73
2021,Oct,73
2021,Nov,82
2021,Dec,91
2022,Jan,75
2022,Feb,72
2022,Mar,72
