CNAME:,SANDISK CORP
Google Trends Search Term:,sandisk
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/039m_g
Year,Month,SVI Data
2004,Jan,49
2004,Feb,46
2004,Mar,50
2004,Apr,49
2004,May,54
2004,Jun,52
2004,Jul,56
2004,Aug,56
2004,Sep,53
2004,Oct,57
2004,Nov,75
2004,Dec,78
2005,Jan,70
2005,Feb,57
2005,Mar,57
2005,Apr,62
2005,May,60
2005,Jun,64
2005,Jul,59
2005,Aug,54
2005,Sep,49
2005,Oct,57
2005,Nov,69
2005,Dec,82
2006,Jan,70
2006,Feb,61
2006,Mar,57
2006,Apr,58
2006,May,59
2006,Jun,60
2006,Jul,67
2006,Aug,74
2006,Sep,74
2006,Oct,64
2006,Nov,75
2006,Dec,100
2007,Jan,74
2007,Feb,62
2007,Mar,58
2007,Apr,57
2007,May,53
2007,Jun,56
2007,Jul,50
2007,Aug,49
2007,Sep,52
2007,Oct,50
2007,Nov,58
2007,Dec,73
2008,Jan,51
2008,Feb,43
2008,Mar,43
2008,Apr,39
2008,May,38
2008,Jun,39
2008,Jul,38
2008,Aug,38
2008,Sep,36
2008,Oct,33
2008,Nov,37
2008,Dec,47
2009,Jan,35
2009,Feb,30
2009,Mar,25
2009,Apr,23
2009,May,22
2009,Jun,23
2009,Jul,22
2009,Aug,22
2009,Sep,21
2009,Oct,19
2009,Nov,21
2009,Dec,23
2010,Jan,20
2010,Feb,19
2010,Mar,18
2010,Apr,16
2010,May,16
2010,Jun,17
2010,Jul,16
2010,Aug,14
2010,Sep,14
2010,Oct,14
2010,Nov,14
2010,Dec,16
2011,Jan,16
2011,Feb,14
2011,Mar,12
2011,Apr,12
2011,May,13
2011,Jun,12
2011,Jul,12
2011,Aug,11
2011,Sep,11
2011,Oct,10
2011,Nov,13
2011,Dec,14
2012,Jan,13
2012,Feb,11
2012,Mar,10
2012,Apr,11
2012,May,10
2012,Jun,10
2012,Jul,10
2012,Aug,10
2012,Sep,10
2012,Oct,9
2012,Nov,11
2012,Dec,11
2013,Jan,9
2013,Feb,8
2013,Mar,8
2013,Apr,8
2013,May,8
2013,Jun,8
2013,Jul,9
2013,Aug,9
2013,Sep,9
2013,Oct,8
2013,Nov,9
2013,Dec,11
2014,Jan,10
2014,Feb,8
2014,Mar,8
2014,Apr,9
2014,May,8
2014,Jun,10
2014,Jul,10
2014,Aug,9
2014,Sep,8
2014,Oct,8
2014,Nov,9
2014,Dec,10
2015,Jan,9
2015,Feb,7
2015,Mar,9
2015,Apr,8
2015,May,7
2015,Jun,7
2015,Jul,9
2015,Aug,8
2015,Sep,7
2015,Oct,13
2015,Nov,8
2015,Dec,10
2016,Jan,7
2016,Feb,7
2016,Mar,7
2016,Apr,7
2016,May,7
2016,Jun,6
2016,Jul,6
2016,Aug,7
2016,Sep,6
2016,Oct,6
2016,Nov,6
2016,Dec,6
2017,Jan,6
2017,Feb,5
2017,Mar,6
2017,Apr,6
2017,May,5
2017,Jun,6
2017,Jul,6
2017,Aug,6
2017,Sep,5
2017,Oct,5
2017,Nov,6
2017,Dec,5
2018,Jan,5
2018,Feb,5
2018,Mar,5
2018,Apr,4
2018,May,4
2018,Jun,5
2018,Jul,5
2018,Aug,4
2018,Sep,4
2018,Oct,4
2018,Nov,5
2018,Dec,5
2019,Jan,4
2019,Feb,4
2019,Mar,4
2019,Apr,4
2019,May,3
2019,Jun,4
2019,Jul,4
2019,Aug,3
2019,Sep,4
2019,Oct,3
2019,Nov,4
2019,Dec,4
2020,Jan,4
2020,Feb,3
2020,Mar,3
2020,Apr,3
2020,May,3
2020,Jun,3
2020,Jul,3
2020,Aug,3
2020,Sep,3
2020,Oct,3
2020,Nov,3
2020,Dec,4
2021,Jan,3
2021,Feb,3
2021,Mar,3
2021,Apr,3
2021,May,3
2021,Jun,3
2021,Jul,3
2021,Aug,3
2021,Sep,3
2021,Oct,3
2021,Nov,3
2021,Dec,3
2022,Jan,3
2022,Feb,3
2022,Mar,3
