CNAME:,TIFFANY & CO
Google Trends Search Term:,tiffany & co
Google Trends Suggestion:,specialty retail company
Google Trends URL:,/m/04g3zy
Year,Month,SVI Data
2004,Jan,35
2004,Feb,40
2004,Mar,30
2004,Apr,35
2004,May,37
2004,Jun,38
2004,Jul,39
2004,Aug,38
2004,Sep,38
2004,Oct,39
2004,Nov,54
2004,Dec,79
2005,Jan,41
2005,Feb,44
2005,Mar,36
2005,Apr,37
2005,May,42
2005,Jun,37
2005,Jul,37
2005,Aug,39
2005,Sep,36
2005,Oct,40
2005,Nov,55
2005,Dec,77
2006,Jan,41
2006,Feb,48
2006,Mar,37
2006,Apr,39
2006,May,43
2006,Jun,40
2006,Jul,41
2006,Aug,40
2006,Sep,40
2006,Oct,41
2006,Nov,57
2006,Dec,94
2007,Jan,44
2007,Feb,47
2007,Mar,38
2007,Apr,43
2007,May,46
2007,Jun,43
2007,Jul,42
2007,Aug,40
2007,Sep,40
2007,Oct,44
2007,Nov,69
2007,Dec,100
2008,Jan,47
2008,Feb,48
2008,Mar,37
2008,Apr,42
2008,May,52
2008,Jun,42
2008,Jul,39
2008,Aug,39
2008,Sep,39
2008,Oct,39
2008,Nov,59
2008,Dec,89
2009,Jan,39
2009,Feb,45
2009,Mar,30
2009,Apr,34
2009,May,36
2009,Jun,27
2009,Jul,28
2009,Aug,27
2009,Sep,27
2009,Oct,27
2009,Nov,39
2009,Dec,60
2010,Jan,30
2010,Feb,30
2010,Mar,23
2010,Apr,25
2010,May,30
2010,Jun,29
2010,Jul,30
2010,Aug,31
2010,Sep,31
2010,Oct,32
2010,Nov,46
2010,Dec,69
2011,Jan,43
2011,Feb,46
2011,Mar,36
2011,Apr,40
2011,May,45
2011,Jun,39
2011,Jul,41
2011,Aug,39
2011,Sep,40
2011,Oct,39
2011,Nov,53
2011,Dec,73
2012,Jan,42
2012,Feb,46
2012,Mar,35
2012,Apr,39
2012,May,42
2012,Jun,38
2012,Jul,40
2012,Aug,39
2012,Sep,39
2012,Oct,38
2012,Nov,52
2012,Dec,70
2013,Jan,43
2013,Feb,44
2013,Mar,35
2013,Apr,35
2013,May,40
2013,Jun,35
2013,Jul,36
2013,Aug,34
2013,Sep,32
2013,Oct,33
2013,Nov,45
2013,Dec,65
2014,Jan,39
2014,Feb,43
2014,Mar,34
2014,Apr,34
2014,May,40
2014,Jun,32
2014,Jul,32
2014,Aug,33
2014,Sep,32
2014,Oct,30
2014,Nov,38
2014,Dec,54
2015,Jan,33
2015,Feb,34
2015,Mar,27
2015,Apr,29
2015,May,31
2015,Jun,28
2015,Jul,28
2015,Aug,28
2015,Sep,28
2015,Oct,26
2015,Nov,35
2015,Dec,47
2016,Jan,31
2016,Feb,33
2016,Mar,26
2016,Apr,29
2016,May,31
2016,Jun,25
2016,Jul,27
2016,Aug,26
2016,Sep,27
2016,Oct,25
2016,Nov,32
2016,Dec,42
2017,Jan,28
2017,Feb,28
2017,Mar,23
2017,Apr,23
2017,May,27
2017,Jun,23
2017,Jul,24
2017,Aug,24
2017,Sep,22
2017,Oct,24
2017,Nov,35
2017,Dec,45
2018,Jan,25
2018,Feb,26
2018,Mar,22
2018,Apr,24
2018,May,30
2018,Jun,24
2018,Jul,24
2018,Aug,23
2018,Sep,22
2018,Oct,22
2018,Nov,29
2018,Dec,44
2019,Jan,24
2019,Feb,28
2019,Mar,23
2019,Apr,22
2019,May,25
2019,Jun,22
2019,Jul,22
2019,Aug,22
2019,Sep,22
2019,Oct,23
2019,Nov,30
2019,Dec,40
2020,Jan,23
2020,Feb,23
2020,Mar,15
2020,Apr,17
2020,May,22
2020,Jun,21
2020,Jul,22
2020,Aug,22
2020,Sep,21
2020,Oct,21
2020,Nov,26
2020,Dec,37
2021,Jan,23
2021,Feb,24
2021,Mar,21
2021,Apr,22
2021,May,24
2021,Jun,20
2021,Jul,20
2021,Aug,23
2021,Sep,22
2021,Oct,23
2021,Nov,29
2021,Dec,39
2022,Jan,24
2022,Feb,25
2022,Mar,21
