CNAME:,TEXTRON INC
Google Trends Search Term:,textron
Google Trends Suggestion:,aircraft industry company
Google Trends URL:,/m/03dsbz
Year,Month,SVI Data
2004,Jan,94
2004,Feb,65
2004,Mar,99
2004,Apr,67
2004,May,77
2004,Jun,83
2004,Jul,68
2004,Aug,90
2004,Sep,90
2004,Oct,67
2004,Nov,63
2004,Dec,68
2005,Jan,77
2005,Feb,92
2005,Mar,81
2005,Apr,74
2005,May,68
2005,Jun,82
2005,Jul,74
2005,Aug,79
2005,Sep,86
2005,Oct,83
2005,Nov,59
2005,Dec,69
2006,Jan,60
2006,Feb,79
2006,Mar,86
2006,Apr,81
2006,May,81
2006,Jun,71
2006,Jul,69
2006,Aug,86
2006,Sep,61
2006,Oct,66
2006,Nov,64
2006,Dec,47
2007,Jan,70
2007,Feb,56
2007,Mar,59
2007,Apr,55
2007,May,66
2007,Jun,52
2007,Jul,71
2007,Aug,66
2007,Sep,57
2007,Oct,64
2007,Nov,49
2007,Dec,50
2008,Jan,62
2008,Feb,58
2008,Mar,58
2008,Apr,58
2008,May,52
2008,Jun,57
2008,Jul,63
2008,Aug,56
2008,Sep,51
2008,Oct,82
2008,Nov,55
2008,Dec,59
2009,Jan,69
2009,Feb,80
2009,Mar,60
2009,Apr,100
2009,May,49
2009,Jun,60
2009,Jul,52
2009,Aug,43
2009,Sep,61
2009,Oct,46
2009,Nov,45
2009,Dec,33
2010,Jan,38
2010,Feb,41
2010,Mar,43
2010,Apr,44
2010,May,45
2010,Jun,40
2010,Jul,35
2010,Aug,35
2010,Sep,33
2010,Oct,28
2010,Nov,29
2010,Dec,28
2011,Jan,36
2011,Feb,35
2011,Mar,33
2011,Apr,30
2011,May,30
2011,Jun,33
2011,Jul,27
2011,Aug,28
2011,Sep,27
2011,Oct,26
2011,Nov,23
2011,Dec,18
2012,Jan,31
2012,Feb,26
2012,Mar,29
2012,Apr,30
2012,May,25
2012,Jun,27
2012,Jul,28
2012,Aug,27
2012,Sep,26
2012,Oct,27
2012,Nov,22
2012,Dec,18
2013,Jan,26
2013,Feb,25
2013,Mar,25
2013,Apr,24
2013,May,25
2013,Jun,23
2013,Jul,24
2013,Aug,24
2013,Sep,37
2013,Oct,29
2013,Nov,26
2013,Dec,32
2014,Jan,30
2014,Feb,27
2014,Mar,30
2014,Apr,31
2014,May,27
2014,Jun,30
2014,Jul,32
2014,Aug,26
2014,Sep,44
2014,Oct,36
2014,Nov,33
2014,Dec,28
2015,Jan,33
2015,Feb,33
2015,Mar,39
2015,Apr,29
2015,May,36
2015,Jun,40
2015,Jul,34
2015,Aug,32
2015,Sep,42
2015,Oct,38
2015,Nov,37
2015,Dec,24
2016,Jan,31
2016,Feb,32
2016,Mar,33
2016,Apr,31
2016,May,33
2016,Jun,35
2016,Jul,34
2016,Aug,32
2016,Sep,38
2016,Oct,33
2016,Nov,30
2016,Dec,26
2017,Jan,41
2017,Feb,37
2017,Mar,35
2017,Apr,32
2017,May,42
2017,Jun,35
2017,Jul,37
2017,Aug,40
2017,Sep,45
2017,Oct,50
2017,Nov,45
2017,Dec,38
2018,Jan,42
2018,Feb,46
2018,Mar,40
2018,Apr,45
2018,May,44
2018,Jun,43
2018,Jul,49
2018,Aug,48
2018,Sep,53
2018,Oct,56
2018,Nov,48
2018,Dec,44
2019,Jan,47
2019,Feb,45
2019,Mar,38
2019,Apr,51
2019,May,43
2019,Jun,45
2019,Jul,45
2019,Aug,42
2019,Sep,46
2019,Oct,42
2019,Nov,34
2019,Dec,34
2020,Jan,34
2020,Feb,39
2020,Mar,43
2020,Apr,35
2020,May,37
2020,Jun,41
2020,Jul,45
2020,Aug,36
2020,Sep,39
2020,Oct,38
2020,Nov,34
2020,Dec,31
2021,Jan,33
2021,Feb,38
2021,Mar,38
2021,Apr,34
2021,May,35
2021,Jun,34
2021,Jul,37
2021,Aug,33
2021,Sep,33
2021,Oct,31
2021,Nov,32
2021,Dec,26
2022,Jan,30
2022,Feb,33
2022,Mar,36
