CNAME:,APOLLO ASSET MANAGEMENT INC
Google Trends Search Term:,apollo global management
Google Trends Suggestion:,private equity company
Google Trends URL:,/m/0gp95l
Year,Month,SVI Data
2004,Jan,27
2004,Feb,23
2004,Mar,24
2004,Apr,100
2004,May,61
2004,Jun,90
2004,Jul,93
2004,Aug,48
2004,Sep,28
2004,Oct,47
2004,Nov,71
2004,Dec,29
2005,Jan,20
2005,Feb,19
2005,Mar,27
2005,Apr,31
2005,May,35
2005,Jun,40
2005,Jul,49
2005,Aug,46
2005,Sep,26
2005,Oct,25
2005,Nov,41
2005,Dec,32
2006,Jan,33
2006,Feb,29
2006,Mar,44
2006,Apr,21
2006,May,44
2006,Jun,60
2006,Jul,43
2006,Aug,51
2006,Sep,68
2006,Oct,95
2006,Nov,31
2006,Dec,95
2007,Jan,46
2007,Feb,54
2007,Mar,60
2007,Apr,62
2007,May,58
2007,Jun,58
2007,Jul,57
2007,Aug,52
2007,Sep,42
2007,Oct,49
2007,Nov,44
2007,Dec,42
2008,Jan,43
2008,Feb,35
2008,Mar,39
2008,Apr,47
2008,May,48
2008,Jun,44
2008,Jul,35
2008,Aug,44
2008,Sep,32
2008,Oct,50
2008,Nov,30
2008,Dec,36
2009,Jan,47
2009,Feb,38
2009,Mar,41
2009,Apr,37
2009,May,28
2009,Jun,28
2009,Jul,36
2009,Aug,35
2009,Sep,29
2009,Oct,33
2009,Nov,28
2009,Dec,37
2010,Jan,33
2010,Feb,31
2010,Mar,37
2010,Apr,37
2010,May,34
2010,Jun,33
2010,Jul,27
2010,Aug,26
2010,Sep,24
2010,Oct,29
2010,Nov,30
2010,Dec,23
2011,Jan,29
2011,Feb,35
2011,Mar,39
2011,Apr,28
2011,May,27
2011,Jun,31
2011,Jul,33
2011,Aug,32
2011,Sep,25
2011,Oct,29
2011,Nov,21
2011,Dec,24
2012,Jan,31
2012,Feb,24
2012,Mar,35
2012,Apr,29
2012,May,26
2012,Jun,21
2012,Jul,28
2012,Aug,23
2012,Sep,22
2012,Oct,27
2012,Nov,40
2012,Dec,26
2013,Jan,26
2013,Feb,31
2013,Mar,46
2013,Apr,32
2013,May,30
2013,Jun,25
2013,Jul,39
2013,Aug,27
2013,Sep,23
2013,Oct,21
2013,Nov,22
2013,Dec,16
2014,Jan,31
2014,Feb,28
2014,Mar,25
2014,Apr,27
2014,May,26
2014,Jun,26
2014,Jul,25
2014,Aug,25
2014,Sep,23
2014,Oct,28
2014,Nov,22
2014,Dec,19
2015,Jan,26
2015,Feb,22
2015,Mar,25
2015,Apr,29
2015,May,27
2015,Jun,23
2015,Jul,25
2015,Aug,30
2015,Sep,21
2015,Oct,28
2015,Nov,24
2015,Dec,15
2016,Jan,22
2016,Feb,30
2016,Mar,30
2016,Apr,23
2016,May,23
2016,Jun,24
2016,Jul,28
2016,Aug,37
2016,Sep,29
2016,Oct,22
2016,Nov,17
2016,Dec,20
2017,Jan,18
2017,Feb,20
2017,Mar,23
2017,Apr,25
2017,May,25
2017,Jun,26
2017,Jul,30
2017,Aug,24
2017,Sep,18
2017,Oct,20
2017,Nov,20
2017,Dec,28
2018,Jan,18
2018,Feb,22
2018,Mar,40
2018,Apr,25
2018,May,22
2018,Jun,21
2018,Jul,27
2018,Aug,19
2018,Sep,18
2018,Oct,27
2018,Nov,21
2018,Dec,17
2019,Jan,29
2019,Feb,33
2019,Mar,27
2019,Apr,28
2019,May,25
2019,Jun,26
2019,Jul,22
2019,Aug,24
2019,Sep,28
2019,Oct,26
2019,Nov,25
2019,Dec,19
2020,Jan,26
2020,Feb,22
2020,Mar,27
2020,Apr,28
2020,May,25
2020,Jun,26
2020,Jul,27
2020,Aug,22
2020,Sep,21
2020,Oct,29
2020,Nov,17
2020,Dec,17
2021,Jan,37
2021,Feb,23
2021,Mar,47
2021,Apr,20
2021,May,42
2021,Jun,23
2021,Jul,30
2021,Aug,29
2021,Sep,26
2021,Oct,25
2021,Nov,27
2021,Dec,22
2022,Jan,28
2022,Feb,34
2022,Mar,26
