CNAME:,S&P GLOBAL INC
Google Trends Search Term:,s&p global ratings
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/015wl_
Year,Month,SVI Data
2004,Jan,17
2004,Feb,16
2004,Mar,15
2004,Apr,16
2004,May,12
2004,Jun,14
2004,Jul,13
2004,Aug,12
2004,Sep,11
2004,Oct,14
2004,Nov,15
2004,Dec,15
2005,Jan,15
2005,Feb,14
2005,Mar,14
2005,Apr,13
2005,May,12
2005,Jun,13
2005,Jul,11
2005,Aug,12
2005,Sep,12
2005,Oct,11
2005,Nov,11
2005,Dec,11
2006,Jan,13
2006,Feb,11
2006,Mar,11
2006,Apr,11
2006,May,10
2006,Jun,9
2006,Jul,10
2006,Aug,10
2006,Sep,9
2006,Oct,10
2006,Nov,10
2006,Dec,9
2007,Jan,11
2007,Feb,9
2007,Mar,9
2007,Apr,10
2007,May,9
2007,Jun,9
2007,Jul,10
2007,Aug,10
2007,Sep,8
2007,Oct,9
2007,Nov,9
2007,Dec,8
2008,Jan,12
2008,Feb,9
2008,Mar,10
2008,Apr,10
2008,May,7
2008,Jun,9
2008,Jul,10
2008,Aug,7
2008,Sep,10
2008,Oct,16
2008,Nov,11
2008,Dec,10
2009,Jan,11
2009,Feb,12
2009,Mar,13
2009,Apr,9
2009,May,9
2009,Jun,9
2009,Jul,9
2009,Aug,8
2009,Sep,8
2009,Oct,8
2009,Nov,8
2009,Dec,7
2010,Jan,7
2010,Feb,7
2010,Mar,7
2010,Apr,8
2010,May,8
2010,Jun,7
2010,Jul,6
2010,Aug,6
2010,Sep,6
2010,Oct,6
2010,Nov,6
2010,Dec,6
2011,Jan,7
2011,Feb,7
2011,Mar,7
2011,Apr,8
2011,May,6
2011,Jun,6
2011,Jul,7
2011,Aug,26
2011,Sep,7
2011,Oct,8
2011,Nov,7
2011,Dec,6
2012,Jan,7
2012,Feb,6
2012,Mar,6
2012,Apr,6
2012,May,5
2012,Jun,5
2012,Jul,5
2012,Aug,5
2012,Sep,6
2012,Oct,6
2012,Nov,6
2012,Dec,5
2013,Jan,7
2013,Feb,7
2013,Mar,7
2013,Apr,7
2013,May,7
2013,Jun,6
2013,Jul,7
2013,Aug,6
2013,Sep,6
2013,Oct,8
2013,Nov,7
2013,Dec,7
2014,Jan,8
2014,Feb,8
2014,Mar,8
2014,Apr,8
2014,May,7
2014,Jun,8
2014,Jul,8
2014,Aug,8
2014,Sep,8
2014,Oct,11
2014,Nov,9
2014,Dec,10
2015,Jan,10
2015,Feb,10
2015,Mar,10
2015,Apr,10
2015,May,9
2015,Jun,10
2015,Jul,11
2015,Aug,16
2015,Sep,13
2015,Oct,11
2015,Nov,10
2015,Dec,10
2016,Jan,20
2016,Feb,18
2016,Mar,16
2016,Apr,13
2016,May,12
2016,Jun,18
2016,Jul,14
2016,Aug,11
2016,Sep,12
2016,Oct,10
2016,Nov,17
2016,Dec,14
2017,Jan,14
2017,Feb,16
2017,Mar,16
2017,Apr,14
2017,May,15
2017,Jun,15
2017,Jul,13
2017,Aug,16
2017,Sep,14
2017,Oct,15
2017,Nov,15
2017,Dec,16
2018,Jan,22
2018,Feb,34
2018,Mar,25
2018,Apr,24
2018,May,19
2018,Jun,20
2018,Jul,20
2018,Aug,20
2018,Sep,17
2018,Oct,28
2018,Nov,23
2018,Dec,30
2019,Jan,26
2019,Feb,22
2019,Mar,21
2019,Apr,22
2019,May,25
2019,Jun,23
2019,Jul,23
2019,Aug,29
2019,Sep,21
2019,Oct,23
2019,Nov,21
2019,Dec,22
2020,Jan,26
2020,Feb,36
2020,Mar,100
2020,Apr,57
2020,May,40
2020,Jun,48
2020,Jul,37
2020,Aug,35
2020,Sep,38
2020,Oct,34
2020,Nov,33
2020,Dec,32
2021,Jan,33
2021,Feb,36
2021,Mar,38
2021,Apr,34
2021,May,30
2021,Jun,31
2021,Jul,31
2021,Aug,30
2021,Sep,30
2021,Oct,30
2021,Nov,31
2021,Dec,35
2022,Jan,41
2022,Feb,43
2022,Mar,41
