CNAME:,DELTA AIR LINES INC
Google Trends Search Term:,delta air lines
Google Trends Suggestion:,airline
Google Trends URL:,/m/0k9ts
Year,Month,SVI Data
2004,Jan,46
2004,Feb,43
2004,Mar,49
2004,Apr,42
2004,May,45
2004,Jun,48
2004,Jul,48
2004,Aug,48
2004,Sep,49
2004,Oct,43
2004,Nov,43
2004,Dec,43
2005,Jan,100
2005,Feb,57
2005,Mar,58
2005,Apr,46
2005,May,55
2005,Jun,57
2005,Jul,59
2005,Aug,59
2005,Sep,56
2005,Oct,51
2005,Nov,52
2005,Dec,47
2006,Jan,55
2006,Feb,55
2006,Mar,59
2006,Apr,57
2006,May,55
2006,Jun,63
2006,Jul,66
2006,Aug,62
2006,Sep,57
2006,Oct,57
2006,Nov,55
2006,Dec,53
2007,Jan,62
2007,Feb,62
2007,Mar,66
2007,Apr,62
2007,May,61
2007,Jun,66
2007,Jul,66
2007,Aug,63
2007,Sep,56
2007,Oct,55
2007,Nov,52
2007,Dec,53
2008,Jan,59
2008,Feb,57
2008,Mar,66
2008,Apr,60
2008,May,57
2008,Jun,61
2008,Jul,62
2008,Aug,56
2008,Sep,47
2008,Oct,47
2008,Nov,48
2008,Dec,52
2009,Jan,53
2009,Feb,50
2009,Mar,55
2009,Apr,52
2009,May,52
2009,Jun,60
2009,Jul,64
2009,Aug,57
2009,Sep,53
2009,Oct,55
2009,Nov,52
2009,Dec,56
2010,Jan,62
2010,Feb,72
2010,Mar,71
2010,Apr,67
2010,May,70
2010,Jun,74
2010,Jul,73
2010,Aug,68
2010,Sep,65
2010,Oct,61
2010,Nov,59
2010,Dec,66
2011,Jan,78
2011,Feb,75
2011,Mar,75
2011,Apr,71
2011,May,73
2011,Jun,81
2011,Jul,78
2011,Aug,78
2011,Sep,67
2011,Oct,65
2011,Nov,64
2011,Dec,60
2012,Jan,66
2012,Feb,63
2012,Mar,67
2012,Apr,65
2012,May,63
2012,Jun,68
2012,Jul,70
2012,Aug,66
2012,Sep,60
2012,Oct,64
2012,Nov,58
2012,Dec,58
2013,Jan,60
2013,Feb,61
2013,Mar,65
2013,Apr,62
2013,May,63
2013,Jun,66
2013,Jul,67
2013,Aug,60
2013,Sep,55
2013,Oct,54
2013,Nov,51
2013,Dec,56
2014,Jan,67
2014,Feb,61
2014,Mar,62
2014,Apr,55
2014,May,60
2014,Jun,61
2014,Jul,63
2014,Aug,58
2014,Sep,53
2014,Oct,52
2014,Nov,50
2014,Dec,47
2015,Jan,54
2015,Feb,55
2015,Mar,59
2015,Apr,53
2015,May,55
2015,Jun,60
2015,Jul,61
2015,Aug,58
2015,Sep,53
2015,Oct,54
2015,Nov,48
2015,Dec,50
2016,Jan,50
2016,Feb,51
2016,Mar,52
2016,Apr,50
2016,May,53
2016,Jun,56
2016,Jul,56
2016,Aug,63
2016,Sep,47
2016,Oct,46
2016,Nov,48
2016,Dec,53
2017,Jan,57
2017,Feb,50
2017,Mar,56
2017,Apr,63
2017,May,60
2017,Jun,61
2017,Jul,66
2017,Aug,57
2017,Sep,50
2017,Oct,51
2017,Nov,48
2017,Dec,51
2018,Jan,55
2018,Feb,53
2018,Mar,60
2018,Apr,55
2018,May,53
2018,Jun,58
2018,Jul,62
2018,Aug,62
2018,Sep,53
2018,Oct,53
2018,Nov,51
2018,Dec,49
2019,Jan,56
2019,Feb,57
2019,Mar,57
2019,Apr,56
2019,May,56
2019,Jun,63
2019,Jul,62
2019,Aug,60
2019,Sep,53
2019,Oct,51
2019,Nov,48
2019,Dec,51
2020,Jan,56
2020,Feb,52
2020,Mar,54
2020,Apr,25
2020,May,24
2020,Jun,29
2020,Jul,23
2020,Aug,23
2020,Sep,23
2020,Oct,27
2020,Nov,22
2020,Dec,24
2021,Jan,24
2021,Feb,28
2021,Mar,35
2021,Apr,38
2021,May,44
2021,Jun,51
2021,Jul,54
2021,Aug,50
2021,Sep,41
2021,Oct,43
2021,Nov,44
2021,Dec,48
2022,Jan,46
2022,Feb,50
2022,Mar,54
