CNAME:,PEABODY ENERGY CORP
Google Trends Search Term:,peabody energy
Google Trends Suggestion:,coal mining company
Google Trends URL:,/m/09zfjz
Year,Month,SVI Data
2004,Jan,26
2004,Feb,26
2004,Mar,27
2004,Apr,25
2004,May,30
2004,Jun,35
2004,Jul,32
2004,Aug,40
2004,Sep,14
2004,Oct,14
2004,Nov,40
2004,Dec,58
2005,Jan,57
2005,Feb,57
2005,Mar,46
2005,Apr,41
2005,May,31
2005,Jun,43
2005,Jul,42
2005,Aug,42
2005,Sep,55
2005,Oct,49
2005,Nov,33
2005,Dec,42
2006,Jan,48
2006,Feb,44
2006,Mar,39
2006,Apr,50
2006,May,58
2006,Jun,45
2006,Jul,45
2006,Aug,61
2006,Sep,26
2006,Oct,57
2006,Nov,33
2006,Dec,42
2007,Jan,50
2007,Feb,45
2007,Mar,32
2007,Apr,36
2007,May,34
2007,Jun,44
2007,Jul,23
2007,Aug,33
2007,Sep,36
2007,Oct,36
2007,Nov,43
2007,Dec,29
2008,Jan,41
2008,Feb,38
2008,Mar,39
2008,Apr,30
2008,May,45
2008,Jun,37
2008,Jul,53
2008,Aug,38
2008,Sep,35
2008,Oct,56
2008,Nov,42
2008,Dec,48
2009,Jan,32
2009,Feb,37
2009,Mar,36
2009,Apr,29
2009,May,34
2009,Jun,36
2009,Jul,38
2009,Aug,33
2009,Sep,32
2009,Oct,29
2009,Nov,32
2009,Dec,19
2010,Jan,26
2010,Feb,32
2010,Mar,34
2010,Apr,43
2010,May,28
2010,Jun,29
2010,Jul,32
2010,Aug,27
2010,Sep,23
2010,Oct,35
2010,Nov,26
2010,Dec,25
2011,Jan,27
2011,Feb,30
2011,Mar,51
2011,Apr,37
2011,May,39
2011,Jun,27
2011,Jul,36
2011,Aug,34
2011,Sep,33
2011,Oct,34
2011,Nov,28
2011,Dec,33
2012,Jan,38
2012,Feb,24
2012,Mar,32
2012,Apr,35
2012,May,26
2012,Jun,25
2012,Jul,35
2012,Aug,23
2012,Sep,27
2012,Oct,29
2012,Nov,21
2012,Dec,16
2013,Jan,26
2013,Feb,23
2013,Mar,22
2013,Apr,28
2013,May,23
2013,Jun,23
2013,Jul,23
2013,Aug,23
2013,Sep,21
2013,Oct,21
2013,Nov,17
2013,Dec,18
2014,Jan,19
2014,Feb,15
2014,Mar,22
2014,Apr,25
2014,May,21
2014,Jun,21
2014,Jul,24
2014,Aug,19
2014,Sep,22
2014,Oct,24
2014,Nov,20
2014,Dec,26
2015,Jan,21
2015,Feb,18
2015,Mar,23
2015,Apr,26
2015,May,29
2015,Jun,48
2015,Jul,61
2015,Aug,74
2015,Sep,53
2015,Oct,43
2015,Nov,36
2015,Dec,28
2016,Jan,35
2016,Feb,40
2016,Mar,82
2016,Apr,100
2016,May,29
2016,Jun,31
2016,Jul,25
2016,Aug,20
2016,Sep,17
2016,Oct,37
2016,Nov,48
2016,Dec,36
2017,Jan,41
2017,Feb,35
2017,Mar,37
2017,Apr,37
2017,May,15
2017,Jun,19
2017,Jul,15
2017,Aug,13
2017,Sep,10
2017,Oct,12
2017,Nov,15
2017,Dec,12
2018,Jan,13
2018,Feb,15
2018,Mar,13
2018,Apr,16
2018,May,10
2018,Jun,9
2018,Jul,9
2018,Aug,10
2018,Sep,13
2018,Oct,14
2018,Nov,11
2018,Dec,11
2019,Jan,9
2019,Feb,10
2019,Mar,11
2019,Apr,11
2019,May,12
2019,Jun,12
2019,Jul,10
2019,Aug,11
2019,Sep,12
2019,Oct,14
2019,Nov,11
2019,Dec,10
2020,Jan,12
2020,Feb,13
2020,Mar,13
2020,Apr,15
2020,May,9
2020,Jun,13
2020,Jul,11
2020,Aug,9
2020,Sep,12
2020,Oct,14
2020,Nov,15
2020,Dec,11
2021,Jan,11
2021,Feb,16
2021,Mar,7
2021,Apr,9
2021,May,20
2021,Jun,13
2021,Jul,12
2021,Aug,9
2021,Sep,10
2021,Oct,20
2021,Nov,14
2021,Dec,11
2022,Jan,10
2022,Feb,15
2022,Mar,14
