CNAME:,BANK OF HAWAII CORP
Google Trends Search Term:,bank of hawaii
Google Trends Suggestion:,banking company
Google Trends URL:,/m/072x4y
Year,Month,SVI Data
2004,Jan,37
2004,Feb,27
2004,Mar,30
2004,Apr,36
2004,May,38
2004,Jun,36
2004,Jul,44
2004,Aug,50
2004,Sep,44
2004,Oct,34
2004,Nov,28
2004,Dec,41
2005,Jan,33
2005,Feb,47
2005,Mar,47
2005,Apr,37
2005,May,42
2005,Jun,50
2005,Jul,60
2005,Aug,44
2005,Sep,53
2005,Oct,54
2005,Nov,53
2005,Dec,48
2006,Jan,48
2006,Feb,51
2006,Mar,56
2006,Apr,54
2006,May,48
2006,Jun,63
2006,Jul,62
2006,Aug,57
2006,Sep,59
2006,Oct,50
2006,Nov,53
2006,Dec,61
2007,Jan,61
2007,Feb,60
2007,Mar,66
2007,Apr,61
2007,May,66
2007,Jun,63
2007,Jul,61
2007,Aug,66
2007,Sep,70
2007,Oct,56
2007,Nov,55
2007,Dec,53
2008,Jan,57
2008,Feb,64
2008,Mar,58
2008,Apr,60
2008,May,66
2008,Jun,68
2008,Jul,68
2008,Aug,66
2008,Sep,67
2008,Oct,70
2008,Nov,66
2008,Dec,64
2009,Jan,70
2009,Feb,66
2009,Mar,75
2009,Apr,69
2009,May,72
2009,Jun,72
2009,Jul,69
2009,Aug,66
2009,Sep,69
2009,Oct,66
2009,Nov,64
2009,Dec,76
2010,Jan,74
2010,Feb,68
2010,Mar,73
2010,Apr,76
2010,May,72
2010,Jun,74
2010,Jul,85
2010,Aug,77
2010,Sep,74
2010,Oct,72
2010,Nov,72
2010,Dec,75
2011,Jan,84
2011,Feb,86
2011,Mar,80
2011,Apr,87
2011,May,85
2011,Jun,100
2011,Jul,93
2011,Aug,91
2011,Sep,92
2011,Oct,91
2011,Nov,97
2011,Dec,91
2012,Jan,94
2012,Feb,93
2012,Mar,86
2012,Apr,90
2012,May,91
2012,Jun,96
2012,Jul,96
2012,Aug,93
2012,Sep,96
2012,Oct,91
2012,Nov,92
2012,Dec,92
2013,Jan,88
2013,Feb,92
2013,Mar,91
2013,Apr,86
2013,May,90
2013,Jun,88
2013,Jul,93
2013,Aug,87
2013,Sep,80
2013,Oct,79
2013,Nov,80
2013,Dec,77
2014,Jan,81
2014,Feb,78
2014,Mar,83
2014,Apr,81
2014,May,90
2014,Jun,88
2014,Jul,78
2014,Aug,86
2014,Sep,72
2014,Oct,74
2014,Nov,67
2014,Dec,72
2015,Jan,80
2015,Feb,76
2015,Mar,81
2015,Apr,79
2015,May,77
2015,Jun,80
2015,Jul,87
2015,Aug,83
2015,Sep,67
2015,Oct,75
2015,Nov,73
2015,Dec,77
2016,Jan,73
2016,Feb,75
2016,Mar,73
2016,Apr,74
2016,May,72
2016,Jun,72
2016,Jul,76
2016,Aug,75
2016,Sep,71
2016,Oct,73
2016,Nov,70
2016,Dec,71
2017,Jan,72
2017,Feb,69
2017,Mar,68
2017,Apr,69
2017,May,67
2017,Jun,68
2017,Jul,72
2017,Aug,73
2017,Sep,69
2017,Oct,73
2017,Nov,69
2017,Dec,71
2018,Jan,71
2018,Feb,74
2018,Mar,73
2018,Apr,71
2018,May,70
2018,Jun,71
2018,Jul,69
2018,Aug,72
2018,Sep,69
2018,Oct,73
2018,Nov,69
2018,Dec,71
2019,Jan,67
2019,Feb,69
2019,Mar,67
2019,Apr,69
2019,May,65
2019,Jun,72
2019,Jul,68
2019,Aug,75
2019,Sep,72
2019,Oct,70
2019,Nov,73
2019,Dec,70
2020,Jan,67
2020,Feb,70
2020,Mar,79
2020,Apr,96
2020,May,79
2020,Jun,76
2020,Jul,73
2020,Aug,69
2020,Sep,62
2020,Oct,67
2020,Nov,60
2020,Dec,64
2021,Jan,68
2021,Feb,62
2021,Mar,71
2021,Apr,63
2021,May,61
2021,Jun,66
2021,Jul,66
2021,Aug,60
2021,Sep,62
2021,Oct,60
2021,Nov,61
2021,Dec,62
2022,Jan,63
2022,Feb,67
2022,Mar,66
