CNAME:,HIMS & HERS HEALTH INC
Google Trends Search Term:,hims
Google Trends Suggestion:,telehealth company
Google Trends URL:,/g/11fkypmfp7
Year,Month,SVI Data
2004,Jan,6
2004,Feb,3
2004,Mar,0
2004,Apr,0
2004,May,2
2004,Jun,4
2004,Jul,2
2004,Aug,3
2004,Sep,1
2004,Oct,5
2004,Nov,2
2004,Dec,4
2005,Jan,4
2005,Feb,4
2005,Mar,2
2005,Apr,4
2005,May,1
2005,Jun,1
2005,Jul,3
2005,Aug,3
2005,Sep,1
2005,Oct,4
2005,Nov,6
2005,Dec,5
2006,Jan,2
2006,Feb,5
2006,Mar,3
2006,Apr,3
2006,May,3
2006,Jun,3
2006,Jul,1
2006,Aug,4
2006,Sep,3
2006,Oct,2
2006,Nov,2
2006,Dec,2
2007,Jan,4
2007,Feb,6
2007,Mar,3
2007,Apr,3
2007,May,3
2007,Jun,4
2007,Jul,2
2007,Aug,4
2007,Sep,3
2007,Oct,2
2007,Nov,3
2007,Dec,2
2008,Jan,4
2008,Feb,4
2008,Mar,1
2008,Apr,1
2008,May,2
2008,Jun,3
2008,Jul,1
2008,Aug,2
2008,Sep,2
2008,Oct,2
2008,Nov,2
2008,Dec,2
2009,Jan,3
2009,Feb,3
2009,Mar,2
2009,Apr,3
2009,May,2
2009,Jun,3
2009,Jul,1
2009,Aug,2
2009,Sep,1
2009,Oct,3
2009,Nov,1
2009,Dec,1
2010,Jan,3
2010,Feb,3
2010,Mar,2
2010,Apr,1
2010,May,3
2010,Jun,2
2010,Jul,2
2010,Aug,2
2010,Sep,2
2010,Oct,3
2010,Nov,1
2010,Dec,2
2011,Jan,2
2011,Feb,2
2011,Mar,2
2011,Apr,2
2011,May,2
2011,Jun,2
2011,Jul,1
2011,Aug,2
2011,Sep,3
2011,Oct,2
2011,Nov,3
2011,Dec,2
2012,Jan,3
2012,Feb,2
2012,Mar,2
2012,Apr,2
2012,May,2
2012,Jun,2
2012,Jul,1
2012,Aug,2
2012,Sep,2
2012,Oct,2
2012,Nov,2
2012,Dec,1
2013,Jan,2
2013,Feb,2
2013,Mar,2
2013,Apr,2
2013,May,2
2013,Jun,2
2013,Jul,1
2013,Aug,2
2013,Sep,2
2013,Oct,2
2013,Nov,2
2013,Dec,2
2014,Jan,2
2014,Feb,2
2014,Mar,2
2014,Apr,2
2014,May,2
2014,Jun,2
2014,Jul,3
2014,Aug,2
2014,Sep,2
2014,Oct,2
2014,Nov,2
2014,Dec,3
2015,Jan,2
2015,Feb,2
2015,Mar,2
2015,Apr,3
2015,May,3
2015,Jun,2
2015,Jul,3
2015,Aug,2
2015,Sep,2
2015,Oct,2
2015,Nov,2
2015,Dec,1
2016,Jan,3
2016,Feb,2
2016,Mar,3
2016,Apr,2
2016,May,2
2016,Jun,3
2016,Jul,2
2016,Aug,2
2016,Sep,2
2016,Oct,3
2016,Nov,2
2016,Dec,2
2017,Jan,3
2017,Feb,3
2017,Mar,2
2017,Apr,2
2017,May,3
2017,Jun,3
2017,Jul,2
2017,Aug,2
2017,Sep,2
2017,Oct,2
2017,Nov,15
2017,Dec,16
2018,Jan,23
2018,Feb,28
2018,Mar,63
2018,Apr,65
2018,May,95
2018,Jun,85
2018,Jul,80
2018,Aug,72
2018,Sep,67
2018,Oct,79
2018,Nov,88
2018,Dec,75
2019,Jan,73
2019,Feb,71
2019,Mar,65
2019,Apr,74
2019,May,100
2019,Jun,94
2019,Jul,84
2019,Aug,60
2019,Sep,49
2019,Oct,49
2019,Nov,55
2019,Dec,59
2020,Jan,54
2020,Feb,59
2020,Mar,45
2020,Apr,55
2020,May,51
2020,Jun,50
2020,Jul,55
2020,Aug,49
2020,Sep,43
2020,Oct,45
2020,Nov,39
2020,Dec,53
2021,Jan,71
2021,Feb,71
2021,Mar,59
2021,Apr,47
2021,May,52
2021,Jun,60
2021,Jul,57
2021,Aug,58
2021,Sep,67
2021,Oct,63
2021,Nov,62
2021,Dec,67
2022,Jan,76
2022,Feb,83
2022,Mar,78
