CNAME:,MEDIACOM COMMUNICATIONS CORP
Google Trends Search Term:,mediacom
Google Trends Suggestion:,cable television company
Google Trends URL:,/m/065qr_
Year,Month,SVI Data
2004,Jan,32
2004,Feb,33
2004,Mar,34
2004,Apr,33
2004,May,40
2004,Jun,41
2004,Jul,39
2004,Aug,45
2004,Sep,39
2004,Oct,37
2004,Nov,40
2004,Dec,41
2005,Jan,40
2005,Feb,37
2005,Mar,41
2005,Apr,37
2005,May,43
2005,Jun,42
2005,Jul,50
2005,Aug,51
2005,Sep,45
2005,Oct,42
2005,Nov,47
2005,Dec,47
2006,Jan,44
2006,Feb,40
2006,Mar,42
2006,Apr,40
2006,May,45
2006,Jun,48
2006,Jul,55
2006,Aug,63
2006,Sep,56
2006,Oct,54
2006,Nov,55
2006,Dec,58
2007,Jan,66
2007,Feb,54
2007,Mar,49
2007,Apr,49
2007,May,55
2007,Jun,56
2007,Jul,58
2007,Aug,65
2007,Sep,61
2007,Oct,54
2007,Nov,55
2007,Dec,57
2008,Jan,60
2008,Feb,53
2008,Mar,54
2008,Apr,53
2008,May,55
2008,Jun,58
2008,Jul,64
2008,Aug,69
2008,Sep,64
2008,Oct,53
2008,Nov,48
2008,Dec,46
2009,Jan,46
2009,Feb,42
2009,Mar,40
2009,Apr,44
2009,May,37
2009,Jun,38
2009,Jul,36
2009,Aug,38
2009,Sep,38
2009,Oct,33
2009,Nov,31
2009,Dec,38
2010,Jan,33
2010,Feb,26
2010,Mar,25
2010,Apr,26
2010,May,25
2010,Jun,27
2010,Jul,26
2010,Aug,30
2010,Sep,28
2010,Oct,26
2010,Nov,26
2010,Dec,24
2011,Jan,48
2011,Feb,47
2011,Mar,45
2011,Apr,45
2011,May,44
2011,Jun,45
2011,Jul,48
2011,Aug,48
2011,Sep,46
2011,Oct,43
2011,Nov,43
2011,Dec,43
2012,Jan,43
2012,Feb,40
2012,Mar,40
2012,Apr,42
2012,May,41
2012,Jun,42
2012,Jul,51
2012,Aug,48
2012,Sep,46
2012,Oct,47
2012,Nov,100
2012,Dec,92
2013,Jan,87
2013,Feb,43
2013,Mar,39
2013,Apr,37
2013,May,38
2013,Jun,39
2013,Jul,40
2013,Aug,47
2013,Sep,43
2013,Oct,41
2013,Nov,38
2013,Dec,39
2014,Jan,41
2014,Feb,39
2014,Mar,38
2014,Apr,37
2014,May,39
2014,Jun,38
2014,Jul,42
2014,Aug,46
2014,Sep,43
2014,Oct,40
2014,Nov,38
2014,Dec,39
2015,Jan,42
2015,Feb,39
2015,Mar,38
2015,Apr,37
2015,May,39
2015,Jun,46
2015,Jul,48
2015,Aug,48
2015,Sep,43
2015,Oct,42
2015,Nov,40
2015,Dec,39
2016,Jan,35
2016,Feb,36
2016,Mar,35
2016,Apr,33
2016,May,35
2016,Jun,38
2016,Jul,40
2016,Aug,43
2016,Sep,44
2016,Oct,40
2016,Nov,35
2016,Dec,38
2017,Jan,40
2017,Feb,35
2017,Mar,37
2017,Apr,32
2017,May,33
2017,Jun,39
2017,Jul,42
2017,Aug,41
2017,Sep,37
2017,Oct,36
2017,Nov,35
2017,Dec,37
2018,Jan,41
2018,Feb,32
2018,Mar,35
2018,Apr,30
2018,May,33
2018,Jun,36
2018,Jul,39
2018,Aug,39
2018,Sep,38
2018,Oct,33
2018,Nov,35
2018,Dec,29
2019,Jan,32
2019,Feb,31
2019,Mar,30
2019,Apr,29
2019,May,29
2019,Jun,31
2019,Jul,33
2019,Aug,34
2019,Sep,33
2019,Oct,31
2019,Nov,30
2019,Dec,30
2020,Jan,29
2020,Feb,29
2020,Mar,35
2020,Apr,38
2020,May,33
2020,Jun,35
2020,Jul,34
2020,Aug,47
2020,Sep,34
2020,Oct,30
2020,Nov,30
2020,Dec,32
2021,Jan,31
2021,Feb,29
2021,Mar,28
2021,Apr,26
2021,May,26
2021,Jun,29
2021,Jul,28
2021,Aug,29
2021,Sep,27
2021,Oct,26
2021,Nov,26
2021,Dec,27
2022,Jan,27
2022,Feb,28
2022,Mar,26
