CNAME:,NUCOR CORP
Google Trends Search Term:,nucor
Google Trends Suggestion:,steel production company
Google Trends URL:,/m/03nh_t
Year,Month,SVI Data
2004,Jan,37
2004,Feb,52
2004,Mar,61
2004,Apr,79
2004,May,44
2004,Jun,51
2004,Jul,51
2004,Aug,55
2004,Sep,38
2004,Oct,75
2004,Nov,81
2004,Dec,55
2005,Jan,52
2005,Feb,61
2005,Mar,60
2005,Apr,83
2005,May,61
2005,Jun,44
2005,Jul,45
2005,Aug,65
2005,Sep,51
2005,Oct,62
2005,Nov,64
2005,Dec,45
2006,Jan,57
2006,Feb,74
2006,Mar,61
2006,Apr,57
2006,May,64
2006,Jun,65
2006,Jul,63
2006,Aug,50
2006,Sep,60
2006,Oct,73
2006,Nov,50
2006,Dec,52
2007,Jan,66
2007,Feb,67
2007,Mar,68
2007,Apr,62
2007,May,71
2007,Jun,76
2007,Jul,62
2007,Aug,71
2007,Sep,69
2007,Oct,69
2007,Nov,51
2007,Dec,54
2008,Jan,63
2008,Feb,75
2008,Mar,79
2008,Apr,86
2008,May,82
2008,Jun,84
2008,Jul,97
2008,Aug,84
2008,Sep,77
2008,Oct,89
2008,Nov,74
2008,Dec,82
2009,Jan,88
2009,Feb,85
2009,Mar,76
2009,Apr,72
2009,May,58
2009,Jun,62
2009,Jul,65
2009,Aug,64
2009,Sep,51
2009,Oct,58
2009,Nov,75
2009,Dec,49
2010,Jan,59
2010,Feb,61
2010,Mar,57
2010,Apr,63
2010,May,46
2010,Jun,56
2010,Jul,51
2010,Aug,47
2010,Sep,58
2010,Oct,52
2010,Nov,51
2010,Dec,37
2011,Jan,61
2011,Feb,71
2011,Mar,51
2011,Apr,57
2011,May,50
2011,Jun,53
2011,Jul,54
2011,Aug,56
2011,Sep,58
2011,Oct,54
2011,Nov,46
2011,Dec,41
2012,Jan,49
2012,Feb,57
2012,Mar,54
2012,Apr,61
2012,May,53
2012,Jun,53
2012,Jul,55
2012,Aug,53
2012,Sep,47
2012,Oct,50
2012,Nov,45
2012,Dec,42
2013,Jan,52
2013,Feb,53
2013,Mar,47
2013,Apr,51
2013,May,48
2013,Jun,44
2013,Jul,45
2013,Aug,50
2013,Sep,50
2013,Oct,53
2013,Nov,44
2013,Dec,32
2014,Jan,52
2014,Feb,56
2014,Mar,54
2014,Apr,47
2014,May,47
2014,Jun,52
2014,Jul,47
2014,Aug,46
2014,Sep,48
2014,Oct,54
2014,Nov,43
2014,Dec,39
2015,Jan,53
2015,Feb,49
2015,Mar,49
2015,Apr,50
2015,May,43
2015,Jun,51
2015,Jul,54
2015,Aug,55
2015,Sep,51
2015,Oct,50
2015,Nov,42
2015,Dec,40
2016,Jan,44
2016,Feb,49
2016,Mar,51
2016,Apr,60
2016,May,47
2016,Jun,49
2016,Jul,45
2016,Aug,52
2016,Sep,45
2016,Oct,47
2016,Nov,49
2016,Dec,47
2017,Jan,55
2017,Feb,60
2017,Mar,55
2017,Apr,49
2017,May,52
2017,Jun,56
2017,Jul,53
2017,Aug,54
2017,Sep,54
2017,Oct,55
2017,Nov,48
2017,Dec,56
2018,Jan,58
2018,Feb,63
2018,Mar,78
2018,Apr,63
2018,May,59
2018,Jun,59
2018,Jul,62
2018,Aug,64
2018,Sep,59
2018,Oct,61
2018,Nov,52
2018,Dec,55
2019,Jan,81
2019,Feb,63
2019,Mar,63
2019,Apr,65
2019,May,63
2019,Jun,61
2019,Jul,69
2019,Aug,62
2019,Sep,59
2019,Oct,61
2019,Nov,55
2019,Dec,55
2020,Jan,64
2020,Feb,74
2020,Mar,65
2020,Apr,52
2020,May,47
2020,Jun,57
2020,Jul,49
2020,Aug,53
2020,Sep,47
2020,Oct,56
2020,Nov,50
2020,Dec,48
2021,Jan,54
2021,Feb,68
2021,Mar,74
2021,Apr,79
2021,May,91
2021,Jun,86
2021,Jul,77
2021,Aug,100
2021,Sep,84
2021,Oct,89
2021,Nov,85
2021,Dec,73
2022,Jan,95
2022,Feb,82
2022,Mar,99
