CNAME:,RENT A CENTER INC NEW
Google Trends Search Term:,rent-a-center
Google Trends Suggestion:,furniture company
Google Trends URL:,/m/0glqc7
Year,Month,SVI Data
2004,Jan,25
2004,Feb,19
2004,Mar,19
2004,Apr,18
2004,May,23
2004,Jun,23
2004,Jul,27
2004,Aug,22
2004,Sep,25
2004,Oct,22
2004,Nov,22
2004,Dec,22
2005,Jan,27
2005,Feb,24
2005,Mar,22
2005,Apr,21
2005,May,23
2005,Jun,28
2005,Jul,32
2005,Aug,29
2005,Sep,26
2005,Oct,26
2005,Nov,29
2005,Dec,26
2006,Jan,31
2006,Feb,24
2006,Mar,34
2006,Apr,29
2006,May,30
2006,Jun,35
2006,Jul,37
2006,Aug,38
2006,Sep,35
2006,Oct,33
2006,Nov,36
2006,Dec,31
2007,Jan,36
2007,Feb,36
2007,Mar,33
2007,Apr,35
2007,May,36
2007,Jun,39
2007,Jul,41
2007,Aug,43
2007,Sep,43
2007,Oct,36
2007,Nov,40
2007,Dec,39
2008,Jan,41
2008,Feb,39
2008,Mar,37
2008,Apr,35
2008,May,39
2008,Jun,37
2008,Jul,41
2008,Aug,40
2008,Sep,35
2008,Oct,35
2008,Nov,40
2008,Dec,38
2009,Jan,44
2009,Feb,38
2009,Mar,37
2009,Apr,33
2009,May,35
2009,Jun,38
2009,Jul,44
2009,Aug,39
2009,Sep,40
2009,Oct,41
2009,Nov,45
2009,Dec,46
2010,Jan,42
2010,Feb,42
2010,Mar,38
2010,Apr,36
2010,May,38
2010,Jun,39
2010,Jul,44
2010,Aug,43
2010,Sep,43
2010,Oct,42
2010,Nov,51
2010,Dec,46
2011,Jan,53
2011,Feb,56
2011,Mar,53
2011,Apr,53
2011,May,54
2011,Jun,56
2011,Jul,59
2011,Aug,59
2011,Sep,59
2011,Oct,58
2011,Nov,69
2011,Dec,67
2012,Jan,85
2012,Feb,87
2012,Mar,68
2012,Apr,59
2012,May,62
2012,Jun,75
2012,Jul,81
2012,Aug,78
2012,Sep,66
2012,Oct,71
2012,Nov,77
2012,Dec,69
2013,Jan,73
2013,Feb,79
2013,Mar,71
2013,Apr,66
2013,May,70
2013,Jun,76
2013,Jul,85
2013,Aug,85
2013,Sep,79
2013,Oct,74
2013,Nov,88
2013,Dec,82
2014,Jan,80
2014,Feb,77
2014,Mar,72
2014,Apr,71
2014,May,81
2014,Jun,76
2014,Jul,79
2014,Aug,79
2014,Sep,86
2014,Oct,80
2014,Nov,92
2014,Dec,86
2015,Jan,80
2015,Feb,92
2015,Mar,84
2015,Apr,80
2015,May,85
2015,Jun,94
2015,Jul,95
2015,Aug,94
2015,Sep,87
2015,Oct,85
2015,Nov,95
2015,Dec,89
2016,Jan,92
2016,Feb,88
2016,Mar,83
2016,Apr,83
2016,May,83
2016,Jun,86
2016,Jul,90
2016,Aug,80
2016,Sep,82
2016,Oct,80
2016,Nov,86
2016,Dec,88
2017,Jan,77
2017,Feb,74
2017,Mar,77
2017,Apr,71
2017,May,73
2017,Jun,82
2017,Jul,81
2017,Aug,79
2017,Sep,73
2017,Oct,73
2017,Nov,84
2017,Dec,80
2018,Jan,79
2018,Feb,75
2018,Mar,74
2018,Apr,70
2018,May,70
2018,Jun,83
2018,Jul,84
2018,Aug,82
2018,Sep,83
2018,Oct,82
2018,Nov,95
2018,Dec,90
2019,Jan,80
2019,Feb,82
2019,Mar,86
2019,Apr,75
2019,May,83
2019,Jun,87
2019,Jul,93
2019,Aug,90
2019,Sep,85
2019,Oct,83
2019,Nov,100
2019,Dec,92
2020,Jan,81
2020,Feb,79
2020,Mar,84
2020,Apr,84
2020,May,86
2020,Jun,84
2020,Jul,82
2020,Aug,76
2020,Sep,73
2020,Oct,84
2020,Nov,96
2020,Dec,90
2021,Jan,85
2021,Feb,78
2021,Mar,84
2021,Apr,76
2021,May,74
2021,Jun,76
2021,Jul,78
2021,Aug,74
2021,Sep,71
2021,Oct,74
2021,Nov,86
2021,Dec,82
2022,Jan,76
2022,Feb,74
2022,Mar,76
