CNAME:,CARLYLE GROUP LP
Google Trends Search Term:,the carlyle group
Google Trends Suggestion:,private equity company
Google Trends URL:,/m/011vwm
Year,Month,SVI Data
2004,Jan,49
2004,Feb,50
2004,Mar,48
2004,Apr,56
2004,May,54
2004,Jun,86
2004,Jul,100
2004,Aug,64
2004,Sep,56
2004,Oct,71
2004,Nov,59
2004,Dec,49
2005,Jan,38
2005,Feb,30
2005,Mar,44
2005,Apr,46
2005,May,34
2005,Jun,41
2005,Jul,43
2005,Aug,51
2005,Sep,47
2005,Oct,38
2005,Nov,38
2005,Dec,42
2006,Jan,34
2006,Feb,57
2006,Mar,45
2006,Apr,35
2006,May,36
2006,Jun,50
2006,Jul,38
2006,Aug,38
2006,Sep,34
2006,Oct,38
2006,Nov,40
2006,Dec,35
2007,Jan,32
2007,Feb,38
2007,Mar,37
2007,Apr,29
2007,May,35
2007,Jun,43
2007,Jul,59
2007,Aug,38
2007,Sep,40
2007,Oct,39
2007,Nov,38
2007,Dec,37
2008,Jan,42
2008,Feb,36
2008,Mar,77
2008,Apr,34
2008,May,32
2008,Jun,28
2008,Jul,29
2008,Aug,29
2008,Sep,27
2008,Oct,26
2008,Nov,23
2008,Dec,27
2009,Jan,20
2009,Feb,19
2009,Mar,21
2009,Apr,20
2009,May,21
2009,Jun,25
2009,Jul,18
2009,Aug,18
2009,Sep,19
2009,Oct,21
2009,Nov,17
2009,Dec,17
2010,Jan,19
2010,Feb,16
2010,Mar,19
2010,Apr,18
2010,May,16
2010,Jun,16
2010,Jul,22
2010,Aug,19
2010,Sep,20
2010,Oct,23
2010,Nov,17
2010,Dec,21
2011,Jan,18
2011,Feb,19
2011,Mar,20
2011,Apr,19
2011,May,21
2011,Jun,23
2011,Jul,16
2011,Aug,19
2011,Sep,22
2011,Oct,18
2011,Nov,17
2011,Dec,15
2012,Jan,23
2012,Feb,16
2012,Mar,13
2012,Apr,19
2012,May,24
2012,Jun,16
2012,Jul,17
2012,Aug,23
2012,Sep,17
2012,Oct,17
2012,Nov,15
2012,Dec,13
2013,Jan,14
2013,Feb,16
2013,Mar,16
2013,Apr,15
2013,May,15
2013,Jun,16
2013,Jul,14
2013,Aug,14
2013,Sep,13
2013,Oct,13
2013,Nov,12
2013,Dec,13
2014,Jan,16
2014,Feb,14
2014,Mar,19
2014,Apr,19
2014,May,18
2014,Jun,13
2014,Jul,15
2014,Aug,14
2014,Sep,14
2014,Oct,13
2014,Nov,11
2014,Dec,14
2015,Jan,12
2015,Feb,14
2015,Mar,13
2015,Apr,14
2015,May,14
2015,Jun,14
2015,Jul,17
2015,Aug,16
2015,Sep,14
2015,Oct,15
2015,Nov,11
2015,Dec,11
2016,Jan,10
2016,Feb,12
2016,Mar,13
2016,Apr,13
2016,May,11
2016,Jun,12
2016,Jul,11
2016,Aug,11
2016,Sep,10
2016,Oct,12
2016,Nov,9
2016,Dec,9
2017,Jan,12
2017,Feb,11
2017,Mar,13
2017,Apr,10
2017,May,11
2017,Jun,12
2017,Jul,12
2017,Aug,11
2017,Sep,11
2017,Oct,17
2017,Nov,12
2017,Dec,9
2018,Jan,12
2018,Feb,12
2018,Mar,13
2018,Apr,13
2018,May,11
2018,Jun,12
2018,Jul,11
2018,Aug,11
2018,Sep,12
2018,Oct,13
2018,Nov,22
2018,Dec,13
2019,Jan,12
2019,Feb,12
2019,Mar,13
2019,Apr,14
2019,May,12
2019,Jun,13
2019,Jul,13
2019,Aug,11
2019,Sep,11
2019,Oct,12
2019,Nov,13
2019,Dec,10
2020,Jan,11
2020,Feb,13
2020,Mar,10
2020,Apr,9
2020,May,10
2020,Jun,12
2020,Jul,11
2020,Aug,9
2020,Sep,10
2020,Oct,8
2020,Nov,8
2020,Dec,7
2021,Jan,9
2021,Feb,10
2021,Mar,8
2021,Apr,10
2021,May,8
2021,Jun,9
2021,Jul,10
2021,Aug,8
2021,Sep,10
2021,Oct,11
2021,Nov,17
2021,Dec,8
2022,Jan,9
2022,Feb,10
2022,Mar,10
