CNAME:,NORWEGIAN CRUISE LINE HOLDINGS
Google Trends Search Term:,norwegian cruise line
Google Trends Suggestion:,company
Google Trends URL:,/m/040sxf
Year,Month,SVI Data
2004,Jan,53
2004,Feb,42
2004,Mar,39
2004,Apr,27
2004,May,32
2004,Jun,35
2004,Jul,38
2004,Aug,36
2004,Sep,33
2004,Oct,29
2004,Nov,25
2004,Dec,29
2005,Jan,49
2005,Feb,36
2005,Mar,36
2005,Apr,57
2005,May,35
2005,Jun,40
2005,Jul,38
2005,Aug,37
2005,Sep,36
2005,Oct,36
2005,Nov,33
2005,Dec,30
2006,Jan,48
2006,Feb,41
2006,Mar,39
2006,Apr,36
2006,May,36
2006,Jun,41
2006,Jul,45
2006,Aug,37
2006,Sep,33
2006,Oct,38
2006,Nov,36
2006,Dec,41
2007,Jan,62
2007,Feb,53
2007,Mar,44
2007,Apr,41
2007,May,40
2007,Jun,50
2007,Jul,51
2007,Aug,54
2007,Sep,46
2007,Oct,41
2007,Nov,39
2007,Dec,39
2008,Jan,55
2008,Feb,49
2008,Mar,46
2008,Apr,40
2008,May,46
2008,Jun,47
2008,Jul,50
2008,Aug,43
2008,Sep,39
2008,Oct,38
2008,Nov,42
2008,Dec,45
2009,Jan,60
2009,Feb,53
2009,Mar,56
2009,Apr,45
2009,May,45
2009,Jun,49
2009,Jul,50
2009,Aug,51
2009,Sep,41
2009,Oct,42
2009,Nov,42
2009,Dec,40
2010,Jan,64
2010,Feb,52
2010,Mar,51
2010,Apr,45
2010,May,49
2010,Jun,51
2010,Jul,56
2010,Aug,51
2010,Sep,43
2010,Oct,42
2010,Nov,40
2010,Dec,37
2011,Jan,82
2011,Feb,56
2011,Mar,53
2011,Apr,44
2011,May,45
2011,Jun,47
2011,Jul,49
2011,Aug,45
2011,Sep,42
2011,Oct,39
2011,Nov,37
2011,Dec,37
2012,Jan,69
2012,Feb,46
2012,Mar,46
2012,Apr,40
2012,May,39
2012,Jun,42
2012,Jul,45
2012,Aug,38
2012,Sep,35
2012,Oct,35
2012,Nov,32
2012,Dec,33
2013,Jan,69
2013,Feb,54
2013,Mar,51
2013,Apr,41
2013,May,42
2013,Jun,40
2013,Jul,47
2013,Aug,40
2013,Sep,33
2013,Oct,34
2013,Nov,35
2013,Dec,35
2014,Jan,70
2014,Feb,62
2014,Mar,64
2014,Apr,45
2014,May,46
2014,Jun,48
2014,Jul,57
2014,Aug,43
2014,Sep,37
2014,Oct,33
2014,Nov,32
2014,Dec,33
2015,Jan,67
2015,Feb,68
2015,Mar,63
2015,Apr,51
2015,May,51
2015,Jun,47
2015,Jul,53
2015,Aug,53
2015,Sep,40
2015,Oct,37
2015,Nov,38
2015,Dec,37
2016,Jan,71
2016,Feb,67
2016,Mar,59
2016,Apr,55
2016,May,53
2016,Jun,51
2016,Jul,59
2016,Aug,56
2016,Sep,51
2016,Oct,46
2016,Nov,41
2016,Dec,45
2017,Jan,72
2017,Feb,66
2017,Mar,62
2017,Apr,61
2017,May,56
2017,Jun,57
2017,Jul,64
2017,Aug,55
2017,Sep,50
2017,Oct,49
2017,Nov,50
2017,Dec,45
2018,Jan,78
2018,Feb,69
2018,Mar,75
2018,Apr,68
2018,May,63
2018,Jun,69
2018,Jul,77
2018,Aug,74
2018,Sep,60
2018,Oct,59
2018,Nov,54
2018,Dec,56
2019,Jan,95
2019,Feb,100
2019,Mar,98
2019,Apr,71
2019,May,72
2019,Jun,86
2019,Jul,84
2019,Aug,79
2019,Sep,70
2019,Oct,67
2019,Nov,68
2019,Dec,70
2020,Jan,91
2020,Feb,77
2020,Mar,99
2020,Apr,54
2020,May,56
2020,Jun,54
2020,Jul,24
2020,Aug,20
2020,Sep,19
2020,Oct,18
2020,Nov,20
2020,Dec,21
2021,Jan,22
2021,Feb,24
2021,Mar,27
2021,Apr,26
2021,May,29
2021,Jun,34
2021,Jul,31
2021,Aug,27
2021,Sep,24
2021,Oct,27
2021,Nov,36
2021,Dec,34
2022,Jan,47
2022,Feb,41
2022,Mar,55
