CNAME:,INTERCONTINENTALEXCHANGE GROUP
Google Trends Search Term:,intercontinental exchange
Google Trends Suggestion:,technology company
Google Trends URL:,/m/0kqmcj
Year,Month,SVI Data
2004,Jan,25
2004,Feb,29
2004,Mar,37
2004,Apr,23
2004,May,9
2004,Jun,30
2004,Jul,4
2004,Aug,24
2004,Sep,12
2004,Oct,4
2004,Nov,24
2004,Dec,14
2005,Jan,19
2005,Feb,20
2005,Mar,23
2005,Apr,3
2005,May,20
2005,Jun,27
2005,Jul,12
2005,Aug,25
2005,Sep,26
2005,Oct,34
2005,Nov,96
2005,Dec,23
2006,Jan,21
2006,Feb,41
2006,Mar,44
2006,Apr,38
2006,May,34
2006,Jun,30
2006,Jul,29
2006,Aug,23
2006,Sep,32
2006,Oct,33
2006,Nov,31
2006,Dec,34
2007,Jan,32
2007,Feb,55
2007,Mar,69
2007,Apr,42
2007,May,46
2007,Jun,47
2007,Jul,48
2007,Aug,32
2007,Sep,41
2007,Oct,38
2007,Nov,32
2007,Dec,42
2008,Jan,44
2008,Feb,48
2008,Mar,50
2008,Apr,44
2008,May,53
2008,Jun,57
2008,Jul,44
2008,Aug,46
2008,Sep,64
2008,Oct,61
2008,Nov,37
2008,Dec,38
2009,Jan,37
2009,Feb,44
2009,Mar,48
2009,Apr,46
2009,May,40
2009,Jun,51
2009,Jul,50
2009,Aug,51
2009,Sep,39
2009,Oct,54
2009,Nov,60
2009,Dec,39
2010,Jan,34
2010,Feb,30
2010,Mar,36
2010,Apr,46
2010,May,44
2010,Jun,46
2010,Jul,35
2010,Aug,42
2010,Sep,35
2010,Oct,34
2010,Nov,34
2010,Dec,42
2011,Jan,35
2011,Feb,53
2011,Mar,44
2011,Apr,54
2011,May,42
2011,Jun,48
2011,Jul,33
2011,Aug,30
2011,Sep,39
2011,Oct,28
2011,Nov,31
2011,Dec,38
2012,Jan,27
2012,Feb,37
2012,Mar,33
2012,Apr,31
2012,May,36
2012,Jun,35
2012,Jul,34
2012,Aug,28
2012,Sep,25
2012,Oct,34
2012,Nov,24
2012,Dec,100
2013,Jan,46
2013,Feb,40
2013,Mar,30
2013,Apr,35
2013,May,29
2013,Jun,30
2013,Jul,25
2013,Aug,32
2013,Sep,27
2013,Oct,36
2013,Nov,49
2013,Dec,30
2014,Jan,38
2014,Feb,31
2014,Mar,38
2014,Apr,30
2014,May,31
2014,Jun,36
2014,Jul,36
2014,Aug,38
2014,Sep,38
2014,Oct,41
2014,Nov,28
2014,Dec,38
2015,Jan,33
2015,Feb,35
2015,Mar,39
2015,Apr,29
2015,May,27
2015,Jun,33
2015,Jul,34
2015,Aug,34
2015,Sep,30
2015,Oct,42
2015,Nov,30
2015,Dec,34
2016,Jan,21
2016,Feb,28
2016,Mar,37
2016,Apr,29
2016,May,32
2016,Jun,36
2016,Jul,27
2016,Aug,25
2016,Sep,25
2016,Oct,24
2016,Nov,24
2016,Dec,24
2017,Jan,25
2017,Feb,33
2017,Mar,30
2017,Apr,25
2017,May,30
2017,Jun,30
2017,Jul,26
2017,Aug,29
2017,Sep,26
2017,Oct,23
2017,Nov,30
2017,Dec,23
2018,Jan,27
2018,Feb,26
2018,Mar,28
2018,Apr,32
2018,May,31
2018,Jun,29
2018,Jul,26
2018,Aug,35
2018,Sep,30
2018,Oct,32
2018,Nov,29
2018,Dec,26
2019,Jan,30
2019,Feb,24
2019,Mar,27
2019,Apr,23
2019,May,29
2019,Jun,24
2019,Jul,31
2019,Aug,28
2019,Sep,32
2019,Oct,26
2019,Nov,26
2019,Dec,27
2020,Jan,32
2020,Feb,41
2020,Mar,32
2020,Apr,33
2020,May,28
2020,Jun,22
2020,Jul,26
2020,Aug,31
2020,Sep,28
2020,Oct,22
2020,Nov,23
2020,Dec,30
2021,Jan,29
2021,Feb,28
2021,Mar,24
2021,Apr,25
2021,May,22
2021,Jun,20
2021,Jul,21
2021,Aug,23
2021,Sep,22
2021,Oct,26
2021,Nov,24
2021,Dec,27
2022,Jan,25
2022,Feb,26
2022,Mar,31
