CNAME:,FACEBOOK INC
Google Trends Search Term:,meta
Google Trends Suggestion:,technology company
Google Trends URL:,/m/0hmyfsv
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,1
2004,May,1
2004,Jun,0
2004,Jul,1
2004,Aug,1
2004,Sep,2
2004,Oct,3
2004,Nov,5
2004,Dec,7
2005,Jan,5
2005,Feb,8
2005,Mar,7
2005,Apr,11
2005,May,8
2005,Jun,9
2005,Jul,11
2005,Aug,11
2005,Sep,12
2005,Oct,10
2005,Nov,8
2005,Dec,7
2006,Jan,7
2006,Feb,7
2006,Mar,7
2006,Apr,6
2006,May,6
2006,Jun,6
2006,Jul,6
2006,Aug,6
2006,Sep,7
2006,Oct,7
2006,Nov,6
2006,Dec,6
2007,Jan,6
2007,Feb,7
2007,Mar,7
2007,Apr,7
2007,May,7
2007,Jun,8
2007,Jul,9
2007,Aug,11
2007,Sep,12
2007,Oct,13
2007,Nov,14
2007,Dec,13
2008,Jan,13
2008,Feb,13
2008,Mar,14
2008,Apr,15
2008,May,16
2008,Jun,18
2008,Jul,22
2008,Aug,24
2008,Sep,23
2008,Oct,25
2008,Nov,30
2008,Dec,33
2009,Jan,39
2009,Feb,45
2009,Mar,46
2009,Apr,43
2009,May,44
2009,Jun,50
2009,Jul,56
2009,Aug,62
2009,Sep,65
2009,Oct,63
2009,Nov,68
2009,Dec,67
2010,Jan,72
2010,Feb,73
2010,Mar,71
2010,Apr,76
2010,May,78
2010,Jun,79
2010,Jul,89
2010,Aug,92
2010,Sep,94
2010,Oct,98
2010,Nov,95
2010,Dec,100
2011,Jan,85
2011,Feb,81
2011,Mar,73
2011,Apr,73
2011,May,67
2011,Jun,68
2011,Jul,76
2011,Aug,76
2011,Sep,78
2011,Oct,70
2011,Nov,71
2011,Dec,66
2012,Jan,64
2012,Feb,69
2012,Mar,60
2012,Apr,63
2012,May,81
2012,Jun,63
2012,Jul,60
2012,Aug,56
2012,Sep,55
2012,Oct,55
2012,Nov,54
2012,Dec,56
2013,Jan,56
2013,Feb,52
2013,Mar,50
2013,Apr,51
2013,May,49
2013,Jun,47
2013,Jul,47
2013,Aug,46
2013,Sep,44
2013,Oct,46
2013,Nov,46
2013,Dec,44
2014,Jan,43
2014,Feb,47
2014,Mar,43
2014,Apr,41
2014,May,41
2014,Jun,48
2014,Jul,48
2014,Aug,52
2014,Sep,49
2014,Oct,51
2014,Nov,50
2014,Dec,46
2015,Jan,46
2015,Feb,44
2015,Mar,45
2015,Apr,44
2015,May,43
2015,Jun,44
2015,Jul,35
2015,Aug,36
2015,Sep,37
2015,Oct,37
2015,Nov,41
2015,Dec,38
2016,Jan,31
2016,Feb,32
2016,Mar,32
2016,Apr,32
2016,May,32
2016,Jun,33
2016,Jul,32
2016,Aug,31
2016,Sep,29
2016,Oct,29
2016,Nov,28
2016,Dec,25
2017,Jan,27
2017,Feb,25
2017,Mar,26
2017,Apr,25
2017,May,25
2017,Jun,25
2017,Jul,24
2017,Aug,24
2017,Sep,23
2017,Oct,24
2017,Nov,22
2017,Dec,21
2018,Jan,22
2018,Feb,21
2018,Mar,27
2018,Apr,27
2018,May,20
2018,Jun,20
2018,Jul,27
2018,Aug,21
2018,Sep,20
2018,Oct,20
2018,Nov,20
2018,Dec,17
2019,Jan,18
2019,Feb,17
2019,Mar,23
2019,Apr,18
2019,May,18
2019,Jun,19
2019,Jul,20
2019,Aug,17
2019,Sep,16
2019,Oct,16
2019,Nov,16
2019,Dec,16
2020,Jan,17
2020,Feb,16
2020,Mar,18
2020,Apr,20
2020,May,20
2020,Jun,21
2020,Jul,19
2020,Aug,18
2020,Sep,17
2020,Oct,16
2020,Nov,15
2020,Dec,15
2021,Jan,18
2021,Feb,14
2021,Mar,13
2021,Apr,14
2021,May,13
2021,Jun,13
2021,Jul,13
2021,Aug,13
2021,Sep,13
2021,Oct,47
2021,Nov,15
2021,Dec,14
2022,Jan,14
2022,Feb,18
2022,Mar,14
