CNAME:,RESTORATION HARDWARE HOLDINGS
Google Trends Search Term:,rh
Google Trends Suggestion:,retail-store company
Google Trends URL:,/m/0b1vl1
Year,Month,SVI Data
2004,Jan,58
2004,Feb,42
2004,Mar,47
2004,Apr,50
2004,May,46
2004,Jun,52
2004,Jul,57
2004,Aug,57
2004,Sep,49
2004,Oct,54
2004,Nov,67
2004,Dec,81
2005,Jan,58
2005,Feb,44
2005,Mar,43
2005,Apr,45
2005,May,49
2005,Jun,51
2005,Jul,61
2005,Aug,53
2005,Sep,47
2005,Oct,50
2005,Nov,62
2005,Dec,73
2006,Jan,58
2006,Feb,50
2006,Mar,50
2006,Apr,48
2006,May,48
2006,Jun,53
2006,Jul,61
2006,Aug,58
2006,Sep,57
2006,Oct,55
2006,Nov,67
2006,Dec,79
2007,Jan,62
2007,Feb,51
2007,Mar,57
2007,Apr,51
2007,May,54
2007,Jun,55
2007,Jul,64
2007,Aug,60
2007,Sep,57
2007,Oct,55
2007,Nov,72
2007,Dec,82
2008,Jan,60
2008,Feb,48
2008,Mar,47
2008,Apr,46
2008,May,50
2008,Jun,56
2008,Jul,56
2008,Aug,57
2008,Sep,47
2008,Oct,45
2008,Nov,59
2008,Dec,68
2009,Jan,54
2009,Feb,41
2009,Mar,40
2009,Apr,37
2009,May,37
2009,Jun,40
2009,Jul,48
2009,Aug,47
2009,Sep,44
2009,Oct,48
2009,Nov,54
2009,Dec,59
2010,Jan,52
2010,Feb,42
2010,Mar,43
2010,Apr,42
2010,May,42
2010,Jun,40
2010,Jul,42
2010,Aug,42
2010,Sep,46
2010,Oct,46
2010,Nov,50
2010,Dec,53
2011,Jan,71
2011,Feb,57
2011,Mar,51
2011,Apr,45
2011,May,49
2011,Jun,53
2011,Jul,67
2011,Aug,78
2011,Sep,76
2011,Oct,70
2011,Nov,89
2011,Dec,97
2012,Jan,100
2012,Feb,74
2012,Mar,67
2012,Apr,61
2012,May,57
2012,Jun,59
2012,Jul,65
2012,Aug,63
2012,Sep,74
2012,Oct,72
2012,Nov,89
2012,Dec,87
2013,Jan,85
2013,Feb,71
2013,Mar,69
2013,Apr,68
2013,May,73
2013,Jun,71
2013,Jul,80
2013,Aug,77
2013,Sep,72
2013,Oct,74
2013,Nov,87
2013,Dec,89
2014,Jan,80
2014,Feb,66
2014,Mar,65
2014,Apr,62
2014,May,68
2014,Jun,70
2014,Jul,71
2014,Aug,69
2014,Sep,64
2014,Oct,66
2014,Nov,83
2014,Dec,77
2015,Jan,75
2015,Feb,55
2015,Mar,58
2015,Apr,53
2015,May,56
2015,Jun,56
2015,Jul,62
2015,Aug,61
2015,Sep,60
2015,Oct,67
2015,Nov,80
2015,Dec,77
2016,Jan,71
2016,Feb,59
2016,Mar,56
2016,Apr,51
2016,May,54
2016,Jun,53
2016,Jul,56
2016,Aug,55
2016,Sep,53
2016,Oct,56
2016,Nov,61
2016,Dec,60
2017,Jan,55
2017,Feb,49
2017,Mar,50
2017,Apr,48
2017,May,51
2017,Jun,49
2017,Jul,53
2017,Aug,50
2017,Sep,48
2017,Oct,51
2017,Nov,61
2017,Dec,53
2018,Jan,54
2018,Feb,46
2018,Mar,46
2018,Apr,45
2018,May,44
2018,Jun,47
2018,Jul,49
2018,Aug,48
2018,Sep,47
2018,Oct,46
2018,Nov,56
2018,Dec,47
2019,Jan,49
2019,Feb,42
2019,Mar,43
2019,Apr,40
2019,May,43
2019,Jun,45
2019,Jul,45
2019,Aug,44
2019,Sep,45
2019,Oct,44
2019,Nov,51
2019,Dec,43
2020,Jan,44
2020,Feb,40
2020,Mar,30
2020,Apr,35
2020,May,48
2020,Jun,54
2020,Jul,56
2020,Aug,58
2020,Sep,57
2020,Oct,52
2020,Nov,54
2020,Dec,47
2021,Jan,53
2021,Feb,52
2021,Mar,49
2021,Apr,50
2021,May,50
2021,Jun,47
2021,Jul,47
2021,Aug,47
2021,Sep,47
2021,Oct,45
2021,Nov,49
2021,Dec,42
2022,Jan,49
2022,Feb,45
2022,Mar,42
