CNAME:,FLEX LTD
Google Trends Search Term:,flex
Google Trends Suggestion:,electronics manufacturing company
Google Trends URL:,/m/03k3f5
Year,Month,SVI Data
2004,Jan,71
2004,Feb,68
2004,Mar,61
2004,Apr,70
2004,May,79
2004,Jun,71
2004,Jul,76
2004,Aug,86
2004,Sep,70
2004,Oct,58
2004,Nov,67
2004,Dec,62
2005,Jan,60
2005,Feb,65
2005,Mar,70
2005,Apr,65
2005,May,65
2005,Jun,67
2005,Jul,63
2005,Aug,69
2005,Sep,50
2005,Oct,71
2005,Nov,67
2005,Dec,58
2006,Jan,58
2006,Feb,55
2006,Mar,46
2006,Apr,61
2006,May,63
2006,Jun,54
2006,Jul,55
2006,Aug,66
2006,Sep,69
2006,Oct,66
2006,Nov,52
2006,Dec,50
2007,Jan,61
2007,Feb,66
2007,Mar,60
2007,Apr,62
2007,May,66
2007,Jun,92
2007,Jul,67
2007,Aug,65
2007,Sep,67
2007,Oct,79
2007,Nov,76
2007,Dec,65
2008,Jan,76
2008,Feb,90
2008,Mar,83
2008,Apr,100
2008,May,89
2008,Jun,85
2008,Jul,90
2008,Aug,83
2008,Sep,79
2008,Oct,82
2008,Nov,76
2008,Dec,74
2009,Jan,76
2009,Feb,79
2009,Mar,79
2009,Apr,78
2009,May,73
2009,Jun,73
2009,Jul,75
2009,Aug,62
2009,Sep,64
2009,Oct,66
2009,Nov,61
2009,Dec,58
2010,Jan,60
2010,Feb,64
2010,Mar,79
2010,Apr,66
2010,May,64
2010,Jun,63
2010,Jul,55
2010,Aug,53
2010,Sep,57
2010,Oct,59
2010,Nov,53
2010,Dec,57
2011,Jan,58
2011,Feb,59
2011,Mar,59
2011,Apr,57
2011,May,58
2011,Jun,54
2011,Jul,58
2011,Aug,59
2011,Sep,50
2011,Oct,48
2011,Nov,41
2011,Dec,36
2012,Jan,41
2012,Feb,35
2012,Mar,35
2012,Apr,36
2012,May,36
2012,Jun,35
2012,Jul,34
2012,Aug,34
2012,Sep,31
2012,Oct,32
2012,Nov,28
2012,Dec,27
2013,Jan,33
2013,Feb,38
2013,Mar,32
2013,Apr,34
2013,May,36
2013,Jun,39
2013,Jul,37
2013,Aug,37
2013,Sep,39
2013,Oct,38
2013,Nov,32
2013,Dec,28
2014,Jan,34
2014,Feb,34
2014,Mar,34
2014,Apr,35
2014,May,37
2014,Jun,33
2014,Jul,36
2014,Aug,33
2014,Sep,36
2014,Oct,33
2014,Nov,36
2014,Dec,31
2015,Jan,35
2015,Feb,33
2015,Mar,37
2015,Apr,42
2015,May,44
2015,Jun,60
2015,Jul,53
2015,Aug,49
2015,Sep,51
2015,Oct,47
2015,Nov,41
2015,Dec,34
2016,Jan,33
2016,Feb,32
2016,Mar,33
2016,Apr,40
2016,May,31
2016,Jun,33
2016,Jul,35
2016,Aug,37
2016,Sep,31
2016,Oct,30
2016,Nov,30
2016,Dec,25
2017,Jan,28
2017,Feb,29
2017,Mar,28
2017,Apr,28
2017,May,27
2017,Jun,30
2017,Jul,27
2017,Aug,25
2017,Sep,25
2017,Oct,28
2017,Nov,25
2017,Dec,21
2018,Jan,26
2018,Feb,25
2018,Mar,27
2018,Apr,28
2018,May,28
2018,Jun,31
2018,Jul,26
2018,Aug,27
2018,Sep,26
2018,Oct,30
2018,Nov,26
2018,Dec,26
2019,Jan,29
2019,Feb,32
2019,Mar,33
2019,Apr,32
2019,May,30
2019,Jun,33
2019,Jul,33
2019,Aug,29
2019,Sep,29
2019,Oct,31
2019,Nov,29
2019,Dec,25
2020,Jan,29
2020,Feb,30
2020,Mar,26
2020,Apr,26
2020,May,25
2020,Jun,26
2020,Jul,27
2020,Aug,24
2020,Sep,23
2020,Oct,22
2020,Nov,19
2020,Dec,19
2021,Jan,19
2021,Feb,18
2021,Mar,22
2021,Apr,22
2021,May,19
2021,Jun,21
2021,Jul,20
2021,Aug,18
2021,Sep,18
2021,Oct,18
2021,Nov,21
2021,Dec,23
2022,Jan,23
2022,Feb,22
2022,Mar,23
