CNAME:,DXC TECHNOLOGY CO
Google Trends Search Term:,dxc technology
Google Trends Suggestion:,information technology company
Google Trends URL:,/g/11c6rh26jp
Year,Month,SVI Data
2004,Jan,8
2004,Feb,19
2004,Mar,14
2004,Apr,5
2004,May,14
2004,Jun,22
2004,Jul,17
2004,Aug,9
2004,Sep,13
2004,Oct,13
2004,Nov,11
2004,Dec,12
2005,Jan,26
2005,Feb,7
2005,Mar,13
2005,Apr,13
2005,May,10
2005,Jun,10
2005,Jul,13
2005,Aug,8
2005,Sep,8
2005,Oct,13
2005,Nov,18
2005,Dec,21
2006,Jan,24
2006,Feb,17
2006,Mar,21
2006,Apr,27
2006,May,13
2006,Jun,15
2006,Jul,22
2006,Aug,17
2006,Sep,18
2006,Oct,46
2006,Nov,25
2006,Dec,30
2007,Jan,21
2007,Feb,14
2007,Mar,15
2007,Apr,17
2007,May,18
2007,Jun,22
2007,Jul,19
2007,Aug,25
2007,Sep,19
2007,Oct,17
2007,Nov,21
2007,Dec,18
2008,Jan,16
2008,Feb,18
2008,Mar,18
2008,Apr,15
2008,May,9
2008,Jun,18
2008,Jul,20
2008,Aug,13
2008,Sep,18
2008,Oct,17
2008,Nov,19
2008,Dec,14
2009,Jan,16
2009,Feb,13
2009,Mar,18
2009,Apr,16
2009,May,12
2009,Jun,15
2009,Jul,25
2009,Aug,19
2009,Sep,16
2009,Oct,13
2009,Nov,11
2009,Dec,16
2010,Jan,13
2010,Feb,15
2010,Mar,15
2010,Apr,14
2010,May,13
2010,Jun,15
2010,Jul,12
2010,Aug,14
2010,Sep,15
2010,Oct,11
2010,Nov,13
2010,Dec,13
2011,Jan,15
2011,Feb,19
2011,Mar,19
2011,Apr,17
2011,May,13
2011,Jun,15
2011,Jul,10
2011,Aug,14
2011,Sep,15
2011,Oct,11
2011,Nov,16
2011,Dec,14
2012,Jan,15
2012,Feb,16
2012,Mar,15
2012,Apr,16
2012,May,15
2012,Jun,12
2012,Jul,12
2012,Aug,15
2012,Sep,14
2012,Oct,10
2012,Nov,15
2012,Dec,12
2013,Jan,14
2013,Feb,15
2013,Mar,15
2013,Apr,13
2013,May,16
2013,Jun,14
2013,Jul,12
2013,Aug,12
2013,Sep,11
2013,Oct,10
2013,Nov,10
2013,Dec,14
2014,Jan,9
2014,Feb,17
2014,Mar,14
2014,Apr,10
2014,May,11
2014,Jun,9
2014,Jul,12
2014,Aug,10
2014,Sep,10
2014,Oct,10
2014,Nov,9
2014,Dec,9
2015,Jan,9
2015,Feb,11
2015,Mar,10
2015,Apr,10
2015,May,11
2015,Jun,13
2015,Jul,12
2015,Aug,13
2015,Sep,10
2015,Oct,9
2015,Nov,9
2015,Dec,7
2016,Jan,5
2016,Feb,5
2016,Mar,7
2016,Apr,4
2016,May,18
2016,Jun,12
2016,Jul,9
2016,Aug,8
2016,Sep,7
2016,Oct,6
2016,Nov,7
2016,Dec,6
2017,Jan,6
2017,Feb,23
2017,Mar,29
2017,Apr,100
2017,May,64
2017,Jun,60
2017,Jul,59
2017,Aug,70
2017,Sep,61
2017,Oct,70
2017,Nov,77
2017,Dec,56
2018,Jan,70
2018,Feb,79
2018,Mar,73
2018,Apr,69
2018,May,71
2018,Jun,75
2018,Jul,70
2018,Aug,67
2018,Sep,61
2018,Oct,64
2018,Nov,60
2018,Dec,50
2019,Jan,68
2019,Feb,66
2019,Mar,60
2019,Apr,59
2019,May,66
2019,Jun,71
2019,Jul,58
2019,Aug,72
2019,Sep,62
2019,Oct,63
2019,Nov,66
2019,Dec,47
2020,Jan,57
2020,Feb,59
2020,Mar,59
2020,Apr,49
2020,May,49
2020,Jun,56
2020,Jul,54
2020,Aug,51
2020,Sep,47
2020,Oct,42
2020,Nov,31
2020,Dec,36
2021,Jan,47
2021,Feb,41
2021,Mar,37
2021,Apr,37
2021,May,35
2021,Jun,34
2021,Jul,31
2021,Aug,28
2021,Sep,31
2021,Oct,27
2021,Nov,29
2021,Dec,27
2022,Jan,29
2022,Feb,35
2022,Mar,33
