CNAME:,FREEPORT-MCMORAN INC
Google Trends Search Term:,freeport-mcmoran
Google Trends Suggestion:,mining company
Google Trends URL:,/m/02swjm
Year,Month,SVI Data
2004,Jan,52
2004,Feb,32
2004,Mar,34
2004,Apr,21
2004,May,24
2004,Jun,24
2004,Jul,15
2004,Aug,23
2004,Sep,24
2004,Oct,18
2004,Nov,16
2004,Dec,8
2005,Jan,28
2005,Feb,22
2005,Mar,21
2005,Apr,20
2005,May,15
2005,Jun,15
2005,Jul,20
2005,Aug,17
2005,Sep,24
2005,Oct,23
2005,Nov,12
2005,Dec,21
2006,Jan,20
2006,Feb,20
2006,Mar,33
2006,Apr,25
2006,May,20
2006,Jun,20
2006,Jul,24
2006,Aug,19
2006,Sep,18
2006,Oct,23
2006,Nov,52
2006,Dec,25
2007,Jan,25
2007,Feb,20
2007,Mar,54
2007,Apr,39
2007,May,27
2007,Jun,40
2007,Jul,41
2007,Aug,40
2007,Sep,30
2007,Oct,48
2007,Nov,34
2007,Dec,46
2008,Jan,55
2008,Feb,58
2008,Mar,66
2008,Apr,69
2008,May,71
2008,Jun,65
2008,Jul,69
2008,Aug,70
2008,Sep,73
2008,Oct,100
2008,Nov,77
2008,Dec,70
2009,Jan,69
2009,Feb,49
2009,Mar,43
2009,Apr,53
2009,May,40
2009,Jun,51
2009,Jul,54
2009,Aug,50
2009,Sep,46
2009,Oct,60
2009,Nov,46
2009,Dec,43
2010,Jan,87
2010,Feb,54
2010,Mar,64
2010,Apr,63
2010,May,67
2010,Jun,60
2010,Jul,53
2010,Aug,50
2010,Sep,57
2010,Oct,67
2010,Nov,58
2010,Dec,57
2011,Jan,73
2011,Feb,85
2011,Mar,64
2011,Apr,67
2011,May,60
2011,Jun,70
2011,Jul,66
2011,Aug,65
2011,Sep,65
2011,Oct,63
2011,Nov,51
2011,Dec,47
2012,Jan,64
2012,Feb,59
2012,Mar,59
2012,Apr,63
2012,May,54
2012,Jun,53
2012,Jul,55
2012,Aug,45
2012,Sep,47
2012,Oct,46
2012,Nov,46
2012,Dec,67
2013,Jan,51
2013,Feb,49
2013,Mar,43
2013,Apr,50
2013,May,53
2013,Jun,56
2013,Jul,51
2013,Aug,43
2013,Sep,44
2013,Oct,49
2013,Nov,39
2013,Dec,35
2014,Jan,43
2014,Feb,43
2014,Mar,40
2014,Apr,42
2014,May,46
2014,Jun,45
2014,Jul,48
2014,Aug,43
2014,Sep,45
2014,Oct,49
2014,Nov,44
2014,Dec,42
2015,Jan,55
2015,Feb,46
2015,Mar,46
2015,Apr,43
2015,May,37
2015,Jun,39
2015,Jul,56
2015,Aug,80
2015,Sep,58
2015,Oct,55
2015,Nov,48
2015,Dec,66
2016,Jan,87
2016,Feb,78
2016,Mar,70
2016,Apr,63
2016,May,53
2016,Jun,43
2016,Jul,40
2016,Aug,39
2016,Sep,43
2016,Oct,33
2016,Nov,38
2016,Dec,33
2017,Jan,45
2017,Feb,43
2017,Mar,38
2017,Apr,33
2017,May,35
2017,Jun,36
2017,Jul,30
2017,Aug,34
2017,Sep,28
2017,Oct,31
2017,Nov,30
2017,Dec,36
2018,Jan,46
2018,Feb,40
2018,Mar,34
2018,Apr,34
2018,May,35
2018,Jun,35
2018,Jul,39
2018,Aug,31
2018,Sep,31
2018,Oct,35
2018,Nov,27
2018,Dec,24
2019,Jan,35
2019,Feb,33
2019,Mar,33
2019,Apr,38
2019,May,31
2019,Jun,32
2019,Jul,31
2019,Aug,35
2019,Sep,35
2019,Oct,37
2019,Nov,29
2019,Dec,25
2020,Jan,33
2020,Feb,36
2020,Mar,40
2020,Apr,35
2020,May,27
2020,Jun,29
2020,Jul,33
2020,Aug,28
2020,Sep,33
2020,Oct,32
2020,Nov,27
2020,Dec,34
2021,Jan,40
2021,Feb,41
2021,Mar,34
2021,Apr,37
2021,May,45
2021,Jun,38
2021,Jul,37
2021,Aug,34
2021,Sep,34
2021,Oct,33
2021,Nov,38
2021,Dec,35
2022,Jan,43
2022,Feb,36
2022,Mar,40
