CNAME:,ACTAVIS INC
Google Trends Search Term:,actavis
Google Trends Suggestion:,pharmaceutical company
Google Trends URL:,/m/0fb1r7
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,1
2004,Oct,0
2004,Nov,2
2004,Dec,0
2005,Jan,1
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,2
2005,Jun,2
2005,Jul,1
2005,Aug,3
2005,Sep,2
2005,Oct,15
2005,Nov,5
2005,Dec,5
2006,Jan,2
2006,Feb,7
2006,Mar,8
2006,Apr,8
2006,May,5
2006,Jun,13
2006,Jul,9
2006,Aug,7
2006,Sep,11
2006,Oct,9
2006,Nov,4
2006,Dec,4
2007,Jan,7
2007,Feb,11
2007,Mar,9
2007,Apr,6
2007,May,12
2007,Jun,11
2007,Jul,12
2007,Aug,11
2007,Sep,15
2007,Oct,11
2007,Nov,9
2007,Dec,9
2008,Jan,12
2008,Feb,15
2008,Mar,13
2008,Apr,12
2008,May,16
2008,Jun,19
2008,Jul,14
2008,Aug,19
2008,Sep,12
2008,Oct,14
2008,Nov,10
2008,Dec,9
2009,Jan,17
2009,Feb,12
2009,Mar,11
2009,Apr,12
2009,May,11
2009,Jun,15
2009,Jul,10
2009,Aug,11
2009,Sep,11
2009,Oct,7
2009,Nov,10
2009,Dec,8
2010,Jan,10
2010,Feb,11
2010,Mar,13
2010,Apr,10
2010,May,9
2010,Jun,8
2010,Jul,11
2010,Aug,9
2010,Sep,9
2010,Oct,10
2010,Nov,7
2010,Dec,10
2011,Jan,9
2011,Feb,12
2011,Mar,11
2011,Apr,10
2011,May,8
2011,Jun,9
2011,Jul,12
2011,Aug,12
2011,Sep,9
2011,Oct,11
2011,Nov,11
2011,Dec,9
2012,Jan,14
2012,Feb,11
2012,Mar,21
2012,Apr,25
2012,May,17
2012,Jun,18
2012,Jul,15
2012,Aug,14
2012,Sep,17
2012,Oct,18
2012,Nov,18
2012,Dec,19
2013,Jan,18
2013,Feb,30
2013,Mar,34
2013,Apr,40
2013,May,52
2013,Jun,42
2013,Jul,33
2013,Aug,37
2013,Sep,40
2013,Oct,55
2013,Nov,48
2013,Dec,43
2014,Jan,52
2014,Feb,78
2014,Mar,60
2014,Apr,84
2014,May,57
2014,Jun,53
2014,Jul,54
2014,Aug,54
2014,Sep,68
2014,Oct,60
2014,Nov,100
2014,Dec,66
2015,Jan,69
2015,Feb,75
2015,Mar,80
2015,Apr,82
2015,May,75
2015,Jun,78
2015,Jul,71
2015,Aug,64
2015,Sep,56
2015,Oct,63
2015,Nov,54
2015,Dec,56
2016,Jan,55
2016,Feb,48
2016,Mar,51
2016,Apr,47
2016,May,51
2016,Jun,41
2016,Jul,38
2016,Aug,38
2016,Sep,37
2016,Oct,34
2016,Nov,34
2016,Dec,33
2017,Jan,34
2017,Feb,30
2017,Mar,31
2017,Apr,30
2017,May,30
2017,Jun,28
2017,Jul,27
2017,Aug,25
2017,Sep,25
2017,Oct,25
2017,Nov,31
2017,Dec,25
2018,Jan,26
2018,Feb,24
2018,Mar,21
2018,Apr,22
2018,May,21
2018,Jun,18
2018,Jul,25
2018,Aug,20
2018,Sep,17
2018,Oct,17
2018,Nov,19
2018,Dec,15
2019,Jan,19
2019,Feb,17
2019,Mar,15
2019,Apr,15
2019,May,14
2019,Jun,13
2019,Jul,12
2019,Aug,12
2019,Sep,13
2019,Oct,13
2019,Nov,12
2019,Dec,12
2020,Jan,12
2020,Feb,13
2020,Mar,12
2020,Apr,12
2020,May,10
2020,Jun,12
2020,Jul,11
2020,Aug,10
2020,Sep,8
2020,Oct,10
2020,Nov,10
2020,Dec,9
2021,Jan,9
2021,Feb,10
2021,Mar,8
2021,Apr,9
2021,May,11
2021,Jun,9
2021,Jul,7
2021,Aug,8
2021,Sep,10
2021,Oct,8
2021,Nov,8
2021,Dec,9
2022,Jan,9
2022,Feb,8
2022,Mar,9
