CNAME:,BOX INC
Google Trends Search Term:,box
Google Trends Suggestion:,software company
Google Trends URL:,/m/026lcm7
Year,Month,SVI Data
2004,Jan,20
2004,Feb,12
2004,Mar,19
2004,Apr,19
2004,May,15
2004,Jun,15
2004,Jul,16
2004,Aug,15
2004,Sep,12
2004,Oct,15
2004,Nov,15
2004,Dec,16
2005,Jan,12
2005,Feb,14
2005,Mar,14
2005,Apr,15
2005,May,16
2005,Jun,14
2005,Jul,12
2005,Aug,16
2005,Sep,18
2005,Oct,17
2005,Nov,18
2005,Dec,17
2006,Jan,16
2006,Feb,17
2006,Mar,20
2006,Apr,20
2006,May,23
2006,Jun,20
2006,Jul,21
2006,Aug,27
2006,Sep,25
2006,Oct,25
2006,Nov,23
2006,Dec,20
2007,Jan,22
2007,Feb,23
2007,Mar,22
2007,Apr,21
2007,May,24
2007,Jun,22
2007,Jul,25
2007,Aug,25
2007,Sep,23
2007,Oct,25
2007,Nov,27
2007,Dec,26
2008,Jan,27
2008,Feb,25
2008,Mar,25
2008,Apr,24
2008,May,27
2008,Jun,27
2008,Jul,25
2008,Aug,23
2008,Sep,23
2008,Oct,25
2008,Nov,26
2008,Dec,25
2009,Jan,25
2009,Feb,25
2009,Mar,23
2009,Apr,24
2009,May,24
2009,Jun,23
2009,Jul,27
2009,Aug,22
2009,Sep,26
2009,Oct,26
2009,Nov,24
2009,Dec,24
2010,Jan,24
2010,Feb,25
2010,Mar,24
2010,Apr,31
2010,May,26
2010,Jun,24
2010,Jul,23
2010,Aug,23
2010,Sep,24
2010,Oct,27
2010,Nov,27
2010,Dec,27
2011,Jan,24
2011,Feb,29
2011,Mar,28
2011,Apr,29
2011,May,29
2011,Jun,25
2011,Jul,30
2011,Aug,35
2011,Sep,39
2011,Oct,49
2011,Nov,41
2011,Dec,42
2012,Jan,40
2012,Feb,48
2012,Mar,49
2012,Apr,47
2012,May,43
2012,Jun,39
2012,Jul,37
2012,Aug,39
2012,Sep,43
2012,Oct,45
2012,Nov,41
2012,Dec,40
2013,Jan,48
2013,Feb,60
2013,Mar,49
2013,Apr,50
2013,May,48
2013,Jun,43
2013,Jul,45
2013,Aug,46
2013,Sep,54
2013,Oct,52
2013,Nov,50
2013,Dec,49
2014,Jan,67
2014,Feb,67
2014,Mar,67
2014,Apr,64
2014,May,63
2014,Jun,60
2014,Jul,62
2014,Aug,63
2014,Sep,71
2014,Oct,68
2014,Nov,63
2014,Dec,59
2015,Jan,86
2015,Feb,72
2015,Mar,73
2015,Apr,72
2015,May,66
2015,Jun,71
2015,Jul,71
2015,Aug,72
2015,Sep,83
2015,Oct,80
2015,Nov,75
2015,Dec,66
2016,Jan,60
2016,Feb,75
2016,Mar,73
2016,Apr,69
2016,May,63
2016,Jun,66
2016,Jul,59
2016,Aug,65
2016,Sep,71
2016,Oct,74
2016,Nov,69
2016,Dec,57
2017,Jan,65
2017,Feb,77
2017,Mar,75
2017,Apr,71
2017,May,66
2017,Jun,62
2017,Jul,58
2017,Aug,67
2017,Sep,70
2017,Oct,79
2017,Nov,68
2017,Dec,54
2018,Jan,67
2018,Feb,78
2018,Mar,77
2018,Apr,87
2018,May,71
2018,Jun,64
2018,Jul,63
2018,Aug,76
2018,Sep,83
2018,Oct,96
2018,Nov,74
2018,Dec,59
2019,Jan,75
2019,Feb,93
2019,Mar,77
2019,Apr,87
2019,May,73
2019,Jun,70
2019,Jul,71
2019,Aug,73
2019,Sep,100
2019,Oct,96
2019,Nov,80
2019,Dec,58
2020,Jan,76
2020,Feb,93
2020,Mar,91
2020,Apr,91
2020,May,70
2020,Jun,65
2020,Jul,66
2020,Aug,65
2020,Sep,80
2020,Oct,61
2020,Nov,48
2020,Dec,45
2021,Jan,46
2021,Feb,55
2021,Mar,53
2021,Apr,52
2021,May,49
2021,Jun,50
2021,Jul,48
2021,Aug,51
2021,Sep,60
2021,Oct,57
2021,Nov,55
2021,Dec,47
2022,Jan,51
2022,Feb,62
2022,Mar,58
