CNAME:,TRIBUNE MEDIA CO
Google Trends Search Term:,tribune media
Google Trends Suggestion:,broadcasting company
Google Trends URL:,/m/0206k5
Year,Month,SVI Data
2004,Jan,66
2004,Feb,66
2004,Mar,63
2004,Apr,59
2004,May,61
2004,Jun,68
2004,Jul,68
2004,Aug,73
2004,Sep,66
2004,Oct,75
2004,Nov,62
2004,Dec,54
2005,Jan,58
2005,Feb,59
2005,Mar,62
2005,Apr,66
2005,May,66
2005,Jun,62
2005,Jul,62
2005,Aug,60
2005,Sep,67
2005,Oct,76
2005,Nov,57
2005,Dec,59
2006,Jan,57
2006,Feb,55
2006,Mar,62
2006,Apr,55
2006,May,56
2006,Jun,57
2006,Jul,64
2006,Aug,59
2006,Sep,63
2006,Oct,64
2006,Nov,64
2006,Dec,59
2007,Jan,64
2007,Feb,71
2007,Mar,59
2007,Apr,71
2007,May,58
2007,Jun,64
2007,Jul,59
2007,Aug,65
2007,Sep,65
2007,Oct,64
2007,Nov,55
2007,Dec,56
2008,Jan,57
2008,Feb,65
2008,Mar,57
2008,Apr,59
2008,May,56
2008,Jun,60
2008,Jul,55
2008,Aug,58
2008,Sep,63
2008,Oct,77
2008,Nov,75
2008,Dec,100
2009,Jan,65
2009,Feb,58
2009,Mar,55
2009,Apr,57
2009,May,54
2009,Jun,52
2009,Jul,52
2009,Aug,52
2009,Sep,56
2009,Oct,56
2009,Nov,53
2009,Dec,52
2010,Jan,51
2010,Feb,54
2010,Mar,50
2010,Apr,50
2010,May,53
2010,Jun,59
2010,Jul,51
2010,Aug,51
2010,Sep,50
2010,Oct,52
2010,Nov,55
2010,Dec,51
2011,Jan,81
2011,Feb,85
2011,Mar,59
2011,Apr,63
2011,May,64
2011,Jun,70
2011,Jul,68
2011,Aug,70
2011,Sep,68
2011,Oct,67
2011,Nov,67
2011,Dec,70
2012,Jan,74
2012,Feb,64
2012,Mar,67
2012,Apr,64
2012,May,65
2012,Jun,58
2012,Jul,64
2012,Aug,60
2012,Sep,67
2012,Oct,60
2012,Nov,66
2012,Dec,63
2013,Jan,67
2013,Feb,63
2013,Mar,66
2013,Apr,70
2013,May,63
2013,Jun,66
2013,Jul,63
2013,Aug,59
2013,Sep,61
2013,Oct,54
2013,Nov,56
2013,Dec,54
2014,Jan,58
2014,Feb,54
2014,Mar,56
2014,Apr,52
2014,May,54
2014,Jun,50
2014,Jul,55
2014,Aug,46
2014,Sep,42
2014,Oct,40
2014,Nov,46
2014,Dec,36
2015,Jan,33
2015,Feb,35
2015,Mar,31
2015,Apr,32
2015,May,29
2015,Jun,29
2015,Jul,25
2015,Aug,25
2015,Sep,25
2015,Oct,25
2015,Nov,25
2015,Dec,22
2016,Jan,20
2016,Feb,18
2016,Mar,20
2016,Apr,18
2016,May,19
2016,Jun,19
2016,Jul,19
2016,Aug,19
2016,Sep,19
2016,Oct,26
2016,Nov,34
2016,Dec,17
2017,Jan,17
2017,Feb,16
2017,Mar,15
2017,Apr,16
2017,May,16
2017,Jun,16
2017,Jul,17
2017,Aug,16
2017,Sep,16
2017,Oct,17
2017,Nov,15
2017,Dec,15
2018,Jan,15
2018,Feb,16
2018,Mar,17
2018,Apr,15
2018,May,14
2018,Jun,14
2018,Jul,14
2018,Aug,15
2018,Sep,16
2018,Oct,17
2018,Nov,16
2018,Dec,14
2019,Jan,17
2019,Feb,15
2019,Mar,13
2019,Apr,14
2019,May,13
2019,Jun,12
2019,Jul,12
2019,Aug,12
2019,Sep,13
2019,Oct,12
2019,Nov,11
2019,Dec,11
2020,Jan,11
2020,Feb,11
2020,Mar,20
2020,Apr,13
2020,May,13
2020,Jun,12
2020,Jul,12
2020,Aug,12
2020,Sep,10
2020,Oct,11
2020,Nov,11
2020,Dec,9
2021,Jan,10
2021,Feb,9
2021,Mar,8
2021,Apr,9
2021,May,8
2021,Jun,8
2021,Jul,8
2021,Aug,8
2021,Sep,7
2021,Oct,8
2021,Nov,7
2021,Dec,7
2022,Jan,8
2022,Feb,7
2022,Mar,7
