CNAME:,L3 TECHNOLOGIES INC
Google Trends Search Term:,l3 technologies
Google Trends Suggestion:,aerospace and defense company
Google Trends URL:,/m/01pf0f
Year,Month,SVI Data
2004,Jan,68
2004,Feb,60
2004,Mar,64
2004,Apr,55
2004,May,60
2004,Jun,84
2004,Jul,71
2004,Aug,81
2004,Sep,72
2004,Oct,60
2004,Nov,84
2004,Dec,54
2005,Jan,68
2005,Feb,59
2005,Mar,79
2005,Apr,66
2005,May,66
2005,Jun,100
2005,Jul,84
2005,Aug,79
2005,Sep,67
2005,Oct,71
2005,Nov,70
2005,Dec,67
2006,Jan,78
2006,Feb,69
2006,Mar,80
2006,Apr,69
2006,May,82
2006,Jun,99
2006,Jul,76
2006,Aug,95
2006,Sep,87
2006,Oct,82
2006,Nov,58
2006,Dec,61
2007,Jan,66
2007,Feb,70
2007,Mar,79
2007,Apr,70
2007,May,74
2007,Jun,80
2007,Jul,76
2007,Aug,78
2007,Sep,77
2007,Oct,77
2007,Nov,67
2007,Dec,61
2008,Jan,74
2008,Feb,65
2008,Mar,78
2008,Apr,77
2008,May,68
2008,Jun,74
2008,Jul,77
2008,Aug,69
2008,Sep,66
2008,Oct,67
2008,Nov,67
2008,Dec,61
2009,Jan,81
2009,Feb,78
2009,Mar,77
2009,Apr,74
2009,May,69
2009,Jun,79
2009,Jul,77
2009,Aug,70
2009,Sep,72
2009,Oct,69
2009,Nov,60
2009,Dec,60
2010,Jan,78
2010,Feb,69
2010,Mar,62
2010,Apr,60
2010,May,62
2010,Jun,68
2010,Jul,55
2010,Aug,57
2010,Sep,55
2010,Oct,48
2010,Nov,49
2010,Dec,43
2011,Jan,55
2011,Feb,56
2011,Mar,53
2011,Apr,53
2011,May,49
2011,Jun,57
2011,Jul,59
2011,Aug,55
2011,Sep,50
2011,Oct,48
2011,Nov,48
2011,Dec,39
2012,Jan,45
2012,Feb,45
2012,Mar,44
2012,Apr,45
2012,May,45
2012,Jun,45
2012,Jul,45
2012,Aug,39
2012,Sep,36
2012,Oct,43
2012,Nov,34
2012,Dec,29
2013,Jan,39
2013,Feb,35
2013,Mar,35
2013,Apr,37
2013,May,34
2013,Jun,34
2013,Jul,37
2013,Aug,37
2013,Sep,34
2013,Oct,35
2013,Nov,30
2013,Dec,26
2014,Jan,35
2014,Feb,34
2014,Mar,33
2014,Apr,31
2014,May,30
2014,Jun,35
2014,Jul,35
2014,Aug,37
2014,Sep,31
2014,Oct,33
2014,Nov,31
2014,Dec,25
2015,Jan,30
2015,Feb,32
2015,Mar,30
2015,Apr,32
2015,May,29
2015,Jun,29
2015,Jul,28
2015,Aug,32
2015,Sep,26
2015,Oct,31
2015,Nov,24
2015,Dec,24
2016,Jan,22
2016,Feb,24
2016,Mar,23
2016,Apr,22
2016,May,22
2016,Jun,23
2016,Jul,22
2016,Aug,21
2016,Sep,21
2016,Oct,23
2016,Nov,19
2016,Dec,18
2017,Jan,19
2017,Feb,26
2017,Mar,23
2017,Apr,22
2017,May,22
2017,Jun,21
2017,Jul,20
2017,Aug,22
2017,Sep,18
2017,Oct,21
2017,Nov,18
2017,Dec,18
2018,Jan,21
2018,Feb,22
2018,Mar,19
2018,Apr,22
2018,May,23
2018,Jun,23
2018,Jul,20
2018,Aug,20
2018,Sep,21
2018,Oct,36
2018,Nov,20
2018,Dec,17
2019,Jan,23
2019,Feb,22
2019,Mar,20
2019,Apr,22
2019,May,21
2019,Jun,24
2019,Jul,21
2019,Aug,14
2019,Sep,14
2019,Oct,14
2019,Nov,11
2019,Dec,11
2020,Jan,12
2020,Feb,11
2020,Mar,10
2020,Apr,9
2020,May,9
2020,Jun,8
2020,Jul,10
2020,Aug,9
2020,Sep,8
2020,Oct,7
2020,Nov,7
2020,Dec,7
2021,Jan,7
2021,Feb,7
2021,Mar,8
2021,Apr,7
2021,May,7
2021,Jun,6
2021,Jul,7
2021,Aug,6
2021,Sep,7
2021,Oct,7
2021,Nov,6
2021,Dec,6
2022,Jan,6
2022,Feb,7
2022,Mar,7
