CNAME:,INTERNATIONAL PAPER CO
Google Trends Search Term:,international paper
Google Trends Suggestion:,company
Google Trends URL:,/m/01qxj3
Year,Month,SVI Data
2004,Jan,78
2004,Feb,58
2004,Mar,52
2004,Apr,86
2004,May,63
2004,Jun,81
2004,Jul,76
2004,Aug,68
2004,Sep,70
2004,Oct,57
2004,Nov,57
2004,Dec,44
2005,Jan,54
2005,Feb,64
2005,Mar,62
2005,Apr,47
2005,May,55
2005,Jun,56
2005,Jul,100
2005,Aug,72
2005,Sep,55
2005,Oct,52
2005,Nov,58
2005,Dec,49
2006,Jan,55
2006,Feb,51
2006,Mar,56
2006,Apr,62
2006,May,50
2006,Jun,67
2006,Jul,47
2006,Aug,48
2006,Sep,51
2006,Oct,49
2006,Nov,48
2006,Dec,37
2007,Jan,50
2007,Feb,45
2007,Mar,43
2007,Apr,42
2007,May,41
2007,Jun,38
2007,Jul,42
2007,Aug,48
2007,Sep,41
2007,Oct,47
2007,Nov,43
2007,Dec,34
2008,Jan,46
2008,Feb,38
2008,Mar,61
2008,Apr,44
2008,May,53
2008,Jun,37
2008,Jul,46
2008,Aug,44
2008,Sep,44
2008,Oct,49
2008,Nov,41
2008,Dec,44
2009,Jan,49
2009,Feb,43
2009,Mar,46
2009,Apr,44
2009,May,41
2009,Jun,43
2009,Jul,43
2009,Aug,48
2009,Sep,43
2009,Oct,49
2009,Nov,38
2009,Dec,29
2010,Jan,41
2010,Feb,39
2010,Mar,43
2010,Apr,41
2010,May,35
2010,Jun,38
2010,Jul,38
2010,Aug,39
2010,Sep,37
2010,Oct,41
2010,Nov,41
2010,Dec,34
2011,Jan,44
2011,Feb,41
2011,Mar,40
2011,Apr,41
2011,May,40
2011,Jun,50
2011,Jul,42
2011,Aug,48
2011,Sep,48
2011,Oct,41
2011,Nov,43
2011,Dec,37
2012,Jan,47
2012,Feb,41
2012,Mar,37
2012,Apr,35
2012,May,38
2012,Jun,37
2012,Jul,38
2012,Aug,37
2012,Sep,39
2012,Oct,36
2012,Nov,34
2012,Dec,32
2013,Jan,40
2013,Feb,37
2013,Mar,34
2013,Apr,38
2013,May,35
2013,Jun,34
2013,Jul,36
2013,Aug,34
2013,Sep,40
2013,Oct,35
2013,Nov,33
2013,Dec,28
2014,Jan,35
2014,Feb,34
2014,Mar,32
2014,Apr,34
2014,May,30
2014,Jun,35
2014,Jul,37
2014,Aug,32
2014,Sep,36
2014,Oct,33
2014,Nov,32
2014,Dec,29
2015,Jan,34
2015,Feb,35
2015,Mar,34
2015,Apr,38
2015,May,35
2015,Jun,35
2015,Jul,37
2015,Aug,34
2015,Sep,38
2015,Oct,35
2015,Nov,32
2015,Dec,25
2016,Jan,33
2016,Feb,34
2016,Mar,33
2016,Apr,34
2016,May,34
2016,Jun,36
2016,Jul,36
2016,Aug,38
2016,Sep,35
2016,Oct,33
2016,Nov,29
2016,Dec,30
2017,Jan,48
2017,Feb,37
2017,Mar,34
2017,Apr,33
2017,May,33
2017,Jun,37
2017,Jul,36
2017,Aug,36
2017,Sep,34
2017,Oct,41
2017,Nov,30
2017,Dec,30
2018,Jan,39
2018,Feb,37
2018,Mar,39
2018,Apr,36
2018,May,34
2018,Jun,37
2018,Jul,36
2018,Aug,41
2018,Sep,35
2018,Oct,35
2018,Nov,34
2018,Dec,29
2019,Jan,38
2019,Feb,36
2019,Mar,35
2019,Apr,34
2019,May,35
2019,Jun,34
2019,Jul,32
2019,Aug,34
2019,Sep,38
2019,Oct,36
2019,Nov,31
2019,Dec,31
2020,Jan,39
2020,Feb,36
2020,Mar,38
2020,Apr,27
2020,May,27
2020,Jun,29
2020,Jul,30
2020,Aug,29
2020,Sep,29
2020,Oct,30
2020,Nov,26
2020,Dec,32
2021,Jan,28
2021,Feb,33
2021,Mar,30
2021,Apr,28
2021,May,30
2021,Jun,31
2021,Jul,31
2021,Aug,29
2021,Sep,32
2021,Oct,32
2021,Nov,29
2021,Dec,27
2022,Jan,30
2022,Feb,32
2022,Mar,33
