CNAME:,H & R BLOCK INC
Google Trends Search Term:,h&r block
Google Trends Suggestion:,company
Google Trends URL:,/m/02rdct
Year,Month,SVI Data
2004,Jan,23
2004,Feb,35
2004,Mar,22
2004,Apr,19
2004,May,4
2004,Jun,4
2004,Jul,4
2004,Aug,6
2004,Sep,5
2004,Oct,4
2004,Nov,5
2004,Dec,7
2005,Jan,29
2005,Feb,42
2005,Mar,25
2005,Apr,25
2005,May,5
2005,Jun,5
2005,Jul,5
2005,Aug,7
2005,Sep,5
2005,Oct,5
2005,Nov,6
2005,Dec,7
2006,Jan,33
2006,Feb,50
2006,Mar,27
2006,Apr,26
2006,May,5
2006,Jun,5
2006,Jul,5
2006,Aug,7
2006,Sep,6
2006,Oct,5
2006,Nov,6
2006,Dec,9
2007,Jan,45
2007,Feb,58
2007,Mar,28
2007,Apr,28
2007,May,5
2007,Jun,5
2007,Jul,5
2007,Aug,6
2007,Sep,6
2007,Oct,6
2007,Nov,8
2007,Dec,12
2008,Jan,48
2008,Feb,60
2008,Mar,34
2008,Apr,34
2008,May,11
2008,Jun,6
2008,Jul,6
2008,Aug,6
2008,Sep,6
2008,Oct,7
2008,Nov,9
2008,Dec,12
2009,Jan,55
2009,Feb,71
2009,Mar,33
2009,Apr,29
2009,May,6
2009,Jun,5
2009,Jul,5
2009,Aug,6
2009,Sep,5
2009,Oct,5
2009,Nov,7
2009,Dec,11
2010,Jan,49
2010,Feb,55
2010,Mar,29
2010,Apr,27
2010,May,5
2010,Jun,5
2010,Jul,5
2010,Aug,5
2010,Sep,5
2010,Oct,6
2010,Nov,8
2010,Dec,16
2011,Jan,69
2011,Feb,83
2011,Mar,37
2011,Apr,36
2011,May,6
2011,Jun,5
2011,Jul,5
2011,Aug,6
2011,Sep,5
2011,Oct,6
2011,Nov,11
2011,Dec,16
2012,Jan,79
2012,Feb,87
2012,Mar,34
2012,Apr,36
2012,May,5
2012,Jun,5
2012,Jul,5
2012,Aug,5
2012,Sep,5
2012,Oct,6
2012,Nov,12
2012,Dec,13
2013,Jan,66
2013,Feb,100
2013,Mar,47
2013,Apr,37
2013,May,7
2013,Jun,5
2013,Jul,5
2013,Aug,5
2013,Sep,5
2013,Oct,6
2013,Nov,11
2013,Dec,16
2014,Jan,55
2014,Feb,95
2014,Mar,39
2014,Apr,34
2014,May,6
2014,Jun,5
2014,Jul,5
2014,Aug,5
2014,Sep,6
2014,Oct,7
2014,Nov,13
2014,Dec,14
2015,Jan,61
2015,Feb,86
2015,Mar,43
2015,Apr,37
2015,May,6
2015,Jun,5
2015,Jul,5
2015,Aug,5
2015,Sep,6
2015,Oct,8
2015,Nov,13
2015,Dec,12
2016,Jan,49
2016,Feb,79
2016,Mar,36
2016,Apr,34
2016,May,6
2016,Jun,5
2016,Jul,4
2016,Aug,4
2016,Sep,5
2016,Oct,7
2016,Nov,12
2016,Dec,11
2017,Jan,48
2017,Feb,79
2017,Mar,39
2017,Apr,36
2017,May,7
2017,Jun,5
2017,Jul,4
2017,Aug,5
2017,Sep,5
2017,Oct,8
2017,Nov,13
2017,Dec,12
2018,Jan,49
2018,Feb,82
2018,Mar,41
2018,Apr,36
2018,May,7
2018,Jun,5
2018,Jul,5
2018,Aug,5
2018,Sep,5
2018,Oct,7
2018,Nov,13
2018,Dec,12
2019,Jan,49
2019,Feb,87
2019,Mar,43
2019,Apr,37
2019,May,7
2019,Jun,5
2019,Jul,5
2019,Aug,5
2019,Sep,5
2019,Oct,7
2019,Nov,13
2019,Dec,12
2020,Jan,49
2020,Feb,78
2020,Mar,40
2020,Apr,57
2020,May,15
2020,Jun,13
2020,Jul,21
2020,Aug,6
2020,Sep,5
2020,Oct,7
2020,Nov,11
2020,Dec,13
2021,Jan,49
2021,Feb,83
2021,Mar,74
2021,Apr,37
2021,May,34
2021,Jun,13
2021,Jul,12
2021,Aug,10
2021,Sep,8
2021,Oct,8
2021,Nov,12
2021,Dec,11
2022,Jan,38
2022,Feb,80
2022,Mar,50
