CNAME:,WERNER ENTERPRISES INC
Google Trends Search Term:,werner enterprises
Google Trends Suggestion:,company
Google Trends URL:,/m/0c2sw8
Year,Month,SVI Data
2004,Jan,58
2004,Feb,36
2004,Mar,57
2004,Apr,55
2004,May,54
2004,Jun,29
2004,Jul,53
2004,Aug,44
2004,Sep,52
2004,Oct,43
2004,Nov,89
2004,Dec,52
2005,Jan,67
2005,Feb,67
2005,Mar,62
2005,Apr,36
2005,May,59
2005,Jun,55
2005,Jul,75
2005,Aug,65
2005,Sep,89
2005,Oct,71
2005,Nov,35
2005,Dec,51
2006,Jan,56
2006,Feb,65
2006,Mar,81
2006,Apr,66
2006,May,61
2006,Jun,66
2006,Jul,86
2006,Aug,63
2006,Sep,65
2006,Oct,72
2006,Nov,55
2006,Dec,58
2007,Jan,52
2007,Feb,45
2007,Mar,65
2007,Apr,67
2007,May,68
2007,Jun,73
2007,Jul,71
2007,Aug,82
2007,Sep,64
2007,Oct,78
2007,Nov,72
2007,Dec,67
2008,Jan,68
2008,Feb,78
2008,Mar,77
2008,Apr,88
2008,May,63
2008,Jun,74
2008,Jul,88
2008,Aug,64
2008,Sep,79
2008,Oct,79
2008,Nov,65
2008,Dec,79
2009,Jan,100
2009,Feb,88
2009,Mar,67
2009,Apr,81
2009,May,56
2009,Jun,84
2009,Jul,99
2009,Aug,80
2009,Sep,81
2009,Oct,83
2009,Nov,78
2009,Dec,62
2010,Jan,77
2010,Feb,74
2010,Mar,80
2010,Apr,61
2010,May,67
2010,Jun,66
2010,Jul,59
2010,Aug,57
2010,Sep,58
2010,Oct,53
2010,Nov,51
2010,Dec,49
2011,Jan,63
2011,Feb,66
2011,Mar,62
2011,Apr,60
2011,May,62
2011,Jun,63
2011,Jul,71
2011,Aug,70
2011,Sep,65
2011,Oct,64
2011,Nov,62
2011,Dec,56
2012,Jan,69
2012,Feb,54
2012,Mar,64
2012,Apr,66
2012,May,60
2012,Jun,64
2012,Jul,67
2012,Aug,71
2012,Sep,63
2012,Oct,61
2012,Nov,65
2012,Dec,67
2013,Jan,64
2013,Feb,64
2013,Mar,62
2013,Apr,65
2013,May,69
2013,Jun,62
2013,Jul,73
2013,Aug,69
2013,Sep,69
2013,Oct,71
2013,Nov,65
2013,Dec,55
2014,Jan,68
2014,Feb,71
2014,Mar,70
2014,Apr,67
2014,May,69
2014,Jun,73
2014,Jul,69
2014,Aug,62
2014,Sep,69
2014,Oct,61
2014,Nov,67
2014,Dec,64
2015,Jan,70
2015,Feb,66
2015,Mar,68
2015,Apr,65
2015,May,63
2015,Jun,74
2015,Jul,71
2015,Aug,83
2015,Sep,64
2015,Oct,56
2015,Nov,62
2015,Dec,61
2016,Jan,77
2016,Feb,76
2016,Mar,70
2016,Apr,69
2016,May,72
2016,Jun,75
2016,Jul,69
2016,Aug,70
2016,Sep,67
2016,Oct,61
2016,Nov,60
2016,Dec,59
2017,Jan,67
2017,Feb,59
2017,Mar,61
2017,Apr,67
2017,May,58
2017,Jun,71
2017,Jul,75
2017,Aug,63
2017,Sep,61
2017,Oct,60
2017,Nov,63
2017,Dec,61
2018,Jan,71
2018,Feb,68
2018,Mar,65
2018,Apr,68
2018,May,66
2018,Jun,73
2018,Jul,75
2018,Aug,73
2018,Sep,62
2018,Oct,65
2018,Nov,59
2018,Dec,59
2019,Jan,62
2019,Feb,62
2019,Mar,64
2019,Apr,74
2019,May,65
2019,Jun,71
2019,Jul,72
2019,Aug,70
2019,Sep,69
2019,Oct,68
2019,Nov,55
2019,Dec,55
2020,Jan,62
2020,Feb,63
2020,Mar,57
2020,Apr,50
2020,May,48
2020,Jun,54
2020,Jul,51
2020,Aug,49
2020,Sep,50
2020,Oct,54
2020,Nov,47
2020,Dec,50
2021,Jan,50
2021,Feb,53
2021,Mar,53
2021,Apr,49
2021,May,51
2021,Jun,49
2021,Jul,51
2021,Aug,59
2021,Sep,58
2021,Oct,55
2021,Nov,52
2021,Dec,52
2022,Jan,54
2022,Feb,56
2022,Mar,52
