CNAME:,BATH & BODY WORKS INC
Google Trends Search Term:,bath & body works inc
Google Trends Suggestion:,specialty retail company
Google Trends URL:,/m/02pvnb
Year,Month,SVI Data
2004,Jan,12
2004,Feb,13
2004,Mar,13
2004,Apr,13
2004,May,10
2004,Jun,10
2004,Jul,13
2004,Aug,11
2004,Sep,11
2004,Oct,20
2004,Nov,19
2004,Dec,17
2005,Jan,14
2005,Feb,16
2005,Mar,12
2005,Apr,14
2005,May,14
2005,Jun,12
2005,Jul,13
2005,Aug,10
2005,Sep,12
2005,Oct,16
2005,Nov,13
2005,Dec,18
2006,Jan,13
2006,Feb,15
2006,Mar,11
2006,Apr,14
2006,May,12
2006,Jun,10
2006,Jul,14
2006,Aug,15
2006,Sep,14
2006,Oct,18
2006,Nov,15
2006,Dec,15
2007,Jan,16
2007,Feb,17
2007,Mar,14
2007,Apr,18
2007,May,20
2007,Jun,22
2007,Jul,23
2007,Aug,23
2007,Sep,24
2007,Oct,30
2007,Nov,32
2007,Dec,37
2008,Jan,27
2008,Feb,28
2008,Mar,26
2008,Apr,27
2008,May,29
2008,Jun,33
2008,Jul,29
2008,Aug,26
2008,Sep,40
2008,Oct,46
2008,Nov,50
2008,Dec,54
2009,Jan,42
2009,Feb,34
2009,Mar,28
2009,Apr,31
2009,May,35
2009,Jun,41
2009,Jul,37
2009,Aug,33
2009,Sep,36
2009,Oct,34
2009,Nov,49
2009,Dec,58
2010,Jan,45
2010,Feb,37
2010,Mar,35
2010,Apr,35
2010,May,35
2010,Jun,36
2010,Jul,33
2010,Aug,34
2010,Sep,34
2010,Oct,44
2010,Nov,62
2010,Dec,71
2011,Jan,65
2011,Feb,53
2011,Mar,50
2011,Apr,54
2011,May,57
2011,Jun,64
2011,Jul,63
2011,Aug,61
2011,Sep,59
2011,Oct,70
2011,Nov,99
2011,Dec,98
2012,Jan,82
2012,Feb,68
2012,Mar,65
2012,Apr,71
2012,May,74
2012,Jun,80
2012,Jul,74
2012,Aug,65
2012,Sep,63
2012,Oct,75
2012,Nov,100
2012,Dec,99
2013,Jan,80
2013,Feb,62
2013,Mar,58
2013,Apr,58
2013,May,65
2013,Jun,69
2013,Jul,64
2013,Aug,58
2013,Sep,54
2013,Oct,60
2013,Nov,79
2013,Dec,82
2014,Jan,65
2014,Feb,51
2014,Mar,48
2014,Apr,51
2014,May,49
2014,Jun,53
2014,Jul,47
2014,Aug,39
2014,Sep,40
2014,Oct,45
2014,Nov,60
2014,Dec,66
2015,Jan,48
2015,Feb,39
2015,Mar,37
2015,Apr,38
2015,May,41
2015,Jun,43
2015,Jul,40
2015,Aug,40
2015,Sep,39
2015,Oct,43
2015,Nov,58
2015,Dec,63
2016,Jan,52
2016,Feb,45
2016,Mar,39
2016,Apr,41
2016,May,45
2016,Jun,41
2016,Jul,38
2016,Aug,39
2016,Sep,38
2016,Oct,38
2016,Nov,51
2016,Dec,51
2017,Jan,40
2017,Feb,31
2017,Mar,29
2017,Apr,25
2017,May,28
2017,Jun,30
2017,Jul,27
2017,Aug,30
2017,Sep,26
2017,Oct,31
2017,Nov,43
2017,Dec,41
2018,Jan,32
2018,Feb,26
2018,Mar,26
2018,Apr,26
2018,May,26
2018,Jun,25
2018,Jul,25
2018,Aug,28
2018,Sep,26
2018,Oct,27
2018,Nov,37
2018,Dec,32
2019,Jan,26
2019,Feb,20
2019,Mar,20
2019,Apr,20
2019,May,21
2019,Jun,20
2019,Jul,22
2019,Aug,24
2019,Sep,21
2019,Oct,24
2019,Nov,28
2019,Dec,27
2020,Jan,23
2020,Feb,25
2020,Mar,19
2020,Apr,11
2020,May,15
2020,Jun,15
2020,Jul,18
2020,Aug,17
2020,Sep,16
2020,Oct,18
2020,Nov,24
2020,Dec,22
2021,Jan,18
2021,Feb,17
2021,Mar,16
2021,Apr,15
2021,May,17
2021,Jun,18
2021,Jul,17
2021,Aug,15
2021,Sep,14
2021,Oct,14
2021,Nov,17
2021,Dec,17
2022,Jan,13
2022,Feb,11
2022,Mar,9
