CNAME:,PORTLAND GENERAL ELECTRIC CO
Google Trends Search Term:,portland general electric
Google Trends Suggestion:,public utility company
Google Trends URL:,/m/021j5m
Year,Month,SVI Data
2004,Jan,38
2004,Feb,29
2004,Mar,31
2004,Apr,30
2004,May,25
2004,Jun,36
2004,Jul,35
2004,Aug,30
2004,Sep,33
2004,Oct,28
2004,Nov,32
2004,Dec,31
2005,Jan,28
2005,Feb,32
2005,Mar,30
2005,Apr,34
2005,May,31
2005,Jun,28
2005,Jul,32
2005,Aug,31
2005,Sep,30
2005,Oct,27
2005,Nov,24
2005,Dec,36
2006,Jan,28
2006,Feb,29
2006,Mar,31
2006,Apr,33
2006,May,35
2006,Jun,35
2006,Jul,32
2006,Aug,37
2006,Sep,34
2006,Oct,30
2006,Nov,36
2006,Dec,41
2007,Jan,32
2007,Feb,38
2007,Mar,29
2007,Apr,37
2007,May,35
2007,Jun,33
2007,Jul,36
2007,Aug,34
2007,Sep,36
2007,Oct,31
2007,Nov,34
2007,Dec,32
2008,Jan,35
2008,Feb,34
2008,Mar,37
2008,Apr,36
2008,May,33
2008,Jun,31
2008,Jul,35
2008,Aug,31
2008,Sep,35
2008,Oct,35
2008,Nov,35
2008,Dec,44
2009,Jan,34
2009,Feb,33
2009,Mar,31
2009,Apr,27
2009,May,35
2009,Jun,30
2009,Jul,29
2009,Aug,26
2009,Sep,25
2009,Oct,26
2009,Nov,24
2009,Dec,24
2010,Jan,23
2010,Feb,23
2010,Mar,24
2010,Apr,24
2010,May,31
2010,Jun,30
2010,Jul,30
2010,Aug,30
2010,Sep,29
2010,Oct,30
2010,Nov,29
2010,Dec,32
2011,Jan,36
2011,Feb,37
2011,Mar,39
2011,Apr,38
2011,May,36
2011,Jun,38
2011,Jul,43
2011,Aug,37
2011,Sep,33
2011,Oct,34
2011,Nov,35
2011,Dec,33
2012,Jan,42
2012,Feb,32
2012,Mar,36
2012,Apr,35
2012,May,34
2012,Jun,38
2012,Jul,33
2012,Aug,34
2012,Sep,33
2012,Oct,37
2012,Nov,32
2012,Dec,31
2013,Jan,31
2013,Feb,36
2013,Mar,33
2013,Apr,31
2013,May,35
2013,Jun,37
2013,Jul,35
2013,Aug,34
2013,Sep,36
2013,Oct,30
2013,Nov,30
2013,Dec,35
2014,Jan,37
2014,Feb,35
2014,Mar,36
2014,Apr,31
2014,May,33
2014,Jun,32
2014,Jul,35
2014,Aug,33
2014,Sep,34
2014,Oct,38
2014,Nov,38
2014,Dec,43
2015,Jan,33
2015,Feb,37
2015,Mar,38
2015,Apr,33
2015,May,29
2015,Jun,34
2015,Jul,38
2015,Aug,39
2015,Sep,30
2015,Oct,29
2015,Nov,33
2015,Dec,37
2016,Jan,32
2016,Feb,28
2016,Mar,29
2016,Apr,27
2016,May,26
2016,Jun,30
2016,Jul,26
2016,Aug,26
2016,Sep,22
2016,Oct,28
2016,Nov,26
2016,Dec,31
2017,Jan,37
2017,Feb,30
2017,Mar,25
2017,Apr,37
2017,May,24
2017,Jun,25
2017,Jul,26
2017,Aug,28
2017,Sep,27
2017,Oct,27
2017,Nov,24
2017,Dec,23
2018,Jan,25
2018,Feb,27
2018,Mar,25
2018,Apr,23
2018,May,33
2018,Jun,27
2018,Jul,25
2018,Aug,25
2018,Sep,21
2018,Oct,21
2018,Nov,22
2018,Dec,20
2019,Jan,26
2019,Feb,26
2019,Mar,21
2019,Apr,24
2019,May,27
2019,Jun,28
2019,Jul,29
2019,Aug,23
2019,Sep,24
2019,Oct,50
2019,Nov,24
2019,Dec,23
2020,Jan,22
2020,Feb,24
2020,Mar,23
2020,Apr,17
2020,May,16
2020,Jun,18
2020,Jul,20
2020,Aug,22
2020,Sep,36
2020,Oct,20
2020,Nov,18
2020,Dec,20
2021,Jan,25
2021,Feb,100
2021,Mar,19
2021,Apr,17
2021,May,17
2021,Jun,21
2021,Jul,21
2021,Aug,18
2021,Sep,18
2021,Oct,21
2021,Nov,18
2021,Dec,21
2022,Jan,21
2022,Feb,21
2022,Mar,21
