CNAME:,MEDICAL PROPERTIES TRUST INC
Google Trends Search Term:,medical properties trust
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/03p2mq2
Year,Month,SVI Data
2004,Jan,40
2004,Feb,0
2004,Mar,0
2004,Apr,38
2004,May,35
2004,Jun,0
2004,Jul,0
2004,Aug,100
2004,Sep,32
2004,Oct,0
2004,Nov,67
2004,Dec,30
2005,Jan,0
2005,Feb,27
2005,Mar,23
2005,Apr,0
2005,May,48
2005,Jun,25
2005,Jul,97
2005,Aug,46
2005,Sep,63
2005,Oct,59
2005,Nov,20
2005,Dec,19
2006,Jan,34
2006,Feb,18
2006,Mar,0
2006,Apr,50
2006,May,31
2006,Jun,16
2006,Jul,32
2006,Aug,59
2006,Sep,30
2006,Oct,68
2006,Nov,40
2006,Dec,40
2007,Jan,35
2007,Feb,88
2007,Mar,68
2007,Apr,23
2007,May,42
2007,Jun,33
2007,Jul,21
2007,Aug,20
2007,Sep,50
2007,Oct,9
2007,Nov,45
2007,Dec,19
2008,Jan,8
2008,Feb,0
2008,Mar,42
2008,Apr,57
2008,May,66
2008,Jun,26
2008,Jul,17
2008,Aug,25
2008,Sep,30
2008,Oct,49
2008,Nov,47
2008,Dec,0
2009,Jan,50
2009,Feb,45
2009,Mar,21
2009,Apr,7
2009,May,28
2009,Jun,7
2009,Jul,14
2009,Aug,41
2009,Sep,13
2009,Oct,6
2009,Nov,32
2009,Dec,38
2010,Jan,18
2010,Feb,62
2010,Mar,6
2010,Apr,35
2010,May,31
2010,Jun,19
2010,Jul,16
2010,Aug,16
2010,Sep,15
2010,Oct,5
2010,Nov,19
2010,Dec,5
2011,Jan,15
2011,Feb,36
2011,Mar,15
2011,Apr,42
2011,May,29
2011,Jun,11
2011,Jul,19
2011,Aug,10
2011,Sep,17
2011,Oct,23
2011,Nov,17
2011,Dec,3
2012,Jan,12
2012,Feb,33
2012,Mar,35
2012,Apr,21
2012,May,12
2012,Jun,15
2012,Jul,9
2012,Aug,11
2012,Sep,14
2012,Oct,50
2012,Nov,33
2012,Dec,18
2013,Jan,17
2013,Feb,37
2013,Mar,24
2013,Apr,27
2013,May,15
2013,Jun,3
2013,Jul,20
2013,Aug,34
2013,Sep,19
2013,Oct,35
2013,Nov,17
2013,Dec,21
2014,Jan,14
2014,Feb,22
2014,Mar,18
2014,Apr,32
2014,May,5
2014,Jun,22
2014,Jul,24
2014,Aug,13
2014,Sep,10
2014,Oct,34
2014,Nov,10
2014,Dec,15
2015,Jan,17
2015,Feb,13
2015,Mar,17
2015,Apr,8
2015,May,21
2015,Jun,22
2015,Jul,42
2015,Aug,28
2015,Sep,30
2015,Oct,19
2015,Nov,25
2015,Dec,19
2016,Jan,18
2016,Feb,8
2016,Mar,18
2016,Apr,10
2016,May,31
2016,Jun,17
2016,Jul,23
2016,Aug,15
2016,Sep,49
2016,Oct,26
2016,Nov,20
2016,Dec,11
2017,Jan,24
2017,Feb,36
2017,Mar,29
2017,Apr,22
2017,May,30
2017,Jun,34
2017,Jul,24
2017,Aug,30
2017,Sep,19
2017,Oct,23
2017,Nov,18
2017,Dec,40
2018,Jan,30
2018,Feb,27
2018,Mar,23
2018,Apr,9
2018,May,35
2018,Jun,24
2018,Jul,20
2018,Aug,38
2018,Sep,13
2018,Oct,25
2018,Nov,41
2018,Dec,16
2019,Jan,17
2019,Feb,20
2019,Mar,31
2019,Apr,25
2019,May,46
2019,Jun,30
2019,Jul,54
2019,Aug,37
2019,Sep,31
2019,Oct,27
2019,Nov,45
2019,Dec,33
2020,Jan,47
2020,Feb,54
2020,Mar,56
2020,Apr,53
2020,May,30
2020,Jun,38
2020,Jul,35
2020,Aug,25
2020,Sep,28
2020,Oct,19
2020,Nov,38
2020,Dec,22
2021,Jan,34
2021,Feb,44
2021,Mar,31
2021,Apr,36
2021,May,33
2021,Jun,60
2021,Jul,61
2021,Aug,33
2021,Sep,48
2021,Oct,31
2021,Nov,24
2021,Dec,35
2022,Jan,41
2022,Feb,67
2022,Mar,81
