CNAME:,VALERO ENERGY PARTNERS LP
Google Trends Search Term:,valero energy
Google Trends Suggestion:,company
Google Trends URL:,/m/01sn2s
Year,Month,SVI Data
2004,Jan,31
2004,Feb,34
2004,Mar,27
2004,Apr,38
2004,May,35
2004,Jun,32
2004,Jul,39
2004,Aug,36
2004,Sep,41
2004,Oct,30
2004,Nov,49
2004,Dec,29
2005,Jan,38
2005,Feb,44
2005,Mar,43
2005,Apr,57
2005,May,51
2005,Jun,52
2005,Jul,57
2005,Aug,62
2005,Sep,94
2005,Oct,60
2005,Nov,47
2005,Dec,49
2006,Jan,61
2006,Feb,70
2006,Mar,65
2006,Apr,79
2006,May,71
2006,Jun,71
2006,Jul,74
2006,Aug,78
2006,Sep,72
2006,Oct,70
2006,Nov,53
2006,Dec,55
2007,Jan,63
2007,Feb,72
2007,Mar,62
2007,Apr,74
2007,May,75
2007,Jun,75
2007,Jul,70
2007,Aug,61
2007,Sep,53
2007,Oct,58
2007,Nov,58
2007,Dec,63
2008,Jan,61
2008,Feb,60
2008,Mar,68
2008,Apr,76
2008,May,71
2008,Jun,78
2008,Jul,89
2008,Aug,76
2008,Sep,70
2008,Oct,65
2008,Nov,60
2008,Dec,60
2009,Jan,61
2009,Feb,57
2009,Mar,60
2009,Apr,54
2009,May,61
2009,Jun,56
2009,Jul,59
2009,Aug,58
2009,Sep,61
2009,Oct,50
2009,Nov,51
2009,Dec,54
2010,Jan,63
2010,Feb,56
2010,Mar,54
2010,Apr,87
2010,May,63
2010,Jun,62
2010,Jul,60
2010,Aug,57
2010,Sep,55
2010,Oct,54
2010,Nov,52
2010,Dec,57
2011,Jan,61
2011,Feb,65
2011,Mar,68
2011,Apr,76
2011,May,66
2011,Jun,70
2011,Jul,70
2011,Aug,73
2011,Sep,64
2011,Oct,66
2011,Nov,62
2011,Dec,65
2012,Jan,68
2012,Feb,61
2012,Mar,63
2012,Apr,70
2012,May,67
2012,Jun,69
2012,Jul,73
2012,Aug,80
2012,Sep,67
2012,Oct,70
2012,Nov,73
2012,Dec,69
2013,Jan,66
2013,Feb,67
2013,Mar,65
2013,Apr,74
2013,May,75
2013,Jun,73
2013,Jul,78
2013,Aug,76
2013,Sep,64
2013,Oct,69
2013,Nov,62
2013,Dec,65
2014,Jan,68
2014,Feb,67
2014,Mar,73
2014,Apr,69
2014,May,77
2014,Jun,73
2014,Jul,76
2014,Aug,72
2014,Sep,69
2014,Oct,64
2014,Nov,65
2014,Dec,68
2015,Jan,72
2015,Feb,65
2015,Mar,67
2015,Apr,62
2015,May,67
2015,Jun,68
2015,Jul,80
2015,Aug,78
2015,Sep,70
2015,Oct,66
2015,Nov,64
2015,Dec,65
2016,Jan,80
2016,Feb,67
2016,Mar,70
2016,Apr,71
2016,May,76
2016,Jun,79
2016,Jul,85
2016,Aug,75
2016,Sep,80
2016,Oct,76
2016,Nov,67
2016,Dec,73
2017,Jan,67
2017,Feb,70
2017,Mar,75
2017,Apr,78
2017,May,80
2017,Jun,84
2017,Jul,85
2017,Aug,91
2017,Sep,100
2017,Oct,71
2017,Nov,72
2017,Dec,74
2018,Jan,71
2018,Feb,70
2018,Mar,74
2018,Apr,88
2018,May,82
2018,Jun,84
2018,Jul,85
2018,Aug,81
2018,Sep,77
2018,Oct,76
2018,Nov,71
2018,Dec,78
2019,Jan,69
2019,Feb,72
2019,Mar,77
2019,Apr,83
2019,May,75
2019,Jun,82
2019,Jul,83
2019,Aug,77
2019,Sep,77
2019,Oct,75
2019,Nov,66
2019,Dec,73
2020,Jan,71
2020,Feb,66
2020,Mar,69
2020,Apr,74
2020,May,68
2020,Jun,70
2020,Jul,68
2020,Aug,66
2020,Sep,62
2020,Oct,71
2020,Nov,62
2020,Dec,69
2021,Jan,65
2021,Feb,85
2021,Mar,70
2021,Apr,78
2021,May,76
2021,Jun,74
2021,Jul,77
2021,Aug,72
2021,Sep,73
2021,Oct,73
2021,Nov,73
2021,Dec,73
2022,Jan,70
2022,Feb,74
2022,Mar,90
