CNAME:,LIFE TIME FITNESS INC
Google Trends Search Term:,life time fitness
Google Trends Suggestion:,health club
Google Trends URL:,/m/03p2k43
Year,Month,SVI Data
2004,Jan,31
2004,Feb,24
2004,Mar,28
2004,Apr,23
2004,May,28
2004,Jun,29
2004,Jul,37
2004,Aug,29
2004,Sep,25
2004,Oct,31
2004,Nov,31
2004,Dec,36
2005,Jan,41
2005,Feb,33
2005,Mar,38
2005,Apr,32
2005,May,35
2005,Jun,43
2005,Jul,51
2005,Aug,36
2005,Sep,31
2005,Oct,31
2005,Nov,36
2005,Dec,46
2006,Jan,53
2006,Feb,41
2006,Mar,46
2006,Apr,40
2006,May,44
2006,Jun,48
2006,Jul,60
2006,Aug,57
2006,Sep,46
2006,Oct,44
2006,Nov,47
2006,Dec,54
2007,Jan,67
2007,Feb,61
2007,Mar,56
2007,Apr,51
2007,May,59
2007,Jun,64
2007,Jul,65
2007,Aug,58
2007,Sep,52
2007,Oct,50
2007,Nov,56
2007,Dec,61
2008,Jan,73
2008,Feb,58
2008,Mar,62
2008,Apr,59
2008,May,65
2008,Jun,72
2008,Jul,70
2008,Aug,62
2008,Sep,56
2008,Oct,53
2008,Nov,63
2008,Dec,66
2009,Jan,80
2009,Feb,63
2009,Mar,66
2009,Apr,62
2009,May,71
2009,Jun,74
2009,Jul,74
2009,Aug,63
2009,Sep,54
2009,Oct,53
2009,Nov,57
2009,Dec,66
2010,Jan,84
2010,Feb,71
2010,Mar,65
2010,Apr,62
2010,May,69
2010,Jun,73
2010,Jul,70
2010,Aug,69
2010,Sep,56
2010,Oct,54
2010,Nov,59
2010,Dec,66
2011,Jan,90
2011,Feb,81
2011,Mar,77
2011,Apr,76
2011,May,84
2011,Jun,87
2011,Jul,88
2011,Aug,75
2011,Sep,64
2011,Oct,59
2011,Nov,65
2011,Dec,71
2012,Jan,100
2012,Feb,73
2012,Mar,69
2012,Apr,70
2012,May,75
2012,Jun,84
2012,Jul,82
2012,Aug,68
2012,Sep,60
2012,Oct,59
2012,Nov,59
2012,Dec,66
2013,Jan,92
2013,Feb,71
2013,Mar,76
2013,Apr,71
2013,May,80
2013,Jun,89
2013,Jul,85
2013,Aug,69
2013,Sep,61
2013,Oct,54
2013,Nov,59
2013,Dec,64
2014,Jan,87
2014,Feb,68
2014,Mar,66
2014,Apr,62
2014,May,69
2014,Jun,68
2014,Jul,66
2014,Aug,57
2014,Sep,51
2014,Oct,46
2014,Nov,55
2014,Dec,56
2015,Jan,70
2015,Feb,57
2015,Mar,58
2015,Apr,55
2015,May,59
2015,Jun,65
2015,Jul,62
2015,Aug,58
2015,Sep,49
2015,Oct,44
2015,Nov,51
2015,Dec,54
2016,Jan,78
2016,Feb,60
2016,Mar,61
2016,Apr,63
2016,May,73
2016,Jun,78
2016,Jul,74
2016,Aug,59
2016,Sep,48
2016,Oct,43
2016,Nov,51
2016,Dec,65
2017,Jan,81
2017,Feb,62
2017,Mar,63
2017,Apr,60
2017,May,77
2017,Jun,85
2017,Jul,80
2017,Aug,68
2017,Sep,54
2017,Oct,47
2017,Nov,60
2017,Dec,68
2018,Jan,84
2018,Feb,67
2018,Mar,70
2018,Apr,69
2018,May,78
2018,Jun,89
2018,Jul,84
2018,Aug,72
2018,Sep,60
2018,Oct,51
2018,Nov,62
2018,Dec,71
2019,Jan,88
2019,Feb,68
2019,Mar,70
2019,Apr,66
2019,May,77
2019,Jun,80
2019,Jul,82
2019,Aug,69
2019,Sep,56
2019,Oct,49
2019,Nov,64
2019,Dec,68
2020,Jan,79
2020,Feb,66
2020,Mar,58
2020,Apr,19
2020,May,37
2020,Jun,66
2020,Jul,46
2020,Aug,35
2020,Sep,33
2020,Oct,32
2020,Nov,31
2020,Dec,33
2021,Jan,38
2021,Feb,39
2021,Mar,39
2021,Apr,42
2021,May,55
2021,Jun,66
2021,Jul,62
2021,Aug,48
2021,Sep,40
2021,Oct,37
2021,Nov,43
2021,Dec,49
2022,Jan,58
2022,Feb,52
2022,Mar,52
