CNAME:,MESA AIR GROUP INC
Google Trends Search Term:,mesa air group
Google Trends Suggestion:,aviation company
Google Trends URL:,/m/05mlnc
Year,Month,SVI Data
2004,Jan,49
2004,Feb,60
2004,Mar,73
2004,Apr,59
2004,May,68
2004,Jun,69
2004,Jul,78
2004,Aug,87
2004,Sep,57
2004,Oct,60
2004,Nov,54
2004,Dec,58
2005,Jan,53
2005,Feb,55
2005,Mar,60
2005,Apr,60
2005,May,59
2005,Jun,62
2005,Jul,62
2005,Aug,60
2005,Sep,55
2005,Oct,58
2005,Nov,48
2005,Dec,44
2006,Jan,50
2006,Feb,43
2006,Mar,66
2006,Apr,81
2006,May,81
2006,Jun,100
2006,Jul,90
2006,Aug,81
2006,Sep,73
2006,Oct,57
2006,Nov,48
2006,Dec,53
2007,Jan,62
2007,Feb,65
2007,Mar,71
2007,Apr,58
2007,May,68
2007,Jun,75
2007,Jul,68
2007,Aug,59
2007,Sep,57
2007,Oct,56
2007,Nov,50
2007,Dec,47
2008,Jan,47
2008,Feb,51
2008,Mar,55
2008,Apr,87
2008,May,68
2008,Jun,56
2008,Jul,51
2008,Aug,33
2008,Sep,38
2008,Oct,34
2008,Nov,34
2008,Dec,34
2009,Jan,39
2009,Feb,43
2009,Mar,37
2009,Apr,32
2009,May,35
2009,Jun,36
2009,Jul,34
2009,Aug,25
2009,Sep,23
2009,Oct,22
2009,Nov,26
2009,Dec,21
2010,Jan,35
2010,Feb,25
2010,Mar,24
2010,Apr,20
2010,May,23
2010,Jun,27
2010,Jul,23
2010,Aug,22
2010,Sep,16
2010,Oct,19
2010,Nov,13
2010,Dec,17
2011,Jan,18
2011,Feb,19
2011,Mar,23
2011,Apr,23
2011,May,14
2011,Jun,20
2011,Jul,20
2011,Aug,15
2011,Sep,13
2011,Oct,13
2011,Nov,13
2011,Dec,11
2012,Jan,16
2012,Feb,12
2012,Mar,17
2012,Apr,16
2012,May,15
2012,Jun,15
2012,Jul,16
2012,Aug,14
2012,Sep,11
2012,Oct,11
2012,Nov,10
2012,Dec,9
2013,Jan,13
2013,Feb,12
2013,Mar,15
2013,Apr,12
2013,May,13
2013,Jun,16
2013,Jul,14
2013,Aug,14
2013,Sep,14
2013,Oct,11
2013,Nov,10
2013,Dec,11
2014,Jan,14
2014,Feb,14
2014,Mar,14
2014,Apr,10
2014,May,10
2014,Jun,10
2014,Jul,12
2014,Aug,12
2014,Sep,10
2014,Oct,11
2014,Nov,11
2014,Dec,11
2015,Jan,13
2015,Feb,15
2015,Mar,14
2015,Apr,16
2015,May,14
2015,Jun,17
2015,Jul,16
2015,Aug,14
2015,Sep,11
2015,Oct,14
2015,Nov,13
2015,Dec,11
2016,Jan,9
2016,Feb,12
2016,Mar,12
2016,Apr,11
2016,May,10
2016,Jun,11
2016,Jul,15
2016,Aug,12
2016,Sep,11
2016,Oct,11
2016,Nov,11
2016,Dec,11
2017,Jan,12
2017,Feb,11
2017,Mar,11
2017,Apr,11
2017,May,13
2017,Jun,13
2017,Jul,11
2017,Aug,14
2017,Sep,10
2017,Oct,12
2017,Nov,11
2017,Dec,11
2018,Jan,11
2018,Feb,13
2018,Mar,11
2018,Apr,12
2018,May,12
2018,Jun,13
2018,Jul,13
2018,Aug,16
2018,Sep,12
2018,Oct,11
2018,Nov,11
2018,Dec,11
2019,Jan,11
2019,Feb,15
2019,Mar,14
2019,Apr,11
2019,May,11
2019,Jun,12
2019,Jul,13
2019,Aug,13
2019,Sep,13
2019,Oct,12
2019,Nov,11
2019,Dec,11
2020,Jan,13
2020,Feb,11
2020,Mar,10
2020,Apr,7
2020,May,7
2020,Jun,9
2020,Jul,7
2020,Aug,7
2020,Sep,7
2020,Oct,10
2020,Nov,9
2020,Dec,9
2021,Jan,8
2021,Feb,10
2021,Mar,10
2021,Apr,9
2021,May,10
2021,Jun,8
2021,Jul,10
2021,Aug,9
2021,Sep,10
2021,Oct,9
2021,Nov,9
2021,Dec,11
2022,Jan,9
2022,Feb,11
2022,Mar,8
