CNAME:,HUMAN GENOME SCIENCES INC
Google Trends Search Term:,human genome sciences
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/04yzb_
Year,Month,SVI Data
2004,Jan,44
2004,Feb,35
2004,Mar,44
2004,Apr,34
2004,May,19
2004,Jun,31
2004,Jul,20
2004,Aug,37
2004,Sep,21
2004,Oct,18
2004,Nov,18
2004,Dec,26
2005,Jan,20
2005,Feb,24
2005,Mar,23
2005,Apr,18
2005,May,34
2005,Jun,22
2005,Jul,21
2005,Aug,23
2005,Sep,25
2005,Oct,35
2005,Nov,18
2005,Dec,21
2006,Jan,32
2006,Feb,21
2006,Mar,21
2006,Apr,15
2006,May,14
2006,Jun,24
2006,Jul,21
2006,Aug,18
2006,Sep,13
2006,Oct,21
2006,Nov,16
2006,Dec,16
2007,Jan,9
2007,Feb,15
2007,Mar,16
2007,Apr,16
2007,May,25
2007,Jun,15
2007,Jul,10
2007,Aug,29
2007,Sep,18
2007,Oct,20
2007,Nov,12
2007,Dec,11
2008,Jan,27
2008,Feb,17
2008,Mar,15
2008,Apr,14
2008,May,22
2008,Jun,15
2008,Jul,10
2008,Aug,20
2008,Sep,17
2008,Oct,12
2008,Nov,8
2008,Dec,13
2009,Jan,13
2009,Feb,9
2009,Mar,19
2009,Apr,14
2009,May,17
2009,Jun,24
2009,Jul,100
2009,Aug,60
2009,Sep,42
2009,Oct,38
2009,Nov,49
2009,Dec,24
2010,Jan,31
2010,Feb,28
2010,Mar,38
2010,Apr,30
2010,May,26
2010,Jun,28
2010,Jul,29
2010,Aug,38
2010,Sep,24
2010,Oct,24
2010,Nov,39
2010,Dec,19
2011,Jan,23
2011,Feb,18
2011,Mar,57
2011,Apr,35
2011,May,19
2011,Jun,16
2011,Jul,21
2011,Aug,20
2011,Sep,23
2011,Oct,22
2011,Nov,17
2011,Dec,19
2012,Jan,23
2012,Feb,19
2012,Mar,18
2012,Apr,40
2012,May,30
2012,Jun,14
2012,Jul,37
2012,Aug,21
2012,Sep,13
2012,Oct,9
2012,Nov,8
2012,Dec,5
2013,Jan,5
2013,Feb,7
2013,Mar,5
2013,Apr,7
2013,May,5
2013,Jun,5
2013,Jul,4
2013,Aug,2
2013,Sep,4
2013,Oct,3
2013,Nov,2
2013,Dec,3
2014,Jan,3
2014,Feb,2
2014,Mar,0
2014,Apr,2
2014,May,1
2014,Jun,1
2014,Jul,2
2014,Aug,2
2014,Sep,1
2014,Oct,3
2014,Nov,3
2014,Dec,1
2015,Jan,2
2015,Feb,1
2015,Mar,4
2015,Apr,2
2015,May,2
2015,Jun,1
2015,Jul,2
2015,Aug,1
2015,Sep,1
2015,Oct,1
2015,Nov,1
2015,Dec,1
2016,Jan,1
2016,Feb,1
2016,Mar,1
2016,Apr,1
2016,May,1
2016,Jun,1
2016,Jul,1
2016,Aug,0
2016,Sep,1
2016,Oct,1
2016,Nov,0
2016,Dec,0
2017,Jan,1
2017,Feb,1
2017,Mar,1
2017,Apr,0
2017,May,1
2017,Jun,1
2017,Jul,0
2017,Aug,1
2017,Sep,0
2017,Oct,1
2017,Nov,1
2017,Dec,0
2018,Jan,1
2018,Feb,1
2018,Mar,0
2018,Apr,0
2018,May,1
2018,Jun,1
2018,Jul,0
2018,Aug,0
2018,Sep,1
2018,Oct,1
2018,Nov,0
2018,Dec,0
2019,Jan,1
2019,Feb,0
2019,Mar,1
2019,Apr,0
2019,May,0
2019,Jun,1
2019,Jul,1
2019,Aug,1
2019,Sep,1
2019,Oct,0
2019,Nov,0
2019,Dec,1
2020,Jan,0
2020,Feb,0
2020,Mar,1
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,1
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,1
2021,Jan,1
2021,Feb,0
2021,Mar,0
2021,Apr,0
2021,May,0
2021,Jun,1
2021,Jul,0
2021,Aug,0
2021,Sep,0
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,1
2022,Feb,1
2022,Mar,0
