CNAME:,ABERCROMBIE & FITCH CO DE
Google Trends Search Term:,abercrombie & fitch
Google Trends Suggestion:,retail company
Google Trends URL:,/m/02z2m_
Year,Month,SVI Data
2004,Jan,52
2004,Feb,50
2004,Mar,50
2004,Apr,49
2004,May,49
2004,Jun,46
2004,Jul,48
2004,Aug,55
2004,Sep,50
2004,Oct,54
2004,Nov,71
2004,Dec,81
2005,Jan,53
2005,Feb,56
2005,Mar,55
2005,Apr,67
2005,May,71
2005,Jun,72
2005,Jul,69
2005,Aug,68
2005,Sep,56
2005,Oct,57
2005,Nov,73
2005,Dec,81
2006,Jan,54
2006,Feb,52
2006,Mar,51
2006,Apr,53
2006,May,49
2006,Jun,47
2006,Jul,54
2006,Aug,55
2006,Sep,50
2006,Oct,56
2006,Nov,77
2006,Dec,92
2007,Jan,57
2007,Feb,53
2007,Mar,57
2007,Apr,50
2007,May,50
2007,Jun,49
2007,Jul,59
2007,Aug,70
2007,Sep,58
2007,Oct,63
2007,Nov,88
2007,Dec,100
2008,Jan,67
2008,Feb,67
2008,Mar,60
2008,Apr,55
2008,May,52
2008,Jun,49
2008,Jul,54
2008,Aug,62
2008,Sep,48
2008,Oct,52
2008,Nov,70
2008,Dec,80
2009,Jan,54
2009,Feb,47
2009,Mar,46
2009,Apr,43
2009,May,40
2009,Jun,33
2009,Jul,41
2009,Aug,45
2009,Sep,36
2009,Oct,42
2009,Nov,51
2009,Dec,59
2010,Jan,42
2010,Feb,35
2010,Mar,37
2010,Apr,33
2010,May,34
2010,Jun,36
2010,Jul,43
2010,Aug,45
2010,Sep,39
2010,Oct,41
2010,Nov,55
2010,Dec,62
2011,Jan,52
2011,Feb,48
2011,Mar,44
2011,Apr,48
2011,May,39
2011,Jun,43
2011,Jul,51
2011,Aug,61
2011,Sep,46
2011,Oct,44
2011,Nov,66
2011,Dec,62
2012,Jan,47
2012,Feb,43
2012,Mar,44
2012,Apr,39
2012,May,36
2012,Jun,38
2012,Jul,45
2012,Aug,44
2012,Sep,40
2012,Oct,39
2012,Nov,57
2012,Dec,52
2013,Jan,40
2013,Feb,35
2013,Mar,31
2013,Apr,30
2013,May,64
2013,Jun,33
2013,Jul,36
2013,Aug,37
2013,Sep,30
2013,Oct,32
2013,Nov,48
2013,Dec,52
2014,Jan,31
2014,Feb,27
2014,Mar,27
2014,Apr,28
2014,May,26
2014,Jun,24
2014,Jul,28
2014,Aug,32
2014,Sep,25
2014,Oct,25
2014,Nov,42
2014,Dec,40
2015,Jan,25
2015,Feb,23
2015,Mar,23
2015,Apr,23
2015,May,23
2015,Jun,23
2015,Jul,25
2015,Aug,25
2015,Sep,21
2015,Oct,24
2015,Nov,38
2015,Dec,33
2016,Jan,20
2016,Feb,19
2016,Mar,19
2016,Apr,18
2016,May,19
2016,Jun,19
2016,Jul,20
2016,Aug,20
2016,Sep,18
2016,Oct,19
2016,Nov,30
2016,Dec,27
2017,Jan,16
2017,Feb,15
2017,Mar,16
2017,Apr,16
2017,May,15
2017,Jun,15
2017,Jul,17
2017,Aug,17
2017,Sep,14
2017,Oct,15
2017,Nov,25
2017,Dec,22
2018,Jan,14
2018,Feb,13
2018,Mar,14
2018,Apr,13
2018,May,14
2018,Jun,14
2018,Jul,16
2018,Aug,17
2018,Sep,16
2018,Oct,17
2018,Nov,27
2018,Dec,22
2019,Jan,15
2019,Feb,15
2019,Mar,15
2019,Apr,15
2019,May,16
2019,Jun,16
2019,Jul,17
2019,Aug,17
2019,Sep,15
2019,Oct,17
2019,Nov,26
2019,Dec,25
2020,Jan,15
2020,Feb,14
2020,Mar,12
2020,Apr,14
2020,May,17
2020,Jun,17
2020,Jul,16
2020,Aug,16
2020,Sep,15
2020,Oct,17
2020,Nov,24
2020,Dec,23
2021,Jan,15
2021,Feb,14
2021,Mar,17
2021,Apr,18
2021,May,17
2021,Jun,16
2021,Jul,16
2021,Aug,18
2021,Sep,19
2021,Oct,21
2021,Nov,31
2021,Dec,27
2022,Jan,21
2022,Feb,21
2022,Mar,23
