CNAME:,AFLAC INC
Google Trends Search Term:,aflac
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/01xs7c
Year,Month,SVI Data
2004,Jan,37
2004,Feb,34
2004,Mar,27
2004,Apr,37
2004,May,27
2004,Jun,34
2004,Jul,31
2004,Aug,43
2004,Sep,47
2004,Oct,34
2004,Nov,32
2004,Dec,32
2005,Jan,40
2005,Feb,36
2005,Mar,40
2005,Apr,38
2005,May,38
2005,Jun,39
2005,Jul,44
2005,Aug,44
2005,Sep,38
2005,Oct,37
2005,Nov,39
2005,Dec,36
2006,Jan,43
2006,Feb,36
2006,Mar,39
2006,Apr,40
2006,May,42
2006,Jun,45
2006,Jul,43
2006,Aug,49
2006,Sep,46
2006,Oct,44
2006,Nov,43
2006,Dec,38
2007,Jan,43
2007,Feb,38
2007,Mar,41
2007,Apr,45
2007,May,46
2007,Jun,47
2007,Jul,45
2007,Aug,45
2007,Sep,46
2007,Oct,49
2007,Nov,48
2007,Dec,39
2008,Jan,48
2008,Feb,44
2008,Mar,50
2008,Apr,49
2008,May,47
2008,Jun,49
2008,Jul,53
2008,Aug,52
2008,Sep,55
2008,Oct,53
2008,Nov,51
2008,Dec,48
2009,Jan,61
2009,Feb,60
2009,Mar,56
2009,Apr,55
2009,May,54
2009,Jun,59
2009,Jul,61
2009,Aug,65
2009,Sep,65
2009,Oct,60
2009,Nov,55
2009,Dec,57
2010,Jan,61
2010,Feb,61
2010,Mar,62
2010,Apr,57
2010,May,53
2010,Jun,58
2010,Jul,53
2010,Aug,56
2010,Sep,56
2010,Oct,53
2010,Nov,53
2010,Dec,48
2011,Jan,63
2011,Feb,61
2011,Mar,100
2011,Apr,73
2011,May,65
2011,Jun,68
2011,Jul,62
2011,Aug,66
2011,Sep,69
2011,Oct,66
2011,Nov,63
2011,Dec,56
2012,Jan,67
2012,Feb,62
2012,Mar,59
2012,Apr,59
2012,May,59
2012,Jun,59
2012,Jul,56
2012,Aug,58
2012,Sep,56
2012,Oct,59
2012,Nov,55
2012,Dec,52
2013,Jan,64
2013,Feb,58
2013,Mar,55
2013,Apr,57
2013,May,55
2013,Jun,55
2013,Jul,55
2013,Aug,58
2013,Sep,55
2013,Oct,58
2013,Nov,54
2013,Dec,51
2014,Jan,57
2014,Feb,54
2014,Mar,51
2014,Apr,54
2014,May,53
2014,Jun,54
2014,Jul,56
2014,Aug,55
2014,Sep,53
2014,Oct,58
2014,Nov,55
2014,Dec,56
2015,Jan,55
2015,Feb,55
2015,Mar,55
2015,Apr,56
2015,May,56
2015,Jun,60
2015,Jul,63
2015,Aug,60
2015,Sep,61
2015,Oct,59
2015,Nov,58
2015,Dec,55
2016,Jan,54
2016,Feb,51
2016,Mar,52
2016,Apr,50
2016,May,51
2016,Jun,57
2016,Jul,51
2016,Aug,51
2016,Sep,51
2016,Oct,51
2016,Nov,55
2016,Dec,51
2017,Jan,56
2017,Feb,54
2017,Mar,53
2017,Apr,51
2017,May,55
2017,Jun,56
2017,Jul,55
2017,Aug,63
2017,Sep,58
2017,Oct,67
2017,Nov,64
2017,Dec,57
2018,Jan,75
2018,Feb,66
2018,Mar,64
2018,Apr,63
2018,May,63
2018,Jun,61
2018,Jul,59
2018,Aug,75
2018,Sep,67
2018,Oct,77
2018,Nov,74
2018,Dec,66
2019,Jan,72
2019,Feb,60
2019,Mar,63
2019,Apr,63
2019,May,61
2019,Jun,66
2019,Jul,67
2019,Aug,70
2019,Sep,75
2019,Oct,82
2019,Nov,79
2019,Dec,70
2020,Jan,75
2020,Feb,71
2020,Mar,60
2020,Apr,40
2020,May,34
2020,Jun,45
2020,Jul,50
2020,Aug,48
2020,Sep,53
2020,Oct,55
2020,Nov,46
2020,Dec,51
2021,Jan,52
2021,Feb,48
2021,Mar,46
2021,Apr,43
2021,May,43
2021,Jun,43
2021,Jul,43
2021,Aug,44
2021,Sep,42
2021,Oct,46
2021,Nov,47
2021,Dec,44
2022,Jan,48
2022,Feb,44
2022,Mar,46
