CNAME:,SOUTHERN UNION CO
Google Trends Search Term:,southern union company
Google Trends Suggestion:,company
Google Trends URL:,/m/03p3697
Year,Month,SVI Data
2004,Jan,51
2004,Feb,0
2004,Mar,32
2004,Apr,24
2004,May,22
2004,Jun,90
2004,Jul,0
2004,Aug,0
2004,Sep,100
2004,Oct,62
2004,Nov,42
2004,Dec,0
2005,Jan,49
2005,Feb,52
2005,Mar,74
2005,Apr,34
2005,May,15
2005,Jun,15
2005,Jul,15
2005,Aug,57
2005,Sep,27
2005,Oct,25
2005,Nov,26
2005,Dec,0
2006,Jan,76
2006,Feb,33
2006,Mar,10
2006,Apr,42
2006,May,29
2006,Jun,10
2006,Jul,51
2006,Aug,9
2006,Sep,37
2006,Oct,26
2006,Nov,25
2006,Dec,8
2007,Jan,22
2007,Feb,8
2007,Mar,21
2007,Apr,43
2007,May,20
2007,Jun,28
2007,Jul,20
2007,Aug,25
2007,Sep,6
2007,Oct,11
2007,Nov,11
2007,Dec,0
2008,Jan,10
2008,Feb,11
2008,Mar,21
2008,Apr,26
2008,May,21
2008,Jun,33
2008,Jul,21
2008,Aug,10
2008,Sep,29
2008,Oct,31
2008,Nov,10
2008,Dec,14
2009,Jan,36
2009,Feb,38
2009,Mar,13
2009,Apr,13
2009,May,18
2009,Jun,27
2009,Jul,18
2009,Aug,30
2009,Sep,13
2009,Oct,28
2009,Nov,8
2009,Dec,4
2010,Jan,23
2010,Feb,31
2010,Mar,32
2010,Apr,15
2010,May,19
2010,Jun,27
2010,Jul,24
2010,Aug,6
2010,Sep,16
2010,Oct,15
2010,Nov,21
2010,Dec,15
2011,Jan,9
2011,Feb,15
2011,Mar,18
2011,Apr,19
2011,May,18
2011,Jun,69
2011,Jul,49
2011,Aug,31
2011,Sep,9
2011,Oct,31
2011,Nov,19
2011,Dec,18
2012,Jan,19
2012,Feb,25
2012,Mar,27
2012,Apr,15
2012,May,25
2012,Jun,27
2012,Jul,29
2012,Aug,11
2012,Sep,12
2012,Oct,18
2012,Nov,7
2012,Dec,15
2013,Jan,12
2013,Feb,18
2013,Mar,9
2013,Apr,12
2013,May,11
2013,Jun,3
2013,Jul,12
2013,Aug,5
2013,Sep,8
2013,Oct,3
2013,Nov,5
2013,Dec,4
2014,Jan,6
2014,Feb,3
2014,Mar,4
2014,Apr,3
2014,May,2
2014,Jun,10
2014,Jul,8
2014,Aug,7
2014,Sep,2
2014,Oct,6
2014,Nov,8
2014,Dec,3
2015,Jan,3
2015,Feb,0
2015,Mar,3
2015,Apr,5
2015,May,2
2015,Jun,7
2015,Jul,3
2015,Aug,0
2015,Sep,3
2015,Oct,0
2015,Nov,6
2015,Dec,2
2016,Jan,0
2016,Feb,0
2016,Mar,4
2016,Apr,4
2016,May,4
2016,Jun,3
2016,Jul,5
2016,Aug,0
2016,Sep,4
2016,Oct,2
2016,Nov,5
2016,Dec,1
2017,Jan,0
2017,Feb,4
2017,Mar,5
2017,Apr,2
2017,May,0
2017,Jun,1
2017,Jul,1
2017,Aug,0
2017,Sep,1
2017,Oct,1
2017,Nov,0
2017,Dec,5
2018,Jan,3
2018,Feb,1
2018,Mar,0
2018,Apr,3
2018,May,3
2018,Jun,0
2018,Jul,1
2018,Aug,2
2018,Sep,1
2018,Oct,1
2018,Nov,2
2018,Dec,0
2019,Jan,0
2019,Feb,0
2019,Mar,4
2019,Apr,4
2019,May,2
2019,Jun,0
2019,Jul,0
2019,Aug,3
2019,Sep,2
2019,Oct,0
2019,Nov,1
2019,Dec,1
2020,Jan,2
2020,Feb,1
2020,Mar,0
2020,Apr,1
2020,May,1
2020,Jun,2
2020,Jul,2
2020,Aug,6
2020,Sep,0
2020,Oct,1
2020,Nov,1
2020,Dec,1
2021,Jan,1
2021,Feb,0
2021,Mar,0
2021,Apr,2
2021,May,0
2021,Jun,1
2021,Jul,0
2021,Aug,1
2021,Sep,0
2021,Oct,1
2021,Nov,1
2021,Dec,2
2022,Jan,0
2022,Feb,4
2022,Mar,0
