CNAME:,BOSTON SCIENTIFIC CORP
Google Trends Search Term:,boston scientific
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/04s6h0
Year,Month,SVI Data
2004,Jan,53
2004,Feb,86
2004,Mar,82
2004,Apr,64
2004,May,73
2004,Jun,64
2004,Jul,98
2004,Aug,68
2004,Sep,71
2004,Oct,64
2004,Nov,55
2004,Dec,55
2005,Jan,68
2005,Feb,68
2005,Mar,68
2005,Apr,65
2005,May,52
2005,Jun,58
2005,Jul,66
2005,Aug,68
2005,Sep,62
2005,Oct,60
2005,Nov,48
2005,Dec,64
2006,Jan,100
2006,Feb,78
2006,Mar,65
2006,Apr,79
2006,May,60
2006,Jun,79
2006,Jul,75
2006,Aug,69
2006,Sep,70
2006,Oct,74
2006,Nov,59
2006,Dec,56
2007,Jan,67
2007,Feb,58
2007,Mar,62
2007,Apr,63
2007,May,66
2007,Jun,60
2007,Jul,64
2007,Aug,59
2007,Sep,56
2007,Oct,53
2007,Nov,52
2007,Dec,39
2008,Jan,53
2008,Feb,56
2008,Mar,47
2008,Apr,53
2008,May,44
2008,Jun,51
2008,Jul,53
2008,Aug,54
2008,Sep,53
2008,Oct,55
2008,Nov,45
2008,Dec,44
2009,Jan,51
2009,Feb,63
2009,Mar,58
2009,Apr,54
2009,May,46
2009,Jun,55
2009,Jul,52
2009,Aug,48
2009,Sep,48
2009,Oct,49
2009,Nov,50
2009,Dec,40
2010,Jan,46
2010,Feb,49
2010,Mar,59
2010,Apr,49
2010,May,44
2010,Jun,42
2010,Jul,40
2010,Aug,39
2010,Sep,41
2010,Oct,36
2010,Nov,35
2010,Dec,32
2011,Jan,38
2011,Feb,41
2011,Mar,38
2011,Apr,36
2011,May,32
2011,Jun,36
2011,Jul,36
2011,Aug,33
2011,Sep,34
2011,Oct,31
2011,Nov,31
2011,Dec,26
2012,Jan,33
2012,Feb,35
2012,Mar,31
2012,Apr,31
2012,May,30
2012,Jun,32
2012,Jul,27
2012,Aug,29
2012,Sep,29
2012,Oct,31
2012,Nov,28
2012,Dec,22
2013,Jan,30
2013,Feb,32
2013,Mar,28
2013,Apr,29
2013,May,28
2013,Jun,28
2013,Jul,29
2013,Aug,28
2013,Sep,31
2013,Oct,32
2013,Nov,28
2013,Dec,25
2014,Jan,30
2014,Feb,31
2014,Mar,28
2014,Apr,27
2014,May,28
2014,Jun,30
2014,Jul,29
2014,Aug,29
2014,Sep,27
2014,Oct,29
2014,Nov,27
2014,Dec,23
2015,Jan,26
2015,Feb,33
2015,Mar,32
2015,Apr,32
2015,May,29
2015,Jun,32
2015,Jul,30
2015,Aug,29
2015,Sep,29
2015,Oct,30
2015,Nov,28
2015,Dec,25
2016,Jan,26
2016,Feb,27
2016,Mar,29
2016,Apr,26
2016,May,27
2016,Jun,28
2016,Jul,25
2016,Aug,26
2016,Sep,28
2016,Oct,25
2016,Nov,25
2016,Dec,22
2017,Jan,26
2017,Feb,28
2017,Mar,26
2017,Apr,26
2017,May,28
2017,Jun,26
2017,Jul,24
2017,Aug,26
2017,Sep,26
2017,Oct,30
2017,Nov,26
2017,Dec,22
2018,Jan,29
2018,Feb,32
2018,Mar,27
2018,Apr,26
2018,May,37
2018,Jun,40
2018,Jul,28
2018,Aug,32
2018,Sep,29
2018,Oct,35
2018,Nov,30
2018,Dec,23
2019,Jan,27
2019,Feb,31
2019,Mar,29
2019,Apr,32
2019,May,28
2019,Jun,28
2019,Jul,28
2019,Aug,30
2019,Sep,27
2019,Oct,32
2019,Nov,28
2019,Dec,24
2020,Jan,28
2020,Feb,31
2020,Mar,24
2020,Apr,26
2020,May,18
2020,Jun,22
2020,Jul,23
2020,Aug,22
2020,Sep,23
2020,Oct,25
2020,Nov,22
2020,Dec,22
2021,Jan,23
2021,Feb,27
2021,Mar,25
2021,Apr,26
2021,May,24
2021,Jun,27
2021,Jul,24
2021,Aug,26
2021,Sep,26
2021,Oct,24
2021,Nov,23
2021,Dec,24
2022,Jan,24
2022,Feb,26
2022,Mar,25
