CNAME:,SHARPER IMAGE CORP
Google Trends Search Term:,the sharper image
Google Trends Suggestion:,consumer electronics company
Google Trends URL:,/m/06vwlq
Year,Month,SVI Data
2004,Jan,36
2004,Feb,23
2004,Mar,32
2004,Apr,26
2004,May,20
2004,Jun,35
2004,Jul,18
2004,Aug,43
2004,Sep,41
2004,Oct,44
2004,Nov,69
2004,Dec,100
2005,Jan,25
2005,Feb,26
2005,Mar,16
2005,Apr,24
2005,May,27
2005,Jun,36
2005,Jul,32
2005,Aug,20
2005,Sep,30
2005,Oct,25
2005,Nov,49
2005,Dec,91
2006,Jan,25
2006,Feb,21
2006,Mar,21
2006,Apr,18
2006,May,25
2006,Jun,34
2006,Jul,25
2006,Aug,31
2006,Sep,27
2006,Oct,30
2006,Nov,49
2006,Dec,69
2007,Jan,28
2007,Feb,20
2007,Mar,21
2007,Apr,20
2007,May,19
2007,Jun,20
2007,Jul,20
2007,Aug,22
2007,Sep,23
2007,Oct,25
2007,Nov,54
2007,Dec,81
2008,Jan,22
2008,Feb,26
2008,Mar,28
2008,Apr,17
2008,May,16
2008,Jun,25
2008,Jul,21
2008,Aug,20
2008,Sep,15
2008,Oct,21
2008,Nov,37
2008,Dec,50
2009,Jan,15
2009,Feb,16
2009,Mar,8
2009,Apr,10
2009,May,13
2009,Jun,15
2009,Jul,10
2009,Aug,12
2009,Sep,12
2009,Oct,16
2009,Nov,43
2009,Dec,49
2010,Jan,22
2010,Feb,15
2010,Mar,10
2010,Apr,10
2010,May,16
2010,Jun,15
2010,Jul,13
2010,Aug,12
2010,Sep,10
2010,Oct,12
2010,Nov,25
2010,Dec,44
2011,Jan,21
2011,Feb,13
2011,Mar,14
2011,Apr,14
2011,May,10
2011,Jun,16
2011,Jul,13
2011,Aug,13
2011,Sep,11
2011,Oct,13
2011,Nov,24
2011,Dec,38
2012,Jan,17
2012,Feb,13
2012,Mar,12
2012,Apr,11
2012,May,13
2012,Jun,12
2012,Jul,12
2012,Aug,11
2012,Sep,11
2012,Oct,12
2012,Nov,19
2012,Dec,32
2013,Jan,14
2013,Feb,11
2013,Mar,13
2013,Apr,9
2013,May,8
2013,Jun,12
2013,Jul,9
2013,Aug,9
2013,Sep,9
2013,Oct,8
2013,Nov,14
2013,Dec,21
2014,Jan,10
2014,Feb,8
2014,Mar,5
2014,Apr,6
2014,May,5
2014,Jun,6
2014,Jul,7
2014,Aug,5
2014,Sep,4
2014,Oct,7
2014,Nov,9
2014,Dec,15
2015,Jan,9
2015,Feb,5
2015,Mar,5
2015,Apr,4
2015,May,5
2015,Jun,4
2015,Jul,6
2015,Aug,5
2015,Sep,4
2015,Oct,6
2015,Nov,9
2015,Dec,16
2016,Jan,5
2016,Feb,7
2016,Mar,12
2016,Apr,4
2016,May,4
2016,Jun,5
2016,Jul,4
2016,Aug,3
2016,Sep,4
2016,Oct,4
2016,Nov,8
2016,Dec,11
2017,Jan,6
2017,Feb,4
2017,Mar,3
2017,Apr,3
2017,May,4
2017,Jun,3
2017,Jul,4
2017,Aug,3
2017,Sep,3
2017,Oct,3
2017,Nov,8
2017,Dec,13
2018,Jan,5
2018,Feb,4
2018,Mar,4
2018,Apr,4
2018,May,3
2018,Jun,4
2018,Jul,4
2018,Aug,3
2018,Sep,3
2018,Oct,3
2018,Nov,5
2018,Dec,9
2019,Jan,6
2019,Feb,3
2019,Mar,3
2019,Apr,4
2019,May,2
2019,Jun,3
2019,Jul,3
2019,Aug,3
2019,Sep,3
2019,Oct,2
2019,Nov,5
2019,Dec,9
2020,Jan,4
2020,Feb,3
2020,Mar,2
2020,Apr,3
2020,May,5
2020,Jun,4
2020,Jul,3
2020,Aug,3
2020,Sep,3
2020,Oct,2
2020,Nov,5
2020,Dec,9
2021,Jan,5
2021,Feb,4
2021,Mar,3
2021,Apr,3
2021,May,2
2021,Jun,3
2021,Jul,3
2021,Aug,3
2021,Sep,3
2021,Oct,3
2021,Nov,4
2021,Dec,9
2022,Jan,4
2022,Feb,3
2022,Mar,2
