CNAME:,CHILDREN S PLACE RETAIL STORES
Google Trends Search Term:,the children's place
Google Trends Suggestion:,apparel company
Google Trends URL:,/m/03p3b2j
Year,Month,SVI Data
2004,Jan,6
2004,Feb,7
2004,Mar,9
2004,Apr,9
2004,May,7
2004,Jun,6
2004,Jul,10
2004,Aug,13
2004,Sep,13
2004,Oct,17
2004,Nov,13
2004,Dec,13
2005,Jan,10
2005,Feb,13
2005,Mar,13
2005,Apr,13
2005,May,9
2005,Jun,10
2005,Jul,13
2005,Aug,19
2005,Sep,17
2005,Oct,22
2005,Nov,20
2005,Dec,19
2006,Jan,14
2006,Feb,15
2006,Mar,18
2006,Apr,17
2006,May,13
2006,Jun,16
2006,Jul,17
2006,Aug,23
2006,Sep,26
2006,Oct,31
2006,Nov,25
2006,Dec,23
2007,Jan,18
2007,Feb,16
2007,Mar,20
2007,Apr,18
2007,May,14
2007,Jun,15
2007,Jul,18
2007,Aug,24
2007,Sep,27
2007,Oct,30
2007,Nov,32
2007,Dec,26
2008,Jan,21
2008,Feb,25
2008,Mar,27
2008,Apr,27
2008,May,23
2008,Jun,22
2008,Jul,28
2008,Aug,35
2008,Sep,35
2008,Oct,42
2008,Nov,42
2008,Dec,38
2009,Jan,29
2009,Feb,31
2009,Mar,32
2009,Apr,31
2009,May,26
2009,Jun,23
2009,Jul,34
2009,Aug,39
2009,Sep,39
2009,Oct,43
2009,Nov,44
2009,Dec,40
2010,Jan,31
2010,Feb,20
2010,Mar,21
2010,Apr,19
2010,May,16
2010,Jun,15
2010,Jul,20
2010,Aug,24
2010,Sep,24
2010,Oct,26
2010,Nov,30
2010,Dec,27
2011,Jan,26
2011,Feb,30
2011,Mar,36
2011,Apr,31
2011,May,28
2011,Jun,29
2011,Jul,39
2011,Aug,53
2011,Sep,57
2011,Oct,59
2011,Nov,68
2011,Dec,58
2012,Jan,24
2012,Feb,16
2012,Mar,18
2012,Apr,15
2012,May,15
2012,Jun,15
2012,Jul,17
2012,Aug,22
2012,Sep,23
2012,Oct,22
2012,Nov,26
2012,Dec,19
2013,Jan,13
2013,Feb,14
2013,Mar,15
2013,Apr,14
2013,May,14
2013,Jun,13
2013,Jul,15
2013,Aug,20
2013,Sep,17
2013,Oct,19
2013,Nov,24
2013,Dec,21
2014,Jan,12
2014,Feb,13
2014,Mar,15
2014,Apr,15
2014,May,14
2014,Jun,13
2014,Jul,16
2014,Aug,17
2014,Sep,16
2014,Oct,17
2014,Nov,24
2014,Dec,20
2015,Jan,12
2015,Feb,13
2015,Mar,14
2015,Apr,12
2015,May,13
2015,Jun,14
2015,Jul,16
2015,Aug,19
2015,Sep,17
2015,Oct,21
2015,Nov,24
2015,Dec,18
2016,Jan,39
2016,Feb,44
2016,Mar,54
2016,Apr,44
2016,May,41
2016,Jun,46
2016,Jul,56
2016,Aug,58
2016,Sep,54
2016,Oct,56
2016,Nov,77
2016,Dec,67
2017,Jan,37
2017,Feb,42
2017,Mar,51
2017,Apr,55
2017,May,38
2017,Jun,48
2017,Jul,63
2017,Aug,68
2017,Sep,56
2017,Oct,58
2017,Nov,86
2017,Dec,69
2018,Jan,40
2018,Feb,43
2018,Mar,60
2018,Apr,48
2018,May,47
2018,Jun,52
2018,Jul,73
2018,Aug,76
2018,Sep,64
2018,Oct,74
2018,Nov,100
2018,Dec,83
2019,Jan,48
2019,Feb,45
2019,Mar,58
2019,Apr,64
2019,May,47
2019,Jun,52
2019,Jul,78
2019,Aug,89
2019,Sep,62
2019,Oct,70
2019,Nov,83
2019,Dec,81
2020,Jan,43
2020,Feb,41
2020,Mar,43
2020,Apr,63
2020,May,73
2020,Jun,83
2020,Jul,53
2020,Aug,45
2020,Sep,57
2020,Oct,55
2020,Nov,68
2020,Dec,63
2021,Jan,34
2021,Feb,35
2021,Mar,51
2021,Apr,39
2021,May,36
2021,Jun,34
2021,Jul,50
2021,Aug,63
2021,Sep,46
2021,Oct,50
2021,Nov,69
2021,Dec,55
2022,Jan,29
2022,Feb,31
2022,Mar,38
